date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,04:51 PM,05:49 AM,07:02 AM,05:26 PM,7,18,18,18,7,0,51,0.0,1013,13,10,282,6
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,04:51 PM,05:49 AM,07:02 AM,05:26 PM,9,18,18,18,6,0,58,0.0,1015,13,10,283,5
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,04:51 PM,05:49 AM,07:02 AM,05:26 PM,4,24,24,24,10,0,28,0.0,1012,21,10,308,9
2018-01-01 18:00:00,21,11,0.0,8.7,5,4,97,04:51 PM,05:49 AM,07:02 AM,05:26 PM,4,18,18,18,10,0,41,0.0,1013,15,10,283,6
2018-01-02 00:00:00,20,10,0.0,8.7,4,1,100,05:55 PM,06:54 AM,07:02 AM,05:27 PM,1,14,14,14,9,4,41,0.0,1013,11,10,342,5
2018-01-02 06:00:00,20,10,0.0,8.7,4,4,100,05:55 PM,06:54 AM,07:02 AM,05:27 PM,2,15,14,15,7,2,43,0.0,1014,12,10,310,6
2018-01-02 12:00:00,20,10,0.0,8.7,4,5,100,05:55 PM,06:54 AM,07:02 AM,05:27 PM,3,23,23,23,11,0,29,0.0,1013,20,10,304,9
2018-01-02 18:00:00,20,10,0.0,8.7,4,4,100,05:55 PM,06:54 AM,07:02 AM,05:27 PM,4,16,16,16,16,0,46,0.0,1014,14,10,291,9
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:02 PM,07:56 AM,07:02 AM,05:28 PM,4,13,14,13,14,0,50,0.0,1014,11,10,299,10
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:02 PM,07:56 AM,07:02 AM,05:28 PM,5,14,14,14,10,0,55,0.0,1015,11,10,285,9
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:02 PM,07:56 AM,07:02 AM,05:28 PM,4,22,23,22,15,0,30,0.0,1013,21,10,292,13
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:02 PM,07:56 AM,07:02 AM,05:28 PM,5,15,15,15,21,0,51,0.0,1014,13,10,268,11
2018-01-04 00:00:00,20,9,0.0,8.7,4,1,81,08:08 PM,08:51 AM,07:02 AM,05:29 PM,5,13,14,13,13,0,56,0.0,1014,10,10,296,10
2018-01-04 06:00:00,20,9,0.0,8.7,4,4,81,08:08 PM,08:51 AM,07:02 AM,05:29 PM,6,14,14,14,9,0,57,0.0,1015,11,10,276,8
2018-01-04 12:00:00,20,9,0.0,8.7,4,6,81,08:08 PM,08:51 AM,07:02 AM,05:29 PM,4,23,24,23,10,0,30,0.0,1014,20,10,282,9
2018-01-04 18:00:00,20,9,0.0,8.7,4,4,81,08:08 PM,08:51 AM,07:02 AM,05:29 PM,5,17,17,17,2,0,45,0.0,1015,13,10,248,1
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:14 PM,09:41 AM,07:02 AM,05:29 PM,5,15,15,15,7,0,53,0.0,1015,10,10,350,6
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:14 PM,09:41 AM,07:02 AM,05:29 PM,5,15,15,15,3,0,52,0.0,1016,10,10,300,3
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:14 PM,09:41 AM,07:02 AM,05:29 PM,4,22,23,22,11,0,30,0.0,1013,20,10,290,9
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:14 PM,09:41 AM,07:02 AM,05:29 PM,5,16,16,16,9,0,47,0.0,1014,13,10,294,6
2018-01-06 00:00:00,20,8,0.0,8.7,4,1,67,10:15 PM,10:24 AM,07:03 AM,05:30 PM,5,13,14,13,11,0,54,0.0,1013,10,10,299,9
2018-01-06 06:00:00,20,8,0.0,8.7,4,4,67,10:15 PM,10:24 AM,07:03 AM,05:30 PM,4,12,13,12,11,0,55,0.0,1014,10,10,293,9
2018-01-06 12:00:00,20,8,0.0,8.7,4,6,67,10:15 PM,10:24 AM,07:03 AM,05:30 PM,4,21,23,21,17,0,32,0.0,1012,20,10,284,14
2018-01-06 18:00:00,20,8,0.0,8.7,4,4,67,10:15 PM,10:24 AM,07:03 AM,05:30 PM,5,16,16,16,15,0,49,0.0,1013,13,10,283,8
2018-01-07 00:00:00,20,8,0.0,8.7,4,1,59,11:15 PM,11:05 AM,07:03 AM,05:31 PM,5,13,14,13,13,0,56,0.0,1012,10,10,299,9
2018-01-07 06:00:00,20,8,0.0,8.7,4,4,59,11:15 PM,11:05 AM,07:03 AM,05:31 PM,4,10,12,10,20,0,59,0.0,1014,10,10,280,14
2018-01-07 12:00:00,20,8,0.0,8.7,4,6,59,11:15 PM,11:05 AM,07:03 AM,05:31 PM,4,20,20,20,20,0,34,0.0,1013,20,10,282,17
2018-01-07 18:00:00,20,8,0.0,8.7,4,4,59,11:15 PM,11:05 AM,07:03 AM,05:31 PM,5,15,15,15,19,0,51,0.0,1014,13,10,275,10
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,No moonrise,11:42 AM,07:03 AM,05:32 PM,4,12,13,12,18,0,55,0.0,1013,10,10,279,11
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,No moonrise,11:42 AM,07:03 AM,05:32 PM,4,12,13,12,13,0,55,0.0,1016,10,10,289,11
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,No moonrise,11:42 AM,07:03 AM,05:32 PM,4,22,23,22,15,0,30,0.0,1015,21,10,284,13
2018-01-08 18:00:00,21,9,0.0,8.7,4,4,52,No moonrise,11:42 AM,07:03 AM,05:32 PM,4,16,16,16,13,0,44,0.0,1016,13,10,284,8
2018-01-09 00:00:00,20,8,0.0,8.7,4,1,45,12:11 AM,12:18 PM,07:03 AM,05:32 PM,5,15,15,15,7,0,51,0.0,1017,10,10,300,6
2018-01-09 06:00:00,20,8,0.0,8.7,4,4,45,12:11 AM,12:18 PM,07:03 AM,05:32 PM,6,15,15,15,4,0,56,0.0,1019,10,10,334,3
2018-01-09 12:00:00,20,8,0.0,8.7,4,5,45,12:11 AM,12:18 PM,07:03 AM,05:32 PM,5,22,23,22,13,0,33,0.0,1017,20,10,285,11
2018-01-09 18:00:00,20,8,0.0,8.7,4,4,45,12:11 AM,12:18 PM,07:03 AM,05:32 PM,5,16,16,16,12,0,49,0.0,1017,13,10,271,7
2018-01-10 00:00:00,21,8,0.0,8.7,4,1,38,01:06 AM,12:53 PM,07:03 AM,05:33 PM,4,12,13,12,17,0,55,0.0,1017,10,10,279,11
2018-01-10 06:00:00,21,8,0.0,8.7,4,4,38,01:06 AM,12:53 PM,07:03 AM,05:33 PM,5,13,14,13,9,0,56,0.0,1019,10,10,261,8
2018-01-10 12:00:00,21,8,0.0,8.7,4,6,38,01:06 AM,12:53 PM,07:03 AM,05:33 PM,5,22,24,22,17,2,33,0.0,1016,21,10,290,15
2018-01-10 18:00:00,21,8,0.0,8.7,4,4,38,01:06 AM,12:53 PM,07:03 AM,05:33 PM,5,16,16,16,20,0,50,0.0,1016,14,10,269,10
2018-01-11 00:00:00,22,9,0.0,8.7,4,1,30,01:59 AM,01:30 PM,07:03 AM,05:34 PM,3,13,14,13,16,0,50,0.0,1015,10,10,273,10
2018-01-11 06:00:00,22,9,0.0,8.7,4,4,30,01:59 AM,01:30 PM,07:03 AM,05:34 PM,2,11,12,11,23,2,49,0.0,1016,11,10,281,15
