date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,14,0.0,8.7,5,1,97,05:15 PM,05:56 AM,07:07 AM,05:50 PM,6,16,16,16,14,5,50,0.0,1013,15,10,61,7
2018-01-01 06:00:00,26,14,0.0,8.7,5,5,97,05:15 PM,05:56 AM,07:07 AM,05:50 PM,6,16,16,16,14,5,51,0.0,1014,16,10,94,9
2018-01-01 12:00:00,26,14,0.0,8.7,5,7,97,05:15 PM,05:56 AM,07:07 AM,05:50 PM,7,26,26,27,3,5,28,0.0,1011,26,10,267,3
2018-01-01 18:00:00,26,14,0.0,8.7,5,5,97,05:15 PM,05:56 AM,07:07 AM,05:50 PM,4,19,19,19,23,4,38,0.0,1012,18,10,25,11
2018-01-02 00:00:00,23,13,0.0,8.7,5,1,100,06:18 PM,07:01 AM,07:07 AM,05:51 PM,4,14,15,14,19,6,49,0.0,1012,14,10,48,10
2018-01-02 06:00:00,23,13,0.0,8.7,5,4,100,06:18 PM,07:01 AM,07:07 AM,05:51 PM,5,15,15,15,16,0,49,0.0,1015,15,10,63,10
2018-01-02 12:00:00,23,13,0.0,8.7,5,6,100,06:18 PM,07:01 AM,07:07 AM,05:51 PM,1,24,24,25,10,0,21,0.0,1012,23,10,358,9
2018-01-02 18:00:00,23,13,0.0,8.7,5,5,100,06:18 PM,07:01 AM,07:07 AM,05:51 PM,-3,17,17,17,22,0,26,0.0,1014,16,10,20,10
2018-01-03 00:00:00,24,11,0.0,8.7,5,1,89,07:25 PM,08:03 AM,07:07 AM,05:52 PM,-1,13,14,13,19,0,35,0.0,1014,12,10,55,9
2018-01-03 06:00:00,24,11,0.0,8.7,5,4,89,07:25 PM,08:03 AM,07:07 AM,05:52 PM,0,13,14,13,16,0,40,0.0,1016,13,10,72,10
2018-01-03 12:00:00,24,11,0.0,8.7,5,6,89,07:25 PM,08:03 AM,07:07 AM,05:52 PM,-0,25,25,27,3,0,17,0.0,1013,24,10,53,3
2018-01-03 18:00:00,24,11,0.0,8.7,5,5,89,07:25 PM,08:03 AM,07:07 AM,05:52 PM,-3,18,18,18,12,0,22,0.0,1014,17,10,64,6
2018-01-04 00:00:00,25,12,0.0,8.7,5,1,81,08:30 PM,08:59 AM,07:08 AM,05:52 PM,-2,15,15,15,12,0,29,0.0,1015,13,10,84,6
2018-01-04 06:00:00,25,12,0.0,8.7,5,4,81,08:30 PM,08:59 AM,07:08 AM,05:52 PM,0,16,16,16,8,0,34,0.0,1016,14,10,113,6
2018-01-04 12:00:00,25,12,0.0,8.7,5,6,81,08:30 PM,08:59 AM,07:08 AM,05:52 PM,3,25,25,27,8,0,22,0.0,1013,25,10,259,7
2018-01-04 18:00:00,25,12,0.0,8.7,5,5,81,08:30 PM,08:59 AM,07:08 AM,05:52 PM,4,20,20,20,4,4,36,0.0,1013,18,10,90,2
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,09:34 PM,09:50 AM,07:08 AM,05:53 PM,6,18,18,18,6,0,43,0.0,1013,14,10,79,4
2018-01-05 06:00:00,25,13,0.0,8.7,5,5,74,09:34 PM,09:50 AM,07:08 AM,05:53 PM,6,19,19,19,2,0,43,0.0,1015,15,10,62,1
2018-01-05 12:00:00,25,13,0.0,8.7,5,7,74,09:34 PM,09:50 AM,07:08 AM,05:53 PM,1,25,25,26,10,0,18,0.0,1012,25,10,291,9
2018-01-05 18:00:00,25,13,0.0,8.7,5,5,74,09:34 PM,09:50 AM,07:08 AM,05:53 PM,1,20,20,20,13,0,29,0.0,1013,18,10,1,6
2018-01-06 00:00:00,25,12,0.0,8.7,5,1,67,10:33 PM,10:36 AM,07:08 AM,05:54 PM,6,17,17,17,7,0,46,0.0,1013,14,10,62,5
