date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,04:59 PM,06:03 AM,07:16 AM,05:33 PM,6,16,16,16,4,0,52,0.0,1014,11,10,299,3
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,04:59 PM,06:03 AM,07:16 AM,05:33 PM,7,16,16,16,3,0,55,0.0,1015,11,10,290,3
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,04:59 PM,06:03 AM,07:16 AM,05:33 PM,3,24,24,24,5,0,25,0.0,1013,20,10,266,5
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,04:59 PM,06:03 AM,07:16 AM,05:33 PM,4,16,16,16,8,0,45,0.0,1015,13,10,339,5
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:03 PM,07:08 AM,07:16 AM,05:34 PM,5,14,14,14,7,0,52,0.0,1015,10,10,11,5
2018-01-02 06:00:00,20,8,0.0,8.7,4,4,100,06:03 PM,07:08 AM,07:16 AM,05:34 PM,5,15,15,15,5,0,53,0.0,1016,10,10,315,5
2018-01-02 12:00:00,20,8,0.0,8.7,4,6,100,06:03 PM,07:08 AM,07:16 AM,05:34 PM,2,23,23,23,8,0,25,0.0,1014,20,10,305,7
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:03 PM,07:08 AM,07:16 AM,05:34 PM,5,16,16,16,6,1,49,0.0,1016,12,10,293,4
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:10 PM,08:09 AM,07:16 AM,05:35 PM,6,14,14,14,8,0,60,0.0,1016,10,10,308,6
2018-01-03 06:00:00,21,8,0.0,8.7,4,3,89,07:10 PM,08:09 AM,07:16 AM,05:35 PM,6,13,13,13,9,0,60,0.0,1016,10,10,292,8
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:10 PM,08:09 AM,07:16 AM,05:35 PM,3,22,23,22,14,0,29,0.0,1015,21,10,308,12
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:10 PM,08:09 AM,07:16 AM,05:35 PM,5,14,14,14,16,0,52,0.0,1015,12,10,289,9
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:17 PM,09:04 AM,07:16 AM,05:36 PM,4,11,12,11,14,0,59,0.0,1015,9,10,313,9
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:17 PM,09:04 AM,07:16 AM,05:36 PM,6,13,13,13,7,0,59,0.0,1016,10,10,300,6
2018-01-04 12:00:00,20,8,0.0,8.7,4,6,81,08:17 PM,09:04 AM,07:16 AM,05:36 PM,2,23,23,23,10,0,25,0.0,1014,20,10,289,8
