date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,12,0.0,8.7,5,1,97,05:09 PM,05:58 AM,07:10 AM,05:44 PM,3,13,14,13,18,5,50,0.0,1015,13,10,93,9
2018-01-01 06:00:00,23,12,0.0,8.7,5,4,97,05:09 PM,05:58 AM,07:10 AM,05:44 PM,6,16,16,16,7,5,53,0.0,1015,15,10,109,5
2018-01-01 12:00:00,23,12,0.0,8.7,5,6,97,05:09 PM,05:58 AM,07:10 AM,05:44 PM,5,24,24,24,7,6,29,0.0,1012,23,10,299,6
2018-01-01 18:00:00,23,12,0.0,8.7,5,5,97,05:09 PM,05:58 AM,07:10 AM,05:44 PM,5,18,18,18,11,0,43,0.0,1014,16,10,8,5
2018-01-02 00:00:00,22,11,0.0,8.7,5,1,100,06:13 PM,07:03 AM,07:10 AM,05:45 PM,5,15,15,15,10,0,51,0.0,1015,13,10,48,5
2018-01-02 06:00:00,22,11,0.0,8.7,5,4,100,06:13 PM,07:03 AM,07:10 AM,05:45 PM,7,15,15,15,7,0,56,0.0,1016,13,10,45,6
2018-01-02 12:00:00,22,11,0.0,8.7,5,6,100,06:13 PM,07:03 AM,07:10 AM,05:45 PM,-1,22,22,22,14,0,21,0.0,1014,22,10,338,12
2018-01-02 18:00:00,22,11,0.0,8.7,5,4,100,06:13 PM,07:03 AM,07:10 AM,05:45 PM,-1,15,15,15,15,0,33,0.0,1016,14,10,43,7
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:19 PM,08:05 AM,07:10 AM,05:45 PM,-0,12,13,12,14,0,41,0.0,1016,11,10,69,7
2018-01-03 06:00:00,22,9,0.0,8.7,4,4,89,07:19 PM,08:05 AM,07:10 AM,05:45 PM,2,15,15,15,3,0,41,0.0,1018,12,10,108,3
2018-01-03 12:00:00,22,9,0.0,8.7,4,6,89,07:19 PM,08:05 AM,07:10 AM,05:45 PM,-0,23,23,23,9,0,21,0.0,1015,22,10,341,8
2018-01-03 18:00:00,22,9,0.0,8.7,4,4,89,07:19 PM,08:05 AM,07:10 AM,05:45 PM,0,16,16,16,11,0,35,0.0,1016,14,10,41,5
2018-01-04 00:00:00,23,10,0.0,8.7,5,1,81,08:25 PM,09:01 AM,07:10 AM,05:46 PM,0,14,14,14,11,0,40,0.0,1016,11,10,108,5
2018-01-04 06:00:00,23,10,0.0,8.7,5,4,81,08:25 PM,09:01 AM,07:10 AM,05:46 PM,3,16,16,16,6,0,42,0.0,1017,13,10,119,5
2018-01-04 12:00:00,23,10,0.0,8.7,5,6,81,08:25 PM,09:01 AM,07:10 AM,05:46 PM,-0,23,23,24,8,0,20,0.0,1014,23,10,194,7
2018-01-04 18:00:00,23,10,0.0,8.7,5,4,81,08:25 PM,09:01 AM,07:10 AM,05:46 PM,1,17,17,17,5,0,34,0.0,1015,15,10,45,3
2018-01-05 00:00:00,23,10,0.0,8.7,5,1,74,09:29 PM,09:51 AM,07:11 AM,05:47 PM,-3,12,13,12,19,0,34,0.0,1015,12,10,73,9
2018-01-05 06:00:00,23,10,0.0,8.7,5,4,74,09:29 PM,09:51 AM,07:11 AM,05:47 PM,2,16,16,16,5,0,40,0.0,1017,13,10,88,4
2018-01-05 12:00:00,23,10,0.0,8.7,5,6,74,09:29 PM,09:51 AM,07:11 AM,05:47 PM,2,24,24,25,6,0,22,0.0,1013,23,10,8,5
