date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,8.7,6,1,97,05:13 PM,05:36 AM,06:46 AM,05:50 PM,10,20,20,20,2,9,52,0.0,1012,18,10,190,1
2018-01-01 06:00:00,29,17,0.0,8.7,6,6,97,05:13 PM,05:36 AM,06:46 AM,05:50 PM,16,25,26,25,2,2,55,0.0,1012,21,10,185,2
2018-01-01 12:00:00,29,17,0.0,8.7,6,7,97,05:13 PM,05:36 AM,06:46 AM,05:50 PM,9,28,28,30,9,5,27,0.0,1008,29,10,334,8
2018-01-01 18:00:00,29,17,0.0,8.7,6,6,97,05:13 PM,05:36 AM,06:46 AM,05:50 PM,7,23,24,23,17,4,37,0.0,1010,22,10,29,9
2018-01-02 00:00:00,29,17,0.0,8.7,6,1,100,06:17 PM,06:41 AM,06:46 AM,05:51 PM,8,20,20,20,12,5,45,0.0,1011,18,10,60,6
2018-01-02 06:00:00,29,17,0.0,8.7,6,6,100,06:17 PM,06:41 AM,06:46 AM,05:51 PM,12,22,24,22,7,5,52,0.0,1013,20,10,144,6
2018-01-02 12:00:00,29,17,0.0,8.7,6,7,100,06:17 PM,06:41 AM,06:46 AM,05:51 PM,10,29,29,30,5,6,28,0.0,1009,29,10,4,4
2018-01-02 18:00:00,29,17,0.0,8.7,6,6,100,06:17 PM,06:41 AM,06:46 AM,05:51 PM,8,23,24,23,15,4,37,0.0,1011,22,10,31,8
2018-01-03 00:00:00,28,17,0.0,8.7,6,1,89,07:22 PM,07:43 AM,06:47 AM,05:52 PM,9,20,20,20,10,4,49,0.0,1012,18,10,60,6
2018-01-03 06:00:00,28,17,0.0,8.7,6,6,89,07:22 PM,07:43 AM,06:47 AM,05:52 PM,10,22,24,22,7,4,48,0.0,1014,20,10,130,6
2018-01-03 12:00:00,28,17,0.0,8.7,6,7,89,07:22 PM,07:43 AM,06:47 AM,05:52 PM,8,28,28,29,8,5,26,0.0,1011,28,10,13,7
2018-01-03 18:00:00,28,17,0.0,8.7,6,6,89,07:22 PM,07:43 AM,06:47 AM,05:52 PM,7,22,24,22,17,3,37,0.0,1013,21,10,43,9
2018-01-04 00:00:00,27,16,0.0,8.7,6,1,81,08:26 PM,08:41 AM,06:47 AM,05:52 PM,9,19,19,19,12,4,51,0.0,1013,17,10,73,7
2018-01-04 06:00:00,27,16,0.0,8.7,6,6,81,08:26 PM,08:41 AM,06:47 AM,05:52 PM,9,22,24,22,7,7,44,0.0,1016,20,10,75,6
2018-01-04 12:00:00,27,16,0.0,8.7,6,7,81,08:26 PM,08:41 AM,06:47 AM,05:52 PM,7,27,27,28,11,5,26,0.0,1012,27,10,23,10
2018-01-04 18:00:00,27,16,0.0,8.7,6,6,81,08:26 PM,08:41 AM,06:47 AM,05:52 PM,7,22,24,22,16,4,38,0.0,1013,21,10,58,8
2018-01-05 00:00:00,28,17,0.0,8.7,6,1,74,09:28 PM,09:34 AM,06:47 AM,05:53 PM,7,20,20,20,9,4,44,0.0,1013,18,10,99,5
2018-01-05 06:00:00,28,17,0.0,8.7,6,5,74,09:28 PM,09:34 AM,06:47 AM,05:53 PM,7,21,24,21,9,3,38,0.0,1014,20,10,146,8
2018-01-05 12:00:00,28,17,0.0,8.7,6,7,74,09:28 PM,09:34 AM,06:47 AM,05:53 PM,6,27,27,29,10,3,24,0.0,1011,28,10,24,9
2018-01-05 18:00:00,28,17,0.0,8.7,6,6,74,09:28 PM,09:34 AM,06:47 AM,05:53 PM,6,22,24,22,18,3,35,0.0,1012,21,10,72,9
2018-01-06 00:00:00,27,16,0.0,8.7,6,1,67,10:25 PM,10:21 AM,06:47 AM,05:53 PM,7,20,20,20,8,4,43,0.0,1011,17,10,83,4
2018-01-06 06:00:00,27,16,0.0,8.7,6,5,67,10:25 PM,10:21 AM,06:47 AM,05:53 PM,8,21,21,21,8,4,43,0.0,1014,19,10,124,7
