date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,8,0.0,8.7,4,1,97,05:12 PM,06:08 AM,07:20 AM,05:46 PM,-4,15,15,15,11,0,28,0.0,1015,10,10,126,6
2018-01-01 06:00:00,21,8,0.0,8.7,4,4,97,05:12 PM,06:08 AM,07:20 AM,05:46 PM,3,16,16,16,4,0,42,0.0,1015,12,10,197,3
2018-01-01 12:00:00,21,8,0.0,8.7,4,6,97,05:12 PM,06:08 AM,07:20 AM,05:46 PM,-7,23,22,23,13,0,13,0.0,1013,21,10,320,12
2018-01-01 18:00:00,21,8,0.0,8.7,4,4,97,05:12 PM,06:08 AM,07:20 AM,05:46 PM,-6,15,15,15,19,0,23,0.0,1014,13,10,16,9
2018-01-02 00:00:00,21,8,0.0,8.7,4,1,100,06:15 PM,07:14 AM,07:20 AM,05:47 PM,-4,13,13,13,13,0,30,0.0,1015,9,10,67,7
2018-01-02 06:00:00,21,8,0.0,8.7,4,4,100,06:15 PM,07:14 AM,07:20 AM,05:47 PM,-2,16,16,16,4,0,31,0.0,1016,11,10,118,4
2018-01-02 12:00:00,21,8,0.0,8.7,4,6,100,06:15 PM,07:14 AM,07:20 AM,05:47 PM,-5,23,22,23,12,0,15,0.0,1015,21,10,8,10
2018-01-02 18:00:00,21,8,0.0,8.7,4,4,100,06:15 PM,07:14 AM,07:20 AM,05:47 PM,-2,15,15,15,21,0,30,0.0,1016,14,10,43,10
2018-01-03 00:00:00,22,8,0.0,8.7,4,1,89,07:22 PM,08:15 AM,07:21 AM,05:47 PM,1,13,14,13,14,0,44,0.0,1016,10,10,109,7
2018-01-03 06:00:00,22,8,0.0,8.7,4,4,89,07:22 PM,08:15 AM,07:21 AM,05:47 PM,2,15,15,15,9,0,42,0.0,1017,11,10,162,6
2018-01-03 12:00:00,22,8,0.0,8.7,4,6,89,07:22 PM,08:15 AM,07:21 AM,05:47 PM,-4,26,24,26,5,0,14,0.0,1015,22,10,355,5
2018-01-03 18:00:00,22,8,0.0,8.7,4,4,89,07:22 PM,08:15 AM,07:21 AM,05:47 PM,-3,16,16,16,20,0,27,0.0,1015,14,10,72,10
2018-01-04 00:00:00,23,10,0.0,8.7,4,1,81,08:29 PM,09:10 AM,07:21 AM,05:48 PM,0,14,14,14,15,0,40,0.0,1015,10,10,112,7
2018-01-04 06:00:00,23,10,0.0,8.7,4,4,81,08:29 PM,09:10 AM,07:21 AM,05:48 PM,0,14,15,14,16,0,38,0.0,1016,12,10,148,10
2018-01-04 12:00:00,23,10,0.0,8.7,4,6,81,08:29 PM,09:10 AM,07:21 AM,05:48 PM,-3,23,23,23,16,0,17,0.0,1013,23,10,198,14
2018-01-04 18:00:00,23,10,0.0,8.7,4,4,81,08:29 PM,09:10 AM,07:21 AM,05:48 PM,0,17,17,17,14,0,33,0.0,1014,14,10,173,6
2018-01-05 00:00:00,22,10,0.0,8.7,4,1,74,09:34 PM,10:00 AM,07:21 AM,05:49 PM,5,13,14,13,20,0,55,0.0,1015,11,10,157,10
2018-01-05 06:00:00,22,10,0.0,8.7,4,4,74,09:34 PM,10:00 AM,07:21 AM,05:49 PM,1,14,14,14,17,0,41,0.0,1016,12,10,165,10
2018-01-05 12:00:00,22,10,0.0,8.7,4,6,74,09:34 PM,10:00 AM,07:21 AM,05:49 PM,-2,24,24,26,6,0,16,0.0,1014,22,10,270,5
2018-01-05 18:00:00,22,10,0.0,8.7,4,4,74,09:34 PM,10:00 AM,07:21 AM,05:49 PM,-1,16,16,16,14,0,29,0.0,1014,14,10,29,6
2018-01-06 00:00:00,22,9,0.0,8.7,4,1,67,10:35 PM,10:44 AM,07:21 AM,05:50 PM,-0,13,13,13,12,4,40,0.0,1015,11,10,98,6
2018-01-06 06:00:00,22,9,0.0,8.7,4,4,67,10:35 PM,10:44 AM,07:21 AM,05:50 PM,2,15,15,15,7,3,43,0.0,1015,12,10,104,4
2018-01-06 12:00:00,22,9,0.0,8.7,4,6,67,10:35 PM,10:44 AM,07:21 AM,05:50 PM,1,25,24,25,8,2,20,0.0,1013,22,10,301,7
2018-01-06 18:00:00,22,9,0.0,8.7,4,4,67,10:35 PM,10:44 AM,07:21 AM,05:50 PM,-1,16,16,16,22,0,32,0.0,1015,14,10,13,11
2018-01-07 00:00:00,21,9,0.0,8.7,4,1,59,11:35 PM,11:24 AM,07:21 AM,05:50 PM,1,13,14,13,14,0,41,0.0,1016,10,10,50,8
2018-01-07 06:00:00,21,9,0.0,8.7,4,4,59,11:35 PM,11:24 AM,07:21 AM,05:50 PM,3,15,15,15,6,0,44,0.0,1017,11,10,45,5
2018-01-07 12:00:00,21,9,0.0,8.7,4,6,59,11:35 PM,11:24 AM,07:21 AM,05:50 PM,-4,23,22,23,13,0,16,0.0,1015,21,10,333,12
2018-01-07 18:00:00,21,9,0.0,8.7,4,4,59,11:35 PM,11:24 AM,07:21 AM,05:50 PM,-4,14,15,14,21,0,26,0.0,1016,13,10,356,10
2018-01-08 00:00:00,21,7,0.0,8.7,4,1,52,No moonrise,12:01 PM,07:21 AM,05:51 PM,-1,14,13,14,6,0,37,0.0,1017,8,10,18,3
2018-01-08 06:00:00,21,7,0.0,8.7,4,4,52,No moonrise,12:01 PM,07:21 AM,05:51 PM,-0,16,15,16,4,0,36,0.0,1018,10,10,17,4
