date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,04:51 PM,05:37 AM,06:49 AM,05:27 PM,7,15,15,15,3,1,57,0.0,1015,13,10,334,1
2018-01-01 06:00:00,23,11,0.0,8.7,5,4,97,04:51 PM,05:37 AM,06:49 AM,05:27 PM,5,17,17,17,5,0,48,0.0,1016,14,10,16,4
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,04:51 PM,05:37 AM,06:49 AM,05:27 PM,2,23,23,23,14,4,26,0.0,1013,23,10,20,12
2018-01-01 18:00:00,23,11,0.0,8.7,5,4,97,04:51 PM,05:37 AM,06:49 AM,05:27 PM,3,14,14,14,16,3,47,0.0,1015,14,10,42,8
2018-01-02 00:00:00,22,11,0.0,8.7,5,1,100,05:55 PM,06:42 AM,06:49 AM,05:28 PM,3,13,13,13,3,3,51,0.0,1015,12,10,45,1
2018-01-02 06:00:00,22,11,0.0,8.7,5,4,100,05:55 PM,06:42 AM,06:49 AM,05:28 PM,1,15,15,15,1,6,39,0.0,1016,14,10,103,1
2018-01-02 12:00:00,22,11,0.0,8.7,5,6,100,05:55 PM,06:42 AM,06:49 AM,05:28 PM,1,23,23,22,9,5,25,0.0,1013,22,10,351,8
2018-01-02 18:00:00,22,11,0.0,8.7,5,4,100,05:55 PM,06:42 AM,06:49 AM,05:28 PM,3,13,14,13,19,3,49,0.0,1015,14,10,45,9
2018-01-03 00:00:00,22,10,0.0,8.7,4,1,89,07:01 PM,07:44 AM,06:50 AM,05:28 PM,4,13,12,13,9,3,58,0.0,1016,11,10,136,4
2018-01-03 06:00:00,22,10,0.0,8.7,4,4,89,07:01 PM,07:44 AM,06:50 AM,05:28 PM,6,16,16,16,4,0,51,0.0,1018,14,10,200,4
