date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,05:08 PM,06:12 AM,07:25 AM,05:42 PM,-4,14,14,14,8,0,28,0.0,1014,12,10,103,4
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,05:08 PM,06:12 AM,07:25 AM,05:42 PM,-3,14,14,14,3,0,32,0.0,1015,11,10,88,2
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,05:08 PM,06:12 AM,07:25 AM,05:42 PM,-0,23,23,23,5,0,21,0.0,1014,21,10,339,4
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,05:08 PM,06:12 AM,07:25 AM,05:42 PM,-2,16,16,16,8,0,28,0.0,1014,15,10,316,4
2018-01-02 00:00:00,22,10,0.0,8.7,4,1,100,06:12 PM,07:18 AM,07:25 AM,05:43 PM,-3,14,13,14,8,0,31,0.0,1014,11,10,101,4
2018-01-02 06:00:00,22,10,0.0,8.7,4,4,100,06:12 PM,07:18 AM,07:25 AM,05:43 PM,-3,14,14,14,4,0,30,0.0,1015,12,10,160,3
2018-01-02 12:00:00,22,10,0.0,8.7,4,6,100,06:12 PM,07:18 AM,07:25 AM,05:43 PM,-3,23,23,23,5,0,17,0.0,1015,22,10,269,5
2018-01-02 18:00:00,22,10,0.0,8.7,4,4,100,06:12 PM,07:18 AM,07:25 AM,05:43 PM,-4,17,17,17,5,0,24,0.0,1015,15,10,225,2
2018-01-03 00:00:00,22,10,0.0,8.7,5,1,89,07:19 PM,08:19 AM,07:25 AM,05:44 PM,-2,15,14,15,7,0,31,0.0,1015,12,10,82,4
2018-01-03 06:00:00,22,10,0.0,8.7,5,4,89,07:19 PM,08:19 AM,07:25 AM,05:44 PM,0,14,14,14,6,0,39,0.0,1017,12,10,166,4
2018-01-03 12:00:00,22,10,0.0,8.7,5,6,89,07:19 PM,08:19 AM,07:25 AM,05:44 PM,-5,23,23,23,7,0,15,0.0,1015,22,10,291,6
2018-01-03 18:00:00,22,10,0.0,8.7,5,4,89,07:19 PM,08:19 AM,07:25 AM,05:44 PM,-3,17,17,17,4,0,25,0.0,1015,15,10,168,2
2018-01-04 00:00:00,22,11,0.0,8.7,4,1,81,08:26 PM,09:14 AM,07:26 AM,05:45 PM,-2,14,14,14,10,0,33,0.0,1015,12,10,59,5
