date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,04:36 PM,05:27 AM,06:40 AM,05:12 PM,7,15,15,15,11,32,59,0.0,1013,14,10,293,5
2018-01-01 06:00:00,22,11,0.0,8.7,5,4,97,04:36 PM,05:27 AM,06:40 AM,05:12 PM,8,15,15,15,7,6,61,0.0,1016,14,10,286,6
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,04:36 PM,05:27 AM,06:40 AM,05:12 PM,10,26,26,26,5,0,36,0.0,1013,22,10,286,4
2018-01-01 18:00:00,22,11,0.0,8.7,5,5,97,04:36 PM,05:27 AM,06:40 AM,05:12 PM,8,18,18,18,12,0,53,0.0,1014,15,10,283,9
2018-01-02 00:00:00,21,10,0.0,8.7,4,1,100,05:40 PM,06:32 AM,06:40 AM,05:13 PM,9,17,17,17,10,0,61,0.0,1013,12,10,299,8
2018-01-02 06:00:00,21,10,0.0,8.7,4,4,100,05:40 PM,06:32 AM,06:40 AM,05:13 PM,10,17,17,17,9,0,64,0.0,1015,13,10,301,8
2018-01-02 12:00:00,21,10,0.0,8.7,4,6,100,05:40 PM,06:32 AM,06:40 AM,05:13 PM,4,23,24,23,15,0,28,0.0,1013,21,10,267,13
2018-01-02 18:00:00,21,10,0.0,8.7,4,4,100,05:40 PM,06:32 AM,06:40 AM,05:13 PM,6,17,17,17,14,0,48,0.0,1014,14,10,298,9
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,06:46 PM,07:34 AM,06:40 AM,05:14 PM,7,16,16,16,9,0,56,0.0,1013,11,10,281,8
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,06:46 PM,07:34 AM,06:40 AM,05:14 PM,6,14,15,14,13,0,57,0.0,1015,12,10,269,12
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,06:46 PM,07:34 AM,06:40 AM,05:14 PM,4,22,23,22,18,0,29,0.0,1013,21,10,281,15
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,06:46 PM,07:34 AM,06:40 AM,05:14 PM,5,16,16,16,18,0,47,0.0,1014,14,10,270,10
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,07:52 PM,08:30 AM,06:41 AM,05:14 PM,6,15,15,15,13,0,54,0.0,1014,11,10,265,10
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,07:52 PM,08:30 AM,06:41 AM,05:14 PM,8,17,17,17,7,0,54,0.0,1017,13,10,249,6
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,07:52 PM,08:30 AM,06:41 AM,05:14 PM,6,25,24,25,8,0,30,0.0,1015,21,10,251,7
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,07:52 PM,08:30 AM,06:41 AM,05:14 PM,6,18,18,18,10,0,47,0.0,1015,14,10,328,7
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,08:57 PM,09:20 AM,06:41 AM,05:15 PM,9,17,17,17,5,0,57,0.0,1015,12,10,304,4
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,08:57 PM,09:20 AM,06:41 AM,05:15 PM,9,17,17,17,7,0,59,0.0,1017,12,10,259,6
