date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:01 PM,06:03 AM,07:16 AM,05:36 PM,1,15,15,15,7,0,41,0.0,1014,11,10,238,4
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,05:01 PM,06:03 AM,07:16 AM,05:36 PM,2,15,14,15,5,0,44,0.0,1015,11,10,339,4
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:01 PM,06:03 AM,07:16 AM,05:36 PM,-1,23,23,23,4,0,20,0.0,1013,20,10,276,4
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:01 PM,06:03 AM,07:16 AM,05:36 PM,-0,15,15,15,9,0,35,0.0,1014,13,10,344,5
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:05 PM,07:09 AM,07:16 AM,05:36 PM,4,13,13,13,7,0,55,0.0,1014,10,10,358,4
2018-01-02 06:00:00,20,8,0.0,8.7,4,4,100,06:05 PM,07:09 AM,07:16 AM,05:36 PM,5,13,13,13,6,0,59,0.0,1015,10,10,309,5
2018-01-02 12:00:00,20,8,0.0,8.7,4,5,100,06:05 PM,07:09 AM,07:16 AM,05:36 PM,2,22,23,22,7,0,28,0.0,1014,20,10,342,6
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:05 PM,07:09 AM,07:16 AM,05:36 PM,4,15,15,15,6,0,47,0.0,1015,13,10,302,3
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:12 PM,08:10 AM,07:16 AM,05:37 PM,4,13,13,13,10,0,54,0.0,1015,10,10,301,6
2018-01-03 06:00:00,21,8,0.0,8.7,4,4,89,07:12 PM,08:10 AM,07:16 AM,05:37 PM,5,12,12,12,9,0,61,0.0,1016,10,10,287,6
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:12 PM,08:10 AM,07:16 AM,05:37 PM,3,21,23,21,11,0,29,0.0,1015,21,10,325,10
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:12 PM,08:10 AM,07:16 AM,05:37 PM,3,14,14,14,15,0,49,0.0,1014,13,10,296,7
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:19 PM,09:05 AM,07:16 AM,05:38 PM,2,11,11,11,14,0,53,0.0,1015,9,10,322,7
2018-01-04 06:00:00,21,8,0.0,8.7,4,4,81,08:19 PM,09:05 AM,07:16 AM,05:38 PM,4,13,13,13,7,0,56,0.0,1016,10,10,281,5
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:19 PM,09:05 AM,07:16 AM,05:38 PM,1,23,23,23,6,0,23,0.0,1014,21,10,265,5
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:19 PM,09:05 AM,07:16 AM,05:38 PM,0,15,15,15,15,0,37,0.0,1014,13,10,44,7
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:25 PM,09:54 AM,07:17 AM,05:39 PM,0,13,13,13,11,0,42,0.0,1016,11,10,65,6
