date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,12,0.0,8.7,5,1,97,04:45 PM,05:21 AM,06:33 AM,05:22 PM,6,17,17,17,13,0,48,0.0,1013,14,10,18,7
2018-01-01 06:00:00,27,12,0.0,8.7,5,5,97,04:45 PM,05:21 AM,06:33 AM,05:22 PM,6,19,19,19,11,0,43,0.0,1014,17,10,25,10
2018-01-01 12:00:00,27,12,0.0,8.7,5,7,97,04:45 PM,05:21 AM,06:33 AM,05:22 PM,7,28,28,30,7,2,24,0.0,1010,27,10,36,6
2018-01-01 18:00:00,27,12,0.0,8.7,5,5,97,04:45 PM,05:21 AM,06:33 AM,05:22 PM,6,20,20,20,10,3,42,0.0,1012,18,10,47,5
2018-01-02 00:00:00,27,12,0.0,8.7,5,1,100,05:49 PM,06:26 AM,06:33 AM,05:23 PM,6,14,15,14,17,2,55,0.0,1012,13,10,32,8
2018-01-02 06:00:00,27,12,0.0,8.7,5,5,100,05:49 PM,06:26 AM,06:33 AM,05:23 PM,7,19,19,19,10,2,48,0.0,1014,17,10,27,9
2018-01-02 12:00:00,27,12,0.0,8.7,5,7,100,05:49 PM,06:26 AM,06:33 AM,05:23 PM,7,27,27,28,3,4,26,0.0,1010,27,10,359,3
2018-01-02 18:00:00,27,12,0.0,8.7,5,5,100,05:49 PM,06:26 AM,06:33 AM,05:23 PM,7,20,20,20,8,5,45,0.0,1013,18,10,251,4
2018-01-03 00:00:00,26,12,0.0,8.7,5,1,89,06:54 PM,07:28 AM,06:33 AM,05:23 PM,6,13,14,13,21,6,58,0.0,1013,13,10,25,10
2018-01-03 06:00:00,26,12,0.0,8.7,5,5,89,06:54 PM,07:28 AM,06:33 AM,05:23 PM,7,17,17,17,11,4,50,0.0,1015,17,10,30,10
2018-01-03 12:00:00,26,12,0.0,8.7,5,7,89,06:54 PM,07:28 AM,06:33 AM,05:23 PM,6,26,26,27,10,5,27,0.0,1012,26,10,287,9
2018-01-03 18:00:00,26,12,0.0,8.7,5,5,89,06:54 PM,07:28 AM,06:33 AM,05:23 PM,8,19,19,19,10,2,47,0.0,1014,17,10,228,5
2018-01-04 00:00:00,25,10,0.0,8.7,5,1,81,07:59 PM,08:25 AM,06:34 AM,05:24 PM,5,14,14,14,16,0,54,0.0,1015,12,10,18,8
2018-01-04 06:00:00,25,10,0.0,8.7,5,5,81,07:59 PM,08:25 AM,06:34 AM,05:24 PM,5,17,17,17,10,0,43,0.0,1017,16,10,27,8
2018-01-04 12:00:00,25,10,0.0,8.7,5,7,81,07:59 PM,08:25 AM,06:34 AM,05:24 PM,5,27,27,29,1,0,22,0.0,1013,25,10,272,1
2018-01-04 18:00:00,25,10,0.0,8.7,5,5,81,07:59 PM,08:25 AM,06:34 AM,05:24 PM,4,18,18,18,5,0,39,0.0,1015,16,10,299,2
2018-01-05 00:00:00,25,9,0.0,8.7,5,1,74,09:02 PM,09:17 AM,06:34 AM,05:25 PM,3,15,15,15,13,0,46,0.0,1014,12,10,40,6
2018-01-05 06:00:00,25,9,0.0,8.7,5,4,74,09:02 PM,09:17 AM,06:34 AM,05:25 PM,2,17,17,17,9,0,38,0.0,1016,15,10,21,8
2018-01-05 12:00:00,25,9,0.0,8.7,5,7,74,09:02 PM,09:17 AM,06:34 AM,05:25 PM,1,26,26,28,7,0,18,0.0,1012,25,10,305,6
2018-01-05 18:00:00,25,9,0.0,8.7,5,5,74,09:02 PM,09:17 AM,06:34 AM,05:25 PM,2,18,18,18,6,0,33,0.0,1013,15,10,240,3
2018-01-06 00:00:00,26,10,0.0,8.7,5,1,67,10:02 PM,10:03 AM,06:34 AM,05:25 PM,1,14,14,14,14,0,42,0.0,1013,11,10,15,7
2018-01-06 06:00:00,26,10,0.0,8.7,5,4,67,10:02 PM,10:03 AM,06:34 AM,05:25 PM,1,17,17,17,9,0,35,0.0,1015,15,10,3,8
2018-01-06 12:00:00,26,10,0.0,8.7,5,7,67,10:02 PM,10:03 AM,06:34 AM,05:25 PM,0,26,26,28,8,0,16,0.0,1011,26,10,268,7
2018-01-06 18:00:00,26,10,0.0,8.7,5,5,67,10:02 PM,10:03 AM,06:34 AM,05:25 PM,1,18,18,18,10,0,31,0.0,1013,16,10,281,5
2018-01-07 00:00:00,26,9,0.0,8.7,5,1,59,10:59 PM,10:45 AM,06:34 AM,05:26 PM,-2,12,13,12,20,0,37,0.0,1014,11,10,15,9
2018-01-07 06:00:00,26,9,0.0,8.7,5,4,59,10:59 PM,10:45 AM,06:34 AM,05:26 PM,-1,16,16,16,10,0,31,0.0,1016,15,10,27,9
2018-01-07 12:00:00,26,9,0.0,8.7,5,7,59,10:59 PM,10:45 AM,06:34 AM,05:26 PM,1,26,26,28,6,0,18,0.0,1012,26,10,337,5
2018-01-07 18:00:00,26,9,0.0,8.7,5,5,59,10:59 PM,10:45 AM,06:34 AM,05:26 PM,2,18,18,18,4,0,33,0.0,1015,15,10,199,2
2018-01-08 00:00:00,26,10,0.0,8.7,5,1,52,11:53 PM,11:25 AM,06:35 AM,05:27 PM,-0,13,13,13,18,0,39,0.0,1015,11,10,21,9
2018-01-08 06:00:00,26,10,0.0,8.7,5,5,52,11:53 PM,11:25 AM,06:35 AM,05:27 PM,1,17,17,17,10,0,33,0.0,1018,15,10,47,9
2018-01-08 12:00:00,26,10,0.0,8.7,5,7,52,11:53 PM,11:25 AM,06:35 AM,05:27 PM,3,27,27,30,4,0,19,0.0,1015,26,10,5,4
2018-01-08 18:00:00,26,10,0.0,8.7,5,5,52,11:53 PM,11:25 AM,06:35 AM,05:27 PM,3,18,18,18,2,0,37,0.0,1017,15,10,228,1
2018-01-09 00:00:00,26,10,0.0,8.7,5,1,45,No moonrise,12:03 PM,06:35 AM,05:27 PM,3,14,14,14,12,0,47,0.0,1018,11,10,26,6
2018-01-09 06:00:00,26,10,0.0,8.7,5,5,45,No moonrise,12:03 PM,06:35 AM,05:27 PM,3,18,18,18,8,0,36,0.0,1020,15,10,21,7
2018-01-09 12:00:00,26,10,0.0,8.7,5,7,45,No moonrise,12:03 PM,06:35 AM,05:27 PM,-0,26,26,27,10,0,16,0.0,1016,26,10,303,9
2018-01-09 18:00:00,26,10,0.0,8.7,5,5,45,No moonrise,12:03 PM,06:35 AM,05:27 PM,1,18,18,18,9,0,32,0.0,1018,16,10,264,4
2018-01-10 00:00:00,27,9,0.0,8.7,5,1,38,12:45 AM,12:41 PM,06:35 AM,05:28 PM,1,14,14,14,16,0,40,0.0,1018,12,10,5,8
2018-01-10 06:00:00,27,9,0.0,8.7,5,5,38,12:45 AM,12:41 PM,06:35 AM,05:28 PM,0,17,17,17,8,0,31,0.0,1020,15,10,12,7
2018-01-10 12:00:00,27,9,0.0,8.7,5,7,38,12:45 AM,12:41 PM,06:35 AM,05:28 PM,-1,26,26,29,9,0,15,0.0,1015,27,10,261,8
2018-01-10 18:00:00,27,9,0.0,8.7,5,5,38,12:45 AM,12:41 PM,06:35 AM,05:28 PM,0,19,19,19,10,0,28,0.0,1017,16,10,238,5
