date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,19,0.0,10.9,6,1,97,05:33 PM,06:06 AM,07:16 AM,06:08 PM,12,24,25,24,9,0,45,0.0,1011,21,10,21,8
2018-01-01 06:00:00,29,19,0.0,10.9,6,1,97,05:33 PM,06:06 AM,07:16 AM,06:08 PM,11,23,25,23,10,0,44,0.0,1012,21,10,21,9
2018-01-01 12:00:00,29,19,0.0,10.9,6,7,97,05:33 PM,06:06 AM,07:16 AM,06:08 PM,11,29,29,30,13,0,30,0.0,1010,29,10,317,11
2018-01-01 18:00:00,29,19,0.0,10.9,6,6,97,05:33 PM,06:06 AM,07:16 AM,06:08 PM,11,25,25,25,16,0,44,0.0,1011,23,10,334,10
2018-01-02 00:00:00,30,18,0.0,10.9,6,1,100,06:37 PM,07:11 AM,07:16 AM,06:09 PM,12,24,25,24,7,0,46,0.0,1011,20,10,31,6
2018-01-02 06:00:00,30,18,0.0,10.9,6,1,100,06:37 PM,07:11 AM,07:16 AM,06:09 PM,11,23,25,23,9,0,47,0.0,1012,20,10,72,8
2018-01-02 12:00:00,30,18,0.0,10.9,6,8,100,06:37 PM,07:11 AM,07:16 AM,06:09 PM,11,33,33,34,4,0,25,0.0,1010,30,10,290,3
2018-01-02 18:00:00,30,18,0.0,10.9,6,6,100,06:37 PM,07:11 AM,07:16 AM,06:09 PM,11,26,26,26,18,0,40,0.0,1011,24,10,337,11
2018-01-03 00:00:00,30,20,0.0,10.9,6,1,89,07:43 PM,08:12 AM,07:16 AM,06:10 PM,9,23,24,23,18,0,40,0.0,1011,21,10,61,12
2018-01-03 06:00:00,30,20,0.0,10.9,6,1,89,07:43 PM,08:12 AM,07:16 AM,06:10 PM,11,24,25,24,10,0,44,0.0,1013,21,10,78,9
2018-01-03 12:00:00,30,20,0.0,10.9,6,7,89,07:43 PM,08:12 AM,07:16 AM,06:10 PM,12,31,31,32,10,0,30,0.0,1011,30,10,273,9
2018-01-03 18:00:00,30,20,0.0,10.9,6,6,89,07:43 PM,08:12 AM,07:16 AM,06:10 PM,14,26,26,26,13,0,48,0.0,1012,24,10,310,9
2018-01-04 00:00:00,29,20,0.0,10.9,6,1,81,08:47 PM,09:10 AM,07:16 AM,06:10 PM,13,27,27,27,3,0,44,0.0,1013,21,10,87,3
2018-01-04 06:00:00,29,20,0.0,10.9,6,1,81,08:47 PM,09:10 AM,07:16 AM,06:10 PM,14,26,27,26,5,0,45,0.0,1014,22,10,98,4
2018-01-04 12:00:00,29,20,0.0,10.9,6,7,81,08:47 PM,09:10 AM,07:16 AM,06:10 PM,13,30,30,31,14,0,33,0.0,1012,29,10,273,12
2018-01-04 18:00:00,29,20,0.0,10.9,6,6,81,08:47 PM,09:10 AM,07:16 AM,06:10 PM,14,27,27,26,9,0,49,0.0,1013,23,10,317,6
2018-01-05 00:00:00,29,19,0.0,10.9,6,1,74,09:50 PM,10:01 AM,07:17 AM,06:11 PM,12,25,25,25,7,0,45,0.0,1013,20,10,24,6
2018-01-05 06:00:00,29,19,0.0,10.9,6,1,74,09:50 PM,10:01 AM,07:17 AM,06:11 PM,12,24,25,24,9,0,48,0.0,1014,20,10,30,8
2018-01-05 12:00:00,29,19,0.0,10.9,6,7,74,09:50 PM,10:01 AM,07:17 AM,06:11 PM,9,29,29,31,12,0,26,0.0,1011,29,10,321,10
2018-01-05 18:00:00,29,19,0.0,10.9,6,6,74,09:50 PM,10:01 AM,07:17 AM,06:11 PM,8,25,25,25,17,0,34,0.0,1012,23,10,335,10
2018-01-06 00:00:00,28,18,0.0,11.0,6,1,67,10:49 PM,10:48 AM,07:17 AM,06:12 PM,6,23,24,23,11,0,33,0.0,1012,20,10,46,9
2018-01-06 06:00:00,28,18,0.0,11.0,6,1,67,10:49 PM,10:48 AM,07:17 AM,06:12 PM,8,23,24,23,10,0,37,0.0,1013,20,10,15,9
2018-01-06 12:00:00,28,18,0.0,11.0,6,7,67,10:49 PM,10:48 AM,07:17 AM,06:12 PM,8,28,28,30,12,0,26,0.0,1011,28,10,321,11
2018-01-06 18:00:00,28,18,0.0,11.0,6,6,67,10:49 PM,10:48 AM,07:17 AM,06:12 PM,9,25,25,24,14,0,38,0.0,1013,22,10,345,9
