date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,19,0.0,8.7,6,1,97,05:12 PM,05:32 AM,06:41 AM,05:49 PM,14,21,21,21,2,10,64,0.0,1011,19,10,124,1
2018-01-01 06:00:00,31,19,0.0,8.7,6,6,97,05:12 PM,05:32 AM,06:41 AM,05:49 PM,13,25,25,23,9,16,53,0.0,1012,22,10,341,8
2018-01-01 12:00:00,31,19,0.0,8.7,6,8,97,05:12 PM,05:32 AM,06:41 AM,05:49 PM,12,31,31,32,6,8,30,0.0,1008,31,10,326,5
2018-01-01 18:00:00,31,19,0.0,8.7,6,6,97,05:12 PM,05:32 AM,06:41 AM,05:49 PM,11,25,25,25,16,6,42,0.0,1010,24,10,55,8
2018-01-02 00:00:00,30,18,0.0,8.7,6,1,100,06:15 PM,06:36 AM,06:41 AM,05:50 PM,15,21,21,21,6,16,70,0.0,1011,19,10,114,4
2018-01-02 06:00:00,30,18,0.0,8.7,6,6,100,06:15 PM,06:36 AM,06:41 AM,05:50 PM,17,25,25,23,7,9,67,0.0,1013,22,10,110,6
2018-01-02 12:00:00,30,18,0.0,8.7,6,8,100,06:15 PM,06:36 AM,06:41 AM,05:50 PM,13,31,31,31,2,19,33,0.0,1009,30,10,93,2
2018-01-02 18:00:00,30,18,0.0,8.7,6,6,100,06:15 PM,06:36 AM,06:41 AM,05:50 PM,13,26,26,25,15,13,45,0.0,1010,24,10,86,8
2018-01-03 00:00:00,30,19,0.0,8.7,6,1,89,07:21 PM,07:39 AM,06:42 AM,05:50 PM,15,22,24,22,8,21,64,0.0,1012,21,10,90,5
2018-01-03 06:00:00,30,19,0.0,8.7,6,6,89,07:21 PM,07:39 AM,06:42 AM,05:50 PM,17,23,25,23,7,9,69,0.0,1014,22,10,98,6
2018-01-03 12:00:00,30,19,0.0,8.7,6,7,89,07:21 PM,07:39 AM,06:42 AM,05:50 PM,11,29,29,30,8,12,31,0.0,1011,30,10,21,7
2018-01-03 18:00:00,30,19,0.0,8.7,6,6,89,07:21 PM,07:39 AM,06:42 AM,05:50 PM,9,25,25,24,22,6,39,0.0,1013,23,10,39,10
2018-01-04 00:00:00,29,18,0.0,8.7,6,1,81,08:24 PM,08:36 AM,06:42 AM,05:51 PM,8,21,21,21,17,5,46,0.0,1013,19,10,21,9
2018-01-04 06:00:00,29,18,0.0,8.7,6,6,81,08:24 PM,08:36 AM,06:42 AM,05:51 PM,8,22,24,22,6,8,41,0.0,1016,21,10,92,5
2018-01-04 12:00:00,29,18,0.0,8.7,6,7,81,08:24 PM,08:36 AM,06:42 AM,05:51 PM,8,28,28,30,11,5,25,0.0,1012,29,10,27,9
2018-01-04 18:00:00,29,18,0.0,8.7,6,6,81,08:24 PM,08:36 AM,06:42 AM,05:51 PM,7,23,24,23,16,4,36,0.0,1013,22,10,43,8
2018-01-05 00:00:00,29,17,0.0,8.7,6,1,74,09:26 PM,09:29 AM,06:42 AM,05:51 PM,8,20,20,20,10,5,45,0.0,1013,18,10,72,5
2018-01-05 06:00:00,29,17,0.0,8.7,6,6,74,09:26 PM,09:29 AM,06:42 AM,05:51 PM,11,25,25,25,4,2,41,0.0,1014,20,10,102,4
2018-01-05 12:00:00,29,17,0.0,8.7,6,7,74,09:26 PM,09:29 AM,06:42 AM,05:51 PM,9,30,30,31,9,2,24,0.0,1010,29,10,28,8
2018-01-05 18:00:00,29,17,0.0,8.7,6,6,74,09:26 PM,09:29 AM,06:42 AM,05:51 PM,7,25,25,24,13,0,33,0.0,1012,22,10,44,7
2018-01-06 00:00:00,29,16,0.0,8.7,6,1,67,10:23 PM,10:17 AM,06:43 AM,05:52 PM,8,20,20,20,11,3,46,0.0,1012,18,10,88,6
2018-01-06 06:00:00,29,16,0.0,8.7,6,5,67,10:23 PM,10:17 AM,06:43 AM,05:52 PM,14,23,25,23,5,2,58,0.0,1014,20,10,124,4
2018-01-06 12:00:00,29,16,0.0,8.7,6,7,67,10:23 PM,10:17 AM,06:43 AM,05:52 PM,9,28,28,30,10,4,27,0.0,1010,29,10,49,9
2018-01-06 18:00:00,29,16,0.0,8.7,6,6,67,10:23 PM,10:17 AM,06:43 AM,05:52 PM,10,23,25,23,13,5,43,0.0,1012,22,10,63,6
2018-01-07 00:00:00,29,17,0.0,8.7,6,1,59,11:18 PM,11:02 AM,06:43 AM,05:53 PM,11,20,20,20,3,5,54,0.0,1012,18,10,133,2
2018-01-07 06:00:00,29,17,0.0,8.7,6,6,59,11:18 PM,11:02 AM,06:43 AM,05:53 PM,12,22,24,22,5,5,51,0.0,1014,20,10,71,4
2018-01-07 12:00:00,29,17,0.0,8.7,6,7,59,11:18 PM,11:02 AM,06:43 AM,05:53 PM,9,29,29,30,8,7,27,0.0,1011,29,10,96,7
2018-01-07 18:00:00,29,17,0.0,8.7,6,6,59,11:18 PM,11:02 AM,06:43 AM,05:53 PM,10,24,24,23,18,5,42,0.0,1013,22,10,84,9
2018-01-08 00:00:00,28,17,0.0,8.7,6,1,52,No moonrise,11:43 AM,06:43 AM,05:53 PM,12,20,20,20,10,4,59,0.0,1013,18,10,132,6
2018-01-08 06:00:00,28,17,0.0,8.7,6,6,52,No moonrise,11:43 AM,06:43 AM,05:53 PM,14,22,25,22,6,4,61,0.0,1015,20,10,95,5
2018-01-08 12:00:00,28,17,0.0,8.7,6,7,52,No moonrise,11:43 AM,06:43 AM,05:53 PM,12,28,28,29,12,8,34,0.0,1013,28,10,85,10
2018-01-08 18:00:00,28,17,0.0,8.7,6,6,52,No moonrise,11:43 AM,06:43 AM,05:53 PM,12,25,25,23,15,9,49,0.0,1015,23,10,74,7
2018-01-09 00:00:00,29,17,0.0,8.7,6,1,45,12:10 AM,12:23 PM,06:43 AM,05:54 PM,16,22,25,22,5,1,68,0.0,1015,18,10,110,4
2018-01-09 06:00:00,29,17,0.0,8.7,6,6,45,12:10 AM,12:23 PM,06:43 AM,05:54 PM,16,23,25,23,5,2,64,0.0,1018,20,10,73,4
2018-01-09 12:00:00,29,17,0.0,8.7,6,7,45,12:10 AM,12:23 PM,06:43 AM,05:54 PM,13,29,29,29,13,7,36,0.0,1015,29,10,78,12
2018-01-09 18:00:00,29,17,0.0,8.7,6,6,45,12:10 AM,12:23 PM,06:43 AM,05:54 PM,13,25,25,24,11,10,48,0.0,1016,23,10,69,6
2018-01-10 00:00:00,30,18,0.0,8.7,6,1,38,01:01 AM,01:03 PM,06:44 AM,05:54 PM,14,21,21,21,10,9,66,0.0,1016,19,10,104,6
2018-01-10 06:00:00,30,18,0.0,8.7,6,6,38,01:01 AM,01:03 PM,06:44 AM,05:54 PM,15,23,25,23,5,7,60,0.0,1018,21,10,26,5
2018-01-10 12:00:00,30,18,0.0,8.7,6,7,38,01:01 AM,01:03 PM,06:44 AM,05:54 PM,11,30,30,31,8,4,29,0.0,1014,30,10,43,7
2018-01-10 18:00:00,30,18,0.0,8.7,6,6,38,01:01 AM,01:03 PM,06:44 AM,05:54 PM,13,26,26,26,12,4,44,0.0,1016,24,10,64,6
2018-01-11 00:00:00,31,19,0.0,8.7,6,1,30,01:51 AM,01:43 PM,06:44 AM,05:55 PM,17,22,25,22,7,4,74,0.0,1016,20,10,116,5
2018-01-11 06:00:00,31,19,0.0,8.7,6,6,30,01:51 AM,01:43 PM,06:44 AM,05:55 PM,18,26,26,25,4,4,66,0.0,1018,23,10,18,3
2018-01-11 12:00:00,31,19,0.0,8.7,6,8,30,01:51 AM,01:43 PM,06:44 AM,05:55 PM,14,33,33,33,6,6,33,0.0,1013,31,10,31,5
2018-01-11 18:00:00,31,19,0.0,8.7,6,7,30,01:51 AM,01:43 PM,06:44 AM,05:55 PM,13,27,27,27,12,5,43,0.0,1014,26,10,46,6
2018-01-12 00:00:00,32,20,0.0,8.7,7,1,23,02:40 AM,02:23 PM,06:44 AM,05:56 PM,10,24,25,24,8,5,42,0.0,1014,22,10,10,5
2018-01-12 06:00:00,32,20,0.0,8.7,7,6,23,02:40 AM,02:23 PM,06:44 AM,05:56 PM,8,25,25,25,7,3,34,0.0,1016,23,10,25,6
2018-01-12 12:00:00,32,20,0.0,8.7,7,8,23,02:40 AM,02:23 PM,06:44 AM,05:56 PM,9,33,33,35,9,0,22,0.0,1012,32,10,24,8
2018-01-12 18:00:00,32,20,0.0,8.7,7,7,23,02:40 AM,02:23 PM,06:44 AM,05:56 PM,10,27,27,28,11,0,33,0.0,1014,25,10,42,6
2018-01-13 00:00:00,32,20,0.0,8.7,7,1,16,03:30 AM,03:07 PM,06:44 AM,05:56 PM,13,26,26,26,4,0,44,0.0,1014,21,10,39,4
