date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,4,0.0,14.5,3,1,97,07:30 PM,04:02 AM,05:03 AM,08:40 PM,5,6,6,6,5,18,96,0.0,1009,6,2,215,2
2018-01-01 06:00:00,20,4,0.0,14.5,3,1,97,07:30 PM,04:02 AM,05:03 AM,08:40 PM,3,5,5,5,2,10,87,0.0,1010,5,10,207,1
2018-01-01 12:00:00,20,4,0.0,14.5,3,5,97,07:30 PM,04:02 AM,05:03 AM,08:40 PM,4,19,19,19,6,2,37,0.0,1010,19,10,311,5
2018-01-01 18:00:00,20,4,0.0,14.5,3,1,97,07:30 PM,04:02 AM,05:03 AM,08:40 PM,6,18,18,18,9,2,46,0.0,1008,18,10,311,8
2018-01-02 00:00:00,23,6,0.0,14.5,4,1,100,08:34 PM,04:59 AM,05:04 AM,08:40 PM,5,7,7,7,5,4,88,0.0,1011,7,10,310,2
2018-01-02 06:00:00,23,6,0.0,14.5,4,1,100,08:34 PM,04:59 AM,05:04 AM,08:40 PM,5,9,9,9,3,6,78,0.0,1010,9,10,269,1
2018-01-02 12:00:00,23,6,0.0,14.5,4,6,100,08:34 PM,04:59 AM,05:04 AM,08:40 PM,7,22,24,22,7,8,40,0.0,1011,22,10,328,6
2018-01-02 18:00:00,23,6,0.0,14.5,4,1,100,08:34 PM,04:59 AM,05:04 AM,08:40 PM,9,21,21,21,6,6,46,0.0,1010,21,10,291,5
2018-01-03 00:00:00,19,10,0.0,12.5,4,1,89,09:31 PM,06:05 AM,05:05 AM,08:40 PM,9,10,10,10,8,8,93,0.0,1012,10,10,145,4
2018-01-03 06:00:00,19,10,0.0,12.5,4,1,89,09:31 PM,06:05 AM,05:05 AM,08:40 PM,7,11,11,11,5,61,74,0.0,1012,11,10,9,3
2018-01-03 12:00:00,19,10,0.0,12.5,4,5,89,09:31 PM,06:05 AM,05:05 AM,08:40 PM,12,19,19,19,8,39,64,0.0,1011,19,10,321,7
2018-01-03 18:00:00,19,10,0.0,12.5,4,1,89,09:31 PM,06:05 AM,05:05 AM,08:40 PM,15,17,17,17,4,49,91,0.0,1010,17,9,348,3
2018-01-04 00:00:00,20,12,0.0,11.6,3,1,81,10:18 PM,07:17 AM,05:06 AM,08:40 PM,12,12,12,12,0,69,98,0.0,1011,12,10,190,0
2018-01-04 06:00:00,20,12,0.0,11.6,3,1,81,10:18 PM,07:17 AM,05:06 AM,08:40 PM,12,12,12,12,4,100,98,0.0,1010,12,0,335,3
2018-01-04 12:00:00,20,12,0.0,11.6,3,4,81,10:18 PM,07:17 AM,05:06 AM,08:40 PM,12,18,18,18,6,82,69,0.0,1009,18,10,320,5
2018-01-04 18:00:00,20,12,0.0,11.6,3,1,81,10:18 PM,07:17 AM,05:06 AM,08:40 PM,14,17,17,17,3,51,80,0.0,1006,17,10,266,3
