date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,24,0.0,11.6,7,1,97,05:31 PM,05:25 AM,06:32 AM,06:10 PM,21,27,27,25,10,9,78,0.0,1010,24,10,352,6
2018-01-01 06:00:00,30,24,0.0,11.6,7,1,97,05:31 PM,05:25 AM,06:32 AM,06:10 PM,21,27,27,26,15,18,76,0.0,1011,26,10,347,12
2018-01-01 12:00:00,30,24,0.0,11.6,7,7,97,05:31 PM,05:25 AM,06:32 AM,06:10 PM,20,32,32,30,12,24,56,0.0,1008,30,10,110,10
2018-01-01 18:00:00,30,24,0.0,11.6,7,7,97,05:31 PM,05:25 AM,06:32 AM,06:10 PM,22,28,28,26,18,19,76,0.0,1009,26,10,143,12
2018-01-02 00:00:00,29,24,0.0,11.6,7,1,100,06:35 PM,06:29 AM,06:32 AM,06:10 PM,21,28,28,26,4,33,78,0.0,1009,25,10,186,3
2018-01-02 06:00:00,29,24,0.0,11.6,7,1,100,06:35 PM,06:29 AM,06:32 AM,06:10 PM,21,28,28,26,12,23,73,0.0,1010,26,10,53,9
2018-01-02 12:00:00,29,24,0.0,11.6,7,6,100,06:35 PM,06:29 AM,06:32 AM,06:10 PM,21,31,31,29,16,44,64,0.3,1008,29,9,109,13
2018-01-02 18:00:00,29,24,0.0,11.6,7,6,100,06:35 PM,06:29 AM,06:32 AM,06:10 PM,22,28,28,26,18,37,77,0.3,1010,26,9,122,12
2018-01-03 00:00:00,30,25,0.0,11.6,7,1,89,07:39 PM,07:32 AM,06:33 AM,06:11 PM,22,28,28,26,4,44,79,0.1,1009,25,10,40,3
2018-01-03 06:00:00,30,25,0.0,11.6,7,1,89,07:39 PM,07:32 AM,06:33 AM,06:11 PM,21,28,28,26,20,46,75,0.0,1011,26,10,13,15
2018-01-03 12:00:00,30,25,0.0,11.6,7,7,89,07:39 PM,07:32 AM,06:33 AM,06:11 PM,20,32,32,30,19,17,57,0.0,1009,30,10,75,16
2018-01-03 18:00:00,30,25,0.0,11.6,7,7,89,07:39 PM,07:32 AM,06:33 AM,06:11 PM,22,28,28,26,31,40,76,0.1,1011,26,10,74,21
2018-01-04 00:00:00,30,24,0.0,11.6,6,1,81,08:40 PM,08:31 AM,06:33 AM,06:11 PM,21,27,27,25,25,87,79,0.3,1011,25,10,42,16
2018-01-04 06:00:00,30,24,0.0,11.6,6,1,81,08:40 PM,08:31 AM,06:33 AM,06:11 PM,21,27,27,25,28,49,78,0.2,1013,25,9,14,21
2018-01-04 12:00:00,30,24,0.0,11.6,6,7,81,08:40 PM,08:31 AM,06:33 AM,06:11 PM,19,31,31,30,24,24,52,0.0,1010,30,10,51,20
2018-01-04 18:00:00,30,24,0.0,11.6,6,7,81,08:40 PM,08:31 AM,06:33 AM,06:11 PM,20,28,28,27,39,28,66,0.0,1011,27,10,68,25
2018-01-05 00:00:00,29,24,0.0,10.2,7,1,74,09:39 PM,09:27 AM,06:34 AM,06:12 PM,18,26,26,25,25,17,67,0.0,1011,25,10,33,16
2018-01-05 06:00:00,29,24,0.0,10.2,7,1,74,09:39 PM,09:27 AM,06:34 AM,06:12 PM,18,26,26,25,26,20,68,0.0,1013,25,10,17,19
2018-01-05 12:00:00,29,24,0.0,10.2,7,7,74,09:39 PM,09:27 AM,06:34 AM,06:12 PM,18,30,30,29,27,9,51,0.0,1009,29,10,38,23
2018-01-05 18:00:00,29,24,0.0,10.2,7,7,74,09:39 PM,09:27 AM,06:34 AM,06:12 PM,19,27,27,26,38,2,66,0.0,1010,25,10,65,24
