date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,22,0.0,11.6,7,1,97,05:37 PM,05:35 AM,06:43 AM,06:14 PM,20,25,25,23,9,14,83,0.0,1010,22,10,74,6
2018-01-01 06:00:00,30,22,0.0,11.6,7,1,97,05:37 PM,05:35 AM,06:43 AM,06:14 PM,21,27,27,25,8,29,77,0.0,1011,24,10,66,6
2018-01-01 12:00:00,30,22,0.0,11.6,7,7,97,05:37 PM,05:35 AM,06:43 AM,06:14 PM,20,32,32,30,15,3,55,0.0,1008,30,10,273,13
2018-01-01 18:00:00,30,22,0.0,11.6,7,6,97,05:37 PM,05:35 AM,06:43 AM,06:14 PM,22,27,27,25,11,2,81,0.0,1009,24,10,293,8
2018-01-02 00:00:00,30,22,0.0,11.6,7,1,100,06:40 PM,06:39 AM,06:43 AM,06:15 PM,21,26,26,23,8,6,89,0.0,1009,22,10,59,6
2018-01-02 06:00:00,30,22,0.0,11.6,7,1,100,06:40 PM,06:39 AM,06:43 AM,06:15 PM,21,27,27,25,7,14,79,0.0,1011,24,10,38,6
2018-01-02 12:00:00,30,22,0.0,11.6,7,7,100,06:40 PM,06:39 AM,06:43 AM,06:15 PM,20,30,30,28,17,41,63,0.0,1008,28,10,274,13
2018-01-02 18:00:00,30,22,0.0,11.6,7,6,100,06:40 PM,06:39 AM,06:43 AM,06:15 PM,22,27,27,25,10,11,81,0.0,1010,24,10,305,6
2018-01-03 00:00:00,30,22,0.0,11.6,7,1,89,07:45 PM,07:42 AM,06:44 AM,06:15 PM,22,26,26,24,7,12,90,0.0,1010,23,10,74,5
2018-01-03 06:00:00,30,22,0.0,11.6,7,1,89,07:45 PM,07:42 AM,06:44 AM,06:15 PM,21,27,27,25,8,12,77,0.0,1012,25,10,58,7
2018-01-03 12:00:00,30,22,0.0,11.6,7,8,89,07:45 PM,07:42 AM,06:44 AM,06:15 PM,21,33,33,30,17,6,58,0.0,1009,30,10,273,14
2018-01-03 18:00:00,30,22,0.0,11.6,7,6,89,07:45 PM,07:42 AM,06:44 AM,06:15 PM,22,27,27,25,15,15,84,0.1,1011,25,10,313,9
2018-01-04 00:00:00,30,22,0.0,11.6,7,1,81,08:46 PM,08:41 AM,06:44 AM,06:16 PM,21,25,25,23,13,11,87,0.0,1011,23,10,53,8
2018-01-04 06:00:00,30,22,0.0,11.6,7,1,81,08:46 PM,08:41 AM,06:44 AM,06:16 PM,18,26,26,24,20,15,69,0.0,1013,24,10,59,14
