date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,11,0.0,8.7,5,1,97,05:02 PM,05:48 AM,06:59 AM,05:38 PM,5,14,14,14,9,5,55,0.0,1015,12,10,65,5
2018-01-01 06:00:00,24,11,0.0,8.7,5,4,97,05:02 PM,05:48 AM,06:59 AM,05:38 PM,5,16,16,16,8,6,50,0.0,1016,15,10,70,5
2018-01-01 12:00:00,24,11,0.0,8.7,5,6,97,05:02 PM,05:48 AM,06:59 AM,05:38 PM,4,24,24,24,9,7,27,0.0,1012,24,10,49,8
2018-01-01 18:00:00,24,11,0.0,8.7,5,5,97,05:02 PM,05:48 AM,06:59 AM,05:38 PM,3,16,16,16,26,7,44,0.0,1014,15,10,77,12
2018-01-02 00:00:00,23,11,0.0,8.7,5,1,100,06:05 PM,06:53 AM,06:59 AM,05:38 PM,3,13,13,13,11,7,49,0.0,1014,12,10,110,5
2018-01-02 06:00:00,23,11,0.0,8.7,5,4,100,06:05 PM,06:53 AM,06:59 AM,05:38 PM,2,16,16,16,2,7,41,0.0,1016,14,10,359,1
2018-01-02 12:00:00,23,11,0.0,8.7,5,6,100,06:05 PM,06:53 AM,06:59 AM,05:38 PM,0,23,23,23,12,3,22,0.0,1013,23,10,276,11
2018-01-02 18:00:00,23,11,0.0,8.7,5,5,100,06:05 PM,06:53 AM,06:59 AM,05:38 PM,-1,15,15,15,23,0,33,0.0,1016,15,10,348,11
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:12 PM,07:54 AM,07:00 AM,05:39 PM,6,14,14,14,7,0,58,0.0,1016,11,10,22,5
2018-01-03 06:00:00,22,9,0.0,8.7,4,4,89,07:12 PM,07:54 AM,07:00 AM,05:39 PM,7,16,16,16,3,0,56,0.0,1017,12,10,339,3
2018-01-03 12:00:00,22,9,0.0,8.7,4,6,89,07:12 PM,07:54 AM,07:00 AM,05:39 PM,-1,23,23,23,10,0,20,0.0,1014,22,10,322,9
2018-01-03 18:00:00,22,9,0.0,8.7,4,4,89,07:12 PM,07:54 AM,07:00 AM,05:39 PM,1,16,16,16,14,0,38,0.0,1016,14,10,23,7
2018-01-04 00:00:00,24,9,0.0,8.7,5,1,81,08:17 PM,08:50 AM,07:00 AM,05:40 PM,5,14,14,14,3,0,55,0.0,1016,11,10,18,2
2018-01-04 06:00:00,24,9,0.0,8.7,5,4,81,08:17 PM,08:50 AM,07:00 AM,05:40 PM,6,16,16,16,4,0,52,0.0,1018,13,10,143,4
2018-01-04 12:00:00,24,9,0.0,8.7,5,6,81,08:17 PM,08:50 AM,07:00 AM,05:40 PM,0,25,25,27,1,0,18,0.0,1015,24,10,51,1
2018-01-04 18:00:00,24,9,0.0,8.7,5,5,81,08:17 PM,08:50 AM,07:00 AM,05:40 PM,-2,17,17,17,12,0,27,0.0,1015,15,10,76,6
2018-01-05 00:00:00,23,9,0.0,8.7,5,1,74,09:21 PM,09:41 AM,07:00 AM,05:40 PM,-1,14,14,14,11,0,35,0.0,1016,11,10,91,6
2018-01-05 06:00:00,23,9,0.0,8.7,5,4,74,09:21 PM,09:41 AM,07:00 AM,05:40 PM,-1,13,14,13,10,0,37,0.0,1017,12,10,68,8
2018-01-05 12:00:00,23,9,0.0,8.7,5,6,74,09:21 PM,09:41 AM,07:00 AM,05:40 PM,-1,24,24,25,7,0,18,0.0,1013,23,10,347,6
2018-01-05 18:00:00,23,9,0.0,8.7,5,4,74,09:21 PM,09:41 AM,07:00 AM,05:40 PM,-1,15,15,15,20,0,32,0.0,1015,15,10,54,9
2018-01-06 00:00:00,24,10,0.0,8.7,5,1,67,10:22 PM,10:26 AM,07:00 AM,05:41 PM,1,14,14,14,9,0,42,0.0,1015,11,10,105,5
2018-01-06 06:00:00,24,10,0.0,8.7,5,4,67,10:22 PM,10:26 AM,07:00 AM,05:41 PM,1,16,16,16,1,0,35,0.0,1016,13,10,195,1
2018-01-06 12:00:00,24,10,0.0,8.7,5,6,67,10:22 PM,10:26 AM,07:00 AM,05:41 PM,2,24,24,26,7,2,21,0.0,1012,24,10,283,6
2018-01-06 18:00:00,24,10,0.0,8.7,5,5,67,10:22 PM,10:26 AM,07:00 AM,05:41 PM,-0,16,16,16,19,3,33,0.0,1015,16,10,51,9
2018-01-07 00:00:00,24,11,0.0,8.7,5,1,59,11:20 PM,11:08 AM,07:01 AM,05:42 PM,-0,14,14,14,10,5,38,0.0,1015,12,10,110,5
2018-01-07 06:00:00,24,11,0.0,8.7,5,4,59,11:20 PM,11:08 AM,07:01 AM,05:42 PM,-0,16,16,16,4,4,33,0.0,1017,15,10,238,3
2018-01-07 12:00:00,24,11,0.0,8.7,5,6,59,11:20 PM,11:08 AM,07:01 AM,05:42 PM,1,23,23,24,10,3,21,0.0,1014,24,10,304,9
