date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,21,0.0,11.6,7,1,97,05:26 PM,05:26 AM,06:33 AM,06:04 PM,20,22,25,22,9,9,88,0.0,1010,21,10,14,5
2018-01-01 06:00:00,31,21,0.0,11.6,7,1,97,05:26 PM,05:26 AM,06:33 AM,06:04 PM,19,26,26,25,8,5,72,0.0,1011,24,10,309,7
2018-01-01 12:00:00,31,21,0.0,11.6,7,8,97,05:26 PM,05:26 AM,06:33 AM,06:04 PM,17,33,33,32,5,19,42,0.0,1008,31,10,4,5
2018-01-01 18:00:00,31,21,0.0,11.6,7,7,97,05:26 PM,05:26 AM,06:33 AM,06:04 PM,18,27,27,25,18,21,65,0.0,1009,25,10,99,10
2018-01-02 00:00:00,31,21,0.0,11.6,7,1,100,06:29 PM,06:29 AM,06:34 AM,06:04 PM,20,23,25,23,8,33,87,0.0,1010,22,10,45,5
2018-01-02 06:00:00,31,21,0.0,11.6,7,1,100,06:29 PM,06:29 AM,06:34 AM,06:04 PM,19,27,27,25,7,25,72,0.0,1011,24,10,21,6
2018-01-02 12:00:00,31,21,0.0,11.6,7,8,100,06:29 PM,06:29 AM,06:34 AM,06:04 PM,18,33,33,32,9,32,43,0.0,1008,31,10,18,8
2018-01-02 18:00:00,31,21,0.0,11.6,7,7,100,06:29 PM,06:29 AM,06:34 AM,06:04 PM,19,27,27,26,23,28,67,0.0,1010,25,10,90,13
2018-01-03 00:00:00,31,22,0.0,11.6,7,1,89,07:34 PM,07:33 AM,06:34 AM,06:05 PM,21,25,25,23,6,15,89,0.0,1010,22,10,39,4
2018-01-03 06:00:00,31,22,0.0,11.6,7,1,89,07:34 PM,07:33 AM,06:34 AM,06:05 PM,20,26,26,25,12,20,77,0.0,1012,24,10,15,10
2018-01-03 12:00:00,31,22,0.0,11.6,7,8,89,07:34 PM,07:33 AM,06:34 AM,06:05 PM,17,32,32,31,15,49,44,0.0,1009,31,10,47,13
2018-01-03 18:00:00,31,22,0.0,11.6,7,6,89,07:34 PM,07:33 AM,06:34 AM,06:05 PM,19,26,26,24,26,25,74,0.0,1011,24,10,85,15
2018-01-04 00:00:00,30,21,0.0,11.6,6,1,81,08:36 PM,08:31 AM,06:34 AM,06:06 PM,20,22,24,22,16,24,90,0.0,1012,21,10,37,10
2018-01-04 06:00:00,30,21,0.0,11.6,6,1,81,08:36 PM,08:31 AM,06:34 AM,06:06 PM,19,26,26,24,19,22,75,0.0,1014,24,10,19,15
2018-01-04 12:00:00,30,21,0.0,11.6,6,7,81,08:36 PM,08:31 AM,06:34 AM,06:06 PM,17,31,31,30,20,29,48,0.0,1011,30,10,40,18
2018-01-04 18:00:00,30,21,0.0,11.6,6,6,81,08:36 PM,08:31 AM,06:34 AM,06:06 PM,16,25,25,24,30,14,62,0.0,1012,23,10,80,17
2018-01-05 00:00:00,29,19,0.0,11.6,6,1,74,09:35 PM,09:27 AM,06:35 AM,06:06 PM,17,21,21,21,16,2,78,0.0,1012,20,10,35,9
2018-01-05 06:00:00,29,19,0.0,11.6,6,1,74,09:35 PM,09:27 AM,06:35 AM,06:06 PM,17,25,25,23,15,2,72,0.0,1014,23,10,25,12
2018-01-05 12:00:00,29,19,0.0,11.6,6,7,74,09:35 PM,09:27 AM,06:35 AM,06:06 PM,15,29,29,29,22,0,43,0.0,1010,29,10,43,19
2018-01-05 18:00:00,29,19,0.0,11.6,6,6,74,09:35 PM,09:27 AM,06:35 AM,06:06 PM,17,25,25,22,26,0,72,0.0,1011,22,10,76,14
2018-01-06 00:00:00,29,18,0.0,11.6,6,1,67,10:30 PM,10:16 AM,06:35 AM,06:07 PM,17,20,20,20,13,0,81,0.0,1011,19,10,31,8
2018-01-06 06:00:00,29,18,0.0,11.6,6,1,67,10:30 PM,10:16 AM,06:35 AM,06:07 PM,16,23,25,23,8,5,68,0.0,1013,22,10,354,7
2018-01-06 12:00:00,29,18,0.0,11.6,6,7,67,10:30 PM,10:16 AM,06:35 AM,06:07 PM,15,29,29,29,14,16,42,0.0,1010,29,10,31,12
2018-01-06 18:00:00,29,18,0.0,11.6,6,6,67,10:30 PM,10:16 AM,06:35 AM,06:07 PM,15,25,25,23,27,12,64,0.0,1011,23,10,83,15
2018-01-07 00:00:00,30,19,0.0,11.6,6,1,59,11:23 PM,11:03 AM,06:36 AM,06:07 PM,15,20,20,20,16,4,74,0.0,1012,19,10,22,9
2018-01-07 06:00:00,30,19,0.0,11.6,6,1,59,11:23 PM,11:03 AM,06:36 AM,06:07 PM,15,25,25,22,14,4,62,0.0,1014,22,10,14,10
2018-01-07 12:00:00,30,19,0.0,11.6,6,7,59,11:23 PM,11:03 AM,06:36 AM,06:07 PM,14,29,29,30,16,8,39,0.0,1010,30,10,26,14
2018-01-07 18:00:00,30,19,0.0,11.6,6,6,59,11:23 PM,11:03 AM,06:36 AM,06:07 PM,15,22,25,22,30,14,65,0.0,1012,22,10,74,17
2018-01-08 00:00:00,30,18,0.0,11.6,6,1,52,No moonrise,11:47 AM,06:36 AM,06:08 PM,15,19,19,19,16,6,77,0.0,1012,19,10,13,9
2018-01-08 06:00:00,30,18,0.0,11.6,6,1,52,No moonrise,11:47 AM,06:36 AM,06:08 PM,14,22,25,22,16,5,63,0.0,1014,22,10,1,12
2018-01-08 12:00:00,30,18,0.0,11.6,6,7,52,No moonrise,11:47 AM,06:36 AM,06:08 PM,12,29,29,30,21,10,34,0.0,1011,30,10,44,18
2018-01-08 18:00:00,30,18,0.0,11.6,6,6,52,No moonrise,11:47 AM,06:36 AM,06:08 PM,17,25,25,23,29,10,71,0.0,1013,22,10,69,16
2018-01-09 00:00:00,28,20,0.0,8.7,6,1,45,12:13 AM,12:29 PM,06:36 AM,06:08 PM,17,20,20,20,19,9,86,0.0,1013,20,10,17,10
2018-01-09 06:00:00,28,20,0.0,8.7,6,1,45,12:13 AM,12:29 PM,06:36 AM,06:08 PM,18,25,25,23,21,10,71,0.0,1015,23,10,4,16
2018-01-09 12:00:00,28,20,0.0,8.7,6,6,45,12:13 AM,12:29 PM,06:36 AM,06:08 PM,20,29,29,28,22,70,62,0.0,1012,28,10,41,19
