date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,21,0.0,11.6,6,1,97,05:33 PM,05:27 AM,06:34 AM,06:11 PM,19,23,25,23,8,14,81,0.0,1010,22,10,310,5
2018-01-01 06:00:00,29,21,0.0,11.6,6,1,97,05:33 PM,05:27 AM,06:34 AM,06:11 PM,20,27,27,25,7,20,73,0.0,1011,25,10,351,6
2018-01-01 12:00:00,29,21,0.0,11.6,6,6,97,05:33 PM,05:27 AM,06:34 AM,06:11 PM,19,31,31,29,10,33,56,0.2,1008,29,9,109,8
2018-01-01 18:00:00,29,21,0.0,11.6,6,6,97,05:33 PM,05:27 AM,06:34 AM,06:11 PM,21,26,26,25,13,23,80,0.1,1009,24,10,175,8
2018-01-02 00:00:00,28,22,0.0,10.2,6,1,100,06:37 PM,06:30 AM,06:34 AM,06:12 PM,21,26,26,24,4,15,88,0.1,1009,23,10,240,3
2018-01-02 06:00:00,28,22,0.0,10.2,6,1,100,06:37 PM,06:30 AM,06:34 AM,06:12 PM,21,28,28,26,6,21,77,0.5,1010,25,9,40,5
2018-01-02 12:00:00,28,22,0.0,10.2,6,6,100,06:37 PM,06:30 AM,06:34 AM,06:12 PM,21,30,30,28,11,74,64,1.0,1008,28,10,112,9
2018-01-02 18:00:00,28,22,0.0,10.2,6,5,100,06:37 PM,06:30 AM,06:34 AM,06:12 PM,21,26,26,24,12,56,84,0.7,1010,24,10,143,8
2018-01-03 00:00:00,29,22,0.0,11.6,7,1,89,07:41 PM,07:34 AM,06:34 AM,06:12 PM,21,25,25,23,4,43,87,0.0,1009,22,10,294,3
2018-01-03 06:00:00,29,22,0.0,11.6,7,1,89,07:41 PM,07:34 AM,06:34 AM,06:12 PM,20,26,26,25,12,30,76,0.0,1011,24,10,9,9
2018-01-03 12:00:00,29,22,0.0,11.6,7,6,89,07:41 PM,07:34 AM,06:34 AM,06:12 PM,20,31,31,29,13,47,58,0.5,1009,29,9,60,10
2018-01-03 18:00:00,29,22,0.0,11.6,7,5,89,07:41 PM,07:34 AM,06:34 AM,06:12 PM,21,26,26,24,12,51,81,0.7,1011,24,10,104,8
2018-01-04 00:00:00,29,22,0.0,10.2,5,1,81,08:42 PM,08:33 AM,06:35 AM,06:13 PM,20,25,25,23,13,66,86,0.5,1011,23,10,26,8
