date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,20,0.0,11.6,6,1,97,05:31 PM,05:32 AM,06:39 AM,06:09 PM,16,22,24,22,4,23,72,0.0,1011,20,10,76,3
2018-01-01 06:00:00,30,20,0.0,11.6,6,1,97,05:31 PM,05:32 AM,06:39 AM,06:09 PM,19,25,25,24,3,20,75,0.0,1012,23,10,26,3
2018-01-01 12:00:00,30,20,0.0,11.6,6,7,97,05:31 PM,05:32 AM,06:39 AM,06:09 PM,17,31,31,31,2,28,45,0.0,1008,30,10,204,1
2018-01-01 18:00:00,30,20,0.0,11.6,6,7,97,05:31 PM,05:32 AM,06:39 AM,06:09 PM,17,27,27,26,7,31,59,0.0,1010,25,10,211,4
2018-01-02 00:00:00,30,21,0.0,11.6,6,1,100,06:35 PM,06:36 AM,06:40 AM,06:09 PM,18,25,25,23,4,68,74,0.0,1010,22,10,204,3
2018-01-02 06:00:00,30,21,0.0,11.6,6,1,100,06:35 PM,06:36 AM,06:40 AM,06:09 PM,20,26,26,24,7,50,79,0.1,1012,23,10,117,6
2018-01-02 12:00:00,30,21,0.0,11.6,6,8,100,06:35 PM,06:36 AM,06:40 AM,06:09 PM,17,32,32,31,1,45,44,0.0,1008,30,10,253,1
2018-01-02 18:00:00,30,21,0.0,11.6,6,7,100,06:35 PM,06:36 AM,06:40 AM,06:09 PM,18,28,28,27,2,27,58,0.0,1010,26,10,162,1
2018-01-03 00:00:00,30,21,0.0,11.6,7,1,89,07:39 PM,07:39 AM,06:40 AM,06:10 PM,18,25,25,23,9,55,73,0.1,1011,23,10,96,6
2018-01-03 06:00:00,30,21,0.0,11.6,7,1,89,07:39 PM,07:39 AM,06:40 AM,06:10 PM,20,26,26,24,12,22,79,0.6,1013,23,9,82,9
2018-01-03 12:00:00,30,21,0.0,11.6,7,7,89,07:39 PM,07:39 AM,06:40 AM,06:10 PM,17,31,31,30,7,46,45,0.0,1009,30,10,102,6
