date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,21,0.0,8.7,6,1,97,05:17 PM,05:24 AM,06:33 AM,05:55 PM,18,22,25,22,16,14,80,0.0,1010,21,10,322,9
2018-01-01 06:00:00,30,21,0.0,8.7,6,6,97,05:17 PM,05:24 AM,06:33 AM,05:55 PM,18,26,26,25,14,15,68,0.0,1011,24,10,323,12
2018-01-01 12:00:00,30,21,0.0,8.7,6,7,97,05:17 PM,05:24 AM,06:33 AM,05:55 PM,18,31,31,30,22,43,50,0.0,1008,30,10,21,19
2018-01-01 18:00:00,30,21,0.0,8.7,6,6,97,05:17 PM,05:24 AM,06:33 AM,05:55 PM,19,26,26,24,24,6,74,0.0,1009,23,10,49,13
2018-01-02 00:00:00,30,21,0.0,8.7,6,1,100,06:21 PM,06:28 AM,06:33 AM,05:56 PM,20,23,25,23,11,8,83,0.0,1009,22,10,324,7
2018-01-02 06:00:00,30,21,0.0,8.7,6,6,100,06:21 PM,06:28 AM,06:33 AM,05:56 PM,19,26,26,25,11,16,71,0.0,1011,24,10,336,9
2018-01-02 12:00:00,30,21,0.0,8.7,6,7,100,06:21 PM,06:28 AM,06:33 AM,05:56 PM,18,31,31,30,17,21,49,0.0,1009,30,10,32,15
2018-01-02 18:00:00,30,21,0.0,8.7,6,6,100,06:21 PM,06:28 AM,06:33 AM,05:56 PM,21,26,26,24,23,12,82,0.0,1010,24,10,47,14
2018-01-03 00:00:00,30,21,0.0,8.7,5,1,89,07:25 PM,07:31 AM,06:33 AM,05:56 PM,21,25,25,23,10,71,92,0.0,1011,22,10,340,6
2018-01-03 06:00:00,30,21,0.0,8.7,5,6,89,07:25 PM,07:31 AM,06:33 AM,05:56 PM,22,28,28,25,11,7,81,0.0,1012,24,10,356,9
2018-01-03 12:00:00,30,21,0.0,8.7,5,7,89,07:25 PM,07:31 AM,06:33 AM,05:56 PM,16,31,31,30,21,4,44,0.0,1010,30,10,42,18
2018-01-03 18:00:00,30,21,0.0,8.7,5,6,89,07:25 PM,07:31 AM,06:33 AM,05:56 PM,19,25,25,24,24,10,76,0.0,1012,23,10,59,14
2018-01-04 00:00:00,29,21,0.0,8.7,6,1,81,08:28 PM,08:29 AM,06:34 AM,05:57 PM,21,23,25,23,10,5,86,0.0,1013,22,10,48,7
2018-01-04 06:00:00,29,21,0.0,8.7,6,6,81,08:28 PM,08:29 AM,06:34 AM,05:57 PM,20,27,27,26,9,7,71,0.0,1015,24,10,3,8
2018-01-04 12:00:00,29,21,0.0,8.7,6,7,81,08:28 PM,08:29 AM,06:34 AM,05:57 PM,13,29,29,29,24,0,38,0.0,1012,29,10,44,21
2018-01-04 18:00:00,29,21,0.0,8.7,6,6,81,08:28 PM,08:29 AM,06:34 AM,05:57 PM,17,25,25,24,20,0,67,0.0,1013,22,10,49,12
2018-01-05 00:00:00,28,20,0.0,8.7,6,1,74,09:28 PM,09:24 AM,06:34 AM,05:57 PM,21,24,26,24,7,0,81,0.0,1012,20,10,8,6
2018-01-05 06:00:00,28,20,0.0,8.7,6,6,74,09:28 PM,09:24 AM,06:34 AM,05:57 PM,20,29,29,27,7,0,65,0.0,1014,23,10,1,6
2018-01-05 12:00:00,28,20,0.0,8.7,6,7,74,09:28 PM,09:24 AM,06:34 AM,05:57 PM,12,28,28,28,20,0,37,0.0,1011,28,10,54,18
2018-01-05 18:00:00,28,20,0.0,8.7,6,6,74,09:28 PM,09:24 AM,06:34 AM,05:57 PM,14,23,25,23,20,0,59,0.0,1012,22,10,53,12
2018-01-06 00:00:00,28,19,0.0,8.7,6,1,67,10:24 PM,10:13 AM,06:34 AM,05:58 PM,18,25,26,25,5,0,66,0.0,1011,20,10,1,4
2018-01-06 06:00:00,28,19,0.0,8.7,6,6,67,10:24 PM,10:13 AM,06:34 AM,05:58 PM,17,27,27,26,9,0,60,0.0,1013,22,10,297,8
2018-01-06 12:00:00,28,19,0.0,8.7,6,7,67,10:24 PM,10:13 AM,06:34 AM,05:58 PM,13,28,28,29,18,0,38,0.0,1010,28,10,50,16
2018-01-06 18:00:00,28,19,0.0,8.7,6,6,67,10:24 PM,10:13 AM,06:34 AM,05:58 PM,15,23,25,23,19,0,61,0.0,1012,22,10,55,12
2018-01-07 00:00:00,29,18,0.0,8.7,6,1,59,11:17 PM,10:59 AM,06:35 AM,05:58 PM,18,23,25,23,7,0,71,0.0,1012,19,10,332,6
2018-01-07 06:00:00,29,18,0.0,8.7,6,6,59,11:17 PM,10:59 AM,06:35 AM,05:58 PM,17,27,27,26,8,0,61,0.0,1013,22,10,317,7
2018-01-07 12:00:00,29,18,0.0,8.7,6,7,59,11:17 PM,10:59 AM,06:35 AM,05:58 PM,10,28,28,29,19,0,32,0.0,1011,29,10,52,17
2018-01-07 18:00:00,29,18,0.0,8.7,6,6,59,11:17 PM,10:59 AM,06:35 AM,05:58 PM,16,23,25,23,18,0,68,0.0,1012,21,10,47,11
2018-01-08 00:00:00,28,19,0.0,8.7,6,1,52,No moonrise,11:42 AM,06:35 AM,05:59 PM,19,23,25,23,8,0,79,0.0,1012,19,10,337,7
2018-01-08 06:00:00,28,19,0.0,8.7,6,6,52,No moonrise,11:42 AM,06:35 AM,05:59 PM,17,26,26,24,11,3,65,0.0,1014,23,10,342,9
2018-01-08 12:00:00,28,19,0.0,8.7,6,7,52,No moonrise,11:42 AM,06:35 AM,05:59 PM,16,28,28,28,26,2,50,0.0,1012,28,10,42,23
2018-01-08 18:00:00,28,19,0.0,8.7,6,6,52,No moonrise,11:42 AM,06:35 AM,05:59 PM,18,25,25,23,21,8,73,0.0,1014,22,10,34,12
2018-01-09 00:00:00,28,21,0.0,5.7,6,1,45,12:08 AM,12:23 PM,06:35 AM,05:59 PM,18,21,24,21,17,46,82,0.0,1013,21,10,357,10
2018-01-09 06:00:00,28,21,0.0,5.7,6,6,45,12:08 AM,12:23 PM,06:35 AM,05:59 PM,19,25,25,23,25,59,77,0.0,1015,23,10,14,17
2018-01-09 12:00:00,28,21,0.0,5.7,6,6,45,12:08 AM,12:23 PM,06:35 AM,05:59 PM,19,28,28,27,29,93,63,0.0,1013,27,10,42,24
2018-01-09 18:00:00,28,21,0.0,5.7,6,6,45,12:08 AM,12:23 PM,06:35 AM,05:59 PM,20,25,25,23,25,44,79,0.0,1015,23,10,19,15
2018-01-10 00:00:00,25,22,0.0,7.3,5,1,38,12:58 AM,01:04 PM,06:35 AM,06:00 PM,20,25,25,22,19,93,87,0.0,1014,22,10,359,12
2018-01-10 06:00:00,25,22,0.0,7.3,5,5,38,12:58 AM,01:04 PM,06:35 AM,06:00 PM,21,26,26,24,18,100,82,0.1,1016,24,10,3,14
2018-01-10 12:00:00,25,22,0.0,7.3,5,6,38,12:58 AM,01:04 PM,06:35 AM,06:00 PM,21,27,27,25,23,99,76,0.2,1014,25,10,18,18
2018-01-10 18:00:00,25,22,0.0,7.3,5,6,38,12:58 AM,01:04 PM,06:35 AM,06:00 PM,21,25,25,23,19,43,88,0.0,1016,23,10,32,11
2018-01-11 00:00:00,30,21,0.0,11.6,5,1,30,01:46 AM,01:45 PM,06:36 AM,06:01 PM,21,22,25,22,15,63,94,0.0,1015,22,2,343,9
2018-01-11 06:00:00,30,21,0.0,11.6,5,5,30,01:46 AM,01:45 PM,06:36 AM,06:01 PM,21,27,27,25,12,66,82,0.0,1017,24,10,357,10
2018-01-11 12:00:00,30,21,0.0,11.6,5,7,30,01:46 AM,01:45 PM,06:36 AM,06:01 PM,20,32,32,30,21,27,55,0.0,1013,30,10,53,18
2018-01-11 18:00:00,30,21,0.0,11.6,5,6,30,01:46 AM,01:45 PM,06:36 AM,06:01 PM,21,26,26,24,17,10,81,0.0,1014,24,10,48,11
2018-01-12 00:00:00,31,21,0.0,11.6,7,1,23,02:34 AM,02:27 PM,06:36 AM,06:01 PM,21,23,25,23,6,22,88,0.0,1014,22,10,347,4
2018-01-12 06:00:00,31,21,0.0,11.6,7,6,23,02:34 AM,02:27 PM,06:36 AM,06:01 PM,21,27,27,26,8,9,75,0.0,1015,24,10,317,7
2018-01-12 12:00:00,31,21,0.0,11.6,7,8,23,02:34 AM,02:27 PM,06:36 AM,06:01 PM,18,33,33,31,17,6,46,0.0,1012,31,10,66,15
2018-01-12 18:00:00,31,21,0.0,11.6,7,6,23,02:34 AM,02:27 PM,06:36 AM,06:01 PM,21,28,28,26,12,2,77,0.0,1014,24,10,81,9
2018-01-13 00:00:00,31,21,0.0,11.6,6,1,16,03:24 AM,03:11 PM,06:36 AM,06:02 PM,25,27,31,27,2,0,88,0.0,1013,22,10,318,2
2018-01-13 06:00:00,31,21,0.0,11.6,6,6,16,03:24 AM,03:11 PM,06:36 AM,06:02 PM,24,33,33,29,5,0,75,0.0,1015,24,10,14,4
2018-01-13 12:00:00,31,21,0.0,11.6,6,8,16,03:24 AM,03:11 PM,06:36 AM,06:02 PM,18,33,33,31,18,0,45,0.0,1012,31,10,78,15
2018-01-13 18:00:00,31,21,0.0,11.6,6,6,16,03:24 AM,03:11 PM,06:36 AM,06:02 PM,22,28,28,25,11,0,82,0.0,1014,23,10,85,8
2018-01-14 00:00:00,31,20,0.0,11.6,6,1,9,04:12 AM,03:56 PM,06:36 AM,06:02 PM,21,23,25,23,4,9,92,0.0,1013,21,10,304,3
2018-01-14 06:00:00,31,20,0.0,11.6,6,6,9,04:12 AM,03:56 PM,06:36 AM,06:02 PM,23,30,30,27,7,0,77,0.0,1015,24,10,306,6
2018-01-14 12:00:00,31,20,0.0,11.6,6,8,9,04:12 AM,03:56 PM,06:36 AM,06:02 PM,18,32,32,31,17,0,44,0.0,1012,31,10,64,15
2018-01-14 18:00:00,31,20,0.0,11.6,6,6,9,04:12 AM,03:56 PM,06:36 AM,06:02 PM,21,26,26,24,16,0,83,0.0,1014,23,10,47,11
2018-01-15 00:00:00,31,20,0.0,11.6,6,1,1,05:01 AM,04:43 PM,06:36 AM,06:03 PM,20,22,24,22,14,28,92,0.0,1014,21,10,346,8
2018-01-15 06:00:00,31,20,0.0,11.6,6,6,1,05:01 AM,04:43 PM,06:36 AM,06:03 PM,21,27,27,25,7,15,79,0.0,1016,24,10,335,6
2018-01-15 12:00:00,31,20,0.0,11.6,6,8,1,05:01 AM,04:43 PM,06:36 AM,06:03 PM,17,32,32,31,17,4,43,0.0,1012,31,10,63,14
2018-01-15 18:00:00,31,20,0.0,11.6,6,6,1,05:01 AM,04:43 PM,06:36 AM,06:03 PM,20,26,26,24,16,6,75,0.0,1014,23,10,75,10
2018-01-16 00:00:00,30,21,0.0,11.6,6,1,0,05:49 AM,05:32 PM,06:37 AM,06:03 PM,21,24,26,24,4,7,86,0.0,1013,22,10,297,3
2018-01-16 06:00:00,30,21,0.0,11.6,6,6,0,05:49 AM,05:32 PM,06:37 AM,06:03 PM,21,27,27,25,7,8,76,0.0,1014,24,10,296,6
2018-01-16 12:00:00,30,21,0.0,11.6,6,8,0,05:49 AM,05:32 PM,06:37 AM,06:03 PM,17,32,32,31,18,4,44,0.0,1011,30,10,56,15
2018-01-16 18:00:00,30,21,0.0,11.6,6,6,0,05:49 AM,05:32 PM,06:37 AM,06:03 PM,19,26,26,24,20,6,76,0.0,1013,23,10,77,12
2018-01-17 00:00:00,29,20,0.0,11.6,6,1,0,06:36 AM,06:20 PM,06:37 AM,06:04 PM,24,26,30,26,3,0,87,0.0,1012,21,10,357,3
2018-01-17 06:00:00,29,20,0.0,11.6,6,6,0,06:36 AM,06:20 PM,06:37 AM,06:04 PM,23,30,30,27,7,0,76,0.0,1014,23,10,293,6
2018-01-17 12:00:00,29,20,0.0,11.6,6,7,0,06:36 AM,06:20 PM,06:37 AM,06:04 PM,13,29,29,29,19,0,37,0.0,1012,29,10,74,17
2018-01-17 18:00:00,29,20,0.0,11.6,6,6,0,06:36 AM,06:20 PM,06:37 AM,06:04 PM,17,25,25,24,15,0,64,0.0,1013,22,10,62,10
2018-01-18 00:00:00,29,19,0.0,11.6,6,1,6,07:22 AM,07:10 PM,06:37 AM,06:04 PM,21,25,27,25,4,0,76,0.0,1013,20,10,324,4
2018-01-18 06:00:00,29,19,0.0,11.6,6,6,6,07:22 AM,07:10 PM,06:37 AM,06:04 PM,19,27,27,26,8,0,67,0.0,1014,23,10,309,7
2018-01-18 12:00:00,29,19,0.0,11.6,6,7,6,07:22 AM,07:10 PM,06:37 AM,06:04 PM,13,29,29,29,22,0,39,0.0,1012,29,10,51,19
2018-01-18 18:00:00,29,19,0.0,11.6,6,6,6,07:22 AM,07:10 PM,06:37 AM,06:04 PM,18,24,25,24,17,0,69,0.0,1013,22,10,44,11
2018-01-19 00:00:00,29,19,0.0,11.6,6,1,13,08:06 AM,07:59 PM,06:37 AM,06:05 PM,17,21,21,21,11,12,80,0.0,1013,20,10,331,6
