date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,20,0.0,11.6,6,1,97,05:22 PM,05:26 AM,06:34 AM,06:00 PM,18,21,24,21,9,30,84,0.0,1011,21,10,303,5
2018-01-01 06:00:00,31,20,0.0,11.6,6,6,97,05:22 PM,05:26 AM,06:34 AM,06:00 PM,18,27,27,25,7,4,65,0.0,1012,24,10,306,6
2018-01-01 12:00:00,31,20,0.0,11.6,6,8,97,05:22 PM,05:26 AM,06:34 AM,06:00 PM,15,32,32,31,9,17,37,0.0,1008,31,10,47,8
2018-01-01 18:00:00,31,20,0.0,11.6,6,6,97,05:22 PM,05:26 AM,06:34 AM,06:00 PM,18,25,25,24,16,16,73,0.0,1010,23,10,106,9
2018-01-02 00:00:00,30,20,0.0,11.6,6,1,100,06:26 PM,06:30 AM,06:35 AM,06:01 PM,18,22,24,22,6,16,82,0.0,1010,21,10,317,4
2018-01-02 06:00:00,30,20,0.0,11.6,6,6,100,06:26 PM,06:30 AM,06:35 AM,06:01 PM,17,26,26,25,7,15,64,0.0,1012,24,10,313,6
2018-01-02 12:00:00,30,20,0.0,11.6,6,7,100,06:26 PM,06:30 AM,06:35 AM,06:01 PM,16,30,30,30,8,35,42,0.0,1009,30,10,40,7
2018-01-02 18:00:00,30,20,0.0,11.6,6,6,100,06:26 PM,06:30 AM,06:35 AM,06:01 PM,18,26,26,24,21,17,71,0.0,1011,24,10,89,12
2018-01-03 00:00:00,30,20,0.0,11.6,6,1,89,07:30 PM,07:33 AM,06:35 AM,06:01 PM,20,22,24,22,10,47,91,0.1,1011,21,10,11,6
2018-01-03 06:00:00,30,20,0.0,11.6,6,6,89,07:30 PM,07:33 AM,06:35 AM,06:01 PM,19,26,26,24,11,20,75,0.0,1013,24,10,10,9
2018-01-03 12:00:00,30,20,0.0,11.6,6,8,89,07:30 PM,07:33 AM,06:35 AM,06:01 PM,15,31,31,30,15,26,39,0.0,1010,30,10,46,13
2018-01-03 18:00:00,30,20,0.0,11.6,6,6,89,07:30 PM,07:33 AM,06:35 AM,06:01 PM,17,26,26,24,16,18,67,0.0,1012,24,10,91,10
2018-01-04 00:00:00,29,19,0.0,11.6,6,1,81,08:32 PM,08:32 AM,06:35 AM,06:02 PM,19,21,21,21,9,18,88,0.0,1013,20,10,14,6
2018-01-04 06:00:00,29,19,0.0,11.6,6,6,81,08:32 PM,08:32 AM,06:35 AM,06:02 PM,19,25,25,23,10,13,76,0.0,1015,23,10,3,9
2018-01-04 12:00:00,29,19,0.0,11.6,6,7,81,08:32 PM,08:32 AM,06:35 AM,06:02 PM,15,29,29,29,19,27,41,0.0,1012,29,10,44,17
