date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,9,0.0,8.7,4,1,97,05:10 PM,06:07 AM,07:19 AM,05:45 PM,-5,14,14,14,12,0,26,0.0,1014,11,10,145,6
2018-01-01 06:00:00,21,9,0.0,8.7,4,4,97,05:10 PM,06:07 AM,07:19 AM,05:45 PM,1,16,16,16,5,0,37,0.0,1015,12,10,232,4
2018-01-01 12:00:00,21,9,0.0,8.7,4,6,97,05:10 PM,06:07 AM,07:19 AM,05:45 PM,-8,22,22,22,13,0,13,0.0,1013,21,10,322,11
2018-01-01 18:00:00,21,9,0.0,8.7,4,4,97,05:10 PM,06:07 AM,07:19 AM,05:45 PM,-6,15,15,15,19,0,23,0.0,1014,13,10,19,9
2018-01-02 00:00:00,21,8,0.0,8.7,4,1,100,06:14 PM,07:13 AM,07:19 AM,05:45 PM,-3,13,13,13,12,0,33,0.0,1015,10,10,77,6
2018-01-02 06:00:00,21,8,0.0,8.7,4,4,100,06:14 PM,07:13 AM,07:19 AM,05:45 PM,-1,15,15,15,4,0,32,0.0,1016,11,10,120,3
2018-01-02 12:00:00,21,8,0.0,8.7,4,6,100,06:14 PM,07:13 AM,07:19 AM,05:45 PM,-4,22,22,22,12,0,18,0.0,1015,21,10,13,10
2018-01-02 18:00:00,21,8,0.0,8.7,4,4,100,06:14 PM,07:13 AM,07:19 AM,05:45 PM,-1,15,15,15,19,0,33,0.0,1015,14,10,48,9
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:21 PM,08:13 AM,07:20 AM,05:46 PM,2,13,13,13,13,0,45,0.0,1015,10,10,115,6
2018-01-03 06:00:00,22,9,0.0,8.7,4,4,89,07:21 PM,08:13 AM,07:20 AM,05:46 PM,2,15,15,15,8,0,42,0.0,1017,12,10,172,5
2018-01-03 12:00:00,22,9,0.0,8.7,4,6,89,07:21 PM,08:13 AM,07:20 AM,05:46 PM,-4,25,24,25,7,0,14,0.0,1015,22,10,360,6
2018-01-03 18:00:00,22,9,0.0,8.7,4,4,89,07:21 PM,08:13 AM,07:20 AM,05:46 PM,-3,15,15,15,20,0,29,0.0,1015,14,10,77,10
2018-01-04 00:00:00,23,10,0.0,8.7,5,1,81,08:27 PM,09:09 AM,07:20 AM,05:47 PM,0,13,14,13,14,0,40,0.0,1015,10,10,110,7
2018-01-04 06:00:00,23,10,0.0,8.7,5,4,81,08:27 PM,09:09 AM,07:20 AM,05:47 PM,-0,14,15,14,16,0,36,0.0,1016,13,10,156,9
2018-01-04 12:00:00,23,10,0.0,8.7,5,6,81,08:27 PM,09:09 AM,07:20 AM,05:47 PM,-4,23,23,23,15,0,16,0.0,1013,23,10,203,13
2018-01-04 18:00:00,23,10,0.0,8.7,5,4,81,08:27 PM,09:09 AM,07:20 AM,05:47 PM,-0,17,17,17,14,0,31,0.0,1014,15,10,182,6
2018-01-05 00:00:00,22,10,0.0,8.7,5,1,74,09:32 PM,09:58 AM,07:20 AM,05:47 PM,4,13,13,13,21,2,51,0.0,1015,12,10,168,10
2018-01-05 06:00:00,22,10,0.0,8.7,5,4,74,09:32 PM,09:58 AM,07:20 AM,05:47 PM,1,14,15,14,15,0,41,0.0,1016,12,10,173,9
2018-01-05 12:00:00,22,10,0.0,8.7,5,6,74,09:32 PM,09:58 AM,07:20 AM,05:47 PM,-3,24,24,25,7,0,15,0.0,1014,22,10,290,6
2018-01-05 18:00:00,22,10,0.0,8.7,5,4,74,09:32 PM,09:58 AM,07:20 AM,05:47 PM,-1,16,16,16,20,0,30,0.0,1014,14,10,55,9
2018-01-06 00:00:00,22,10,0.0,8.7,4,1,67,10:34 PM,10:42 AM,07:20 AM,05:48 PM,1,13,13,13,14,4,43,0.0,1014,11,10,82,7
2018-01-06 06:00:00,22,10,0.0,8.7,4,4,67,10:34 PM,10:42 AM,07:20 AM,05:48 PM,2,15,15,15,8,3,44,0.0,1015,12,10,97,5
2018-01-06 12:00:00,22,10,0.0,8.7,4,6,67,10:34 PM,10:42 AM,07:20 AM,05:48 PM,0,24,23,24,7,1,20,0.0,1013,22,10,319,6
2018-01-06 18:00:00,22,10,0.0,8.7,4,4,67,10:34 PM,10:42 AM,07:20 AM,05:48 PM,-1,15,15,15,23,0,31,0.0,1015,15,10,11,11
2018-01-07 00:00:00,21,8,0.0,8.7,4,1,59,11:33 PM,11:23 AM,07:20 AM,05:49 PM,1,13,14,13,12,0,42,0.0,1016,10,10,52,7
2018-01-07 06:00:00,21,8,0.0,8.7,4,4,59,11:33 PM,11:23 AM,07:20 AM,05:49 PM,3,15,15,15,3,0,45,0.0,1017,11,10,26,3
2018-01-07 12:00:00,21,8,0.0,8.7,4,6,59,11:33 PM,11:23 AM,07:20 AM,05:49 PM,-5,22,22,22,14,0,17,0.0,1015,21,10,331,12
2018-01-07 18:00:00,21,8,0.0,8.7,4,4,59,11:33 PM,11:23 AM,07:20 AM,05:49 PM,-4,14,15,14,20,0,27,0.0,1016,13,10,348,9
2018-01-08 00:00:00,21,8,0.0,8.7,4,1,52,No moonrise,12:00 PM,07:20 AM,05:50 PM,-1,13,13,13,6,0,36,0.0,1016,9,10,307,3
2018-01-08 06:00:00,21,8,0.0,8.7,4,4,52,No moonrise,12:00 PM,07:20 AM,05:50 PM,-1,15,15,15,4,0,35,0.0,1018,10,10,326,3
2018-01-08 12:00:00,21,8,0.0,8.7,4,6,52,No moonrise,12:00 PM,07:20 AM,05:50 PM,-6,23,22,23,10,0,14,0.0,1017,21,10,332,9
2018-01-08 18:00:00,21,8,0.0,8.7,4,4,52,No moonrise,12:00 PM,07:20 AM,05:50 PM,-7,15,15,15,16,0,22,0.0,1018,13,10,21,8
2018-01-09 00:00:00,22,7,0.0,8.7,4,1,45,12:29 AM,12:36 PM,07:20 AM,05:50 PM,-4,13,13,13,8,0,30,0.0,1019,9,10,76,4
2018-01-09 06:00:00,22,7,0.0,8.7,4,4,45,12:29 AM,12:36 PM,07:20 AM,05:50 PM,-2,15,15,15,5,0,32,0.0,1021,11,10,80,3
2018-01-09 12:00:00,22,7,0.0,8.7,4,6,45,12:29 AM,12:36 PM,07:20 AM,05:50 PM,-6,23,23,23,13,0,13,0.0,1019,22,10,359,11
2018-01-09 18:00:00,22,7,0.0,8.7,4,4,45,12:29 AM,12:36 PM,07:20 AM,05:50 PM,-5,15,15,15,15,0,25,0.0,1019,13,10,13,7
2018-01-10 00:00:00,24,8,0.0,8.7,4,1,38,01:24 AM,01:12 PM,07:20 AM,05:51 PM,-3,13,13,13,11,0,32,0.0,1020,10,10,360,5
2018-01-10 06:00:00,24,8,0.0,8.7,4,4,38,01:24 AM,01:12 PM,07:20 AM,05:51 PM,-3,13,13,13,4,8,33,0.0,1021,11,10,309,2
2018-01-10 12:00:00,24,8,0.0,8.7,4,6,38,01:24 AM,01:12 PM,07:20 AM,05:51 PM,-8,24,24,25,12,0,10,0.0,1018,24,10,298,10
2018-01-10 18:00:00,24,8,0.0,8.7,4,4,38,01:24 AM,01:12 PM,07:20 AM,05:51 PM,-10,16,16,16,20,0,16,0.0,1019,14,10,334,9
2018-01-11 00:00:00,23,9,0.0,8.7,5,1,30,02:17 AM,01:48 PM,07:21 AM,05:52 PM,-10,12,13,12,18,3,18,0.0,1018,11,10,299,9
2018-01-11 06:00:00,23,9,0.0,8.7,5,4,30,02:17 AM,01:48 PM,07:21 AM,05:52 PM,-5,15,15,15,10,0,25,0.0,1020,12,10,281,6
2018-01-11 12:00:00,23,9,0.0,8.7,5,6,30,02:17 AM,01:48 PM,07:21 AM,05:52 PM,-8,23,23,23,20,3,12,0.0,1017,23,10,311,17
2018-01-11 18:00:00,23,9,0.0,8.7,5,4,30,02:17 AM,01:48 PM,07:21 AM,05:52 PM,-8,15,15,15,16,8,19,0.0,1017,15,10,316,8
2018-01-12 00:00:00,25,10,0.0,8.7,5,1,23,03:11 AM,02:26 PM,07:21 AM,05:53 PM,-8,12,13,12,16,11,23,0.0,1016,12,10,294,8
2018-01-12 06:00:00,25,10,0.0,8.7,5,4,23,03:11 AM,02:26 PM,07:21 AM,05:53 PM,-5,15,15,15,10,6,24,0.0,1017,14,10,263,5
2018-01-12 12:00:00,25,10,0.0,8.7,5,6,23,03:11 AM,02:26 PM,07:21 AM,05:53 PM,-3,24,24,25,18,5,16,0.0,1015,25,10,294,16
2018-01-12 18:00:00,25,10,0.0,8.7,5,5,23,03:11 AM,02:26 PM,07:21 AM,05:53 PM,-1,17,17,17,10,4,31,0.0,1016,15,10,309,5
2018-01-13 00:00:00,25,11,0.0,8.7,5,1,16,04:03 AM,03:07 PM,07:21 AM,05:53 PM,0,15,15,15,12,4,36,0.0,1016,13,10,220,6
2018-01-13 06:00:00,25,11,0.0,8.7,5,4,16,04:03 AM,03:07 PM,07:21 AM,05:53 PM,3,18,18,18,5,0,37,0.0,1017,14,10,286,3
2018-01-13 12:00:00,25,11,0.0,8.7,5,6,16,04:03 AM,03:07 PM,07:21 AM,05:53 PM,-4,24,24,25,15,0,14,0.0,1015,25,10,310,13
