date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,14,0.0,8.7,5,1,97,05:10 PM,05:57 AM,07:07 AM,05:44 PM,-10,16,16,16,23,0,16,0.0,1014,16,10,37,11
2018-01-01 06:00:00,26,14,0.0,8.7,5,5,97,05:10 PM,05:57 AM,07:07 AM,05:44 PM,-12,15,15,15,18,0,14,0.0,1015,15,10,47,9
2018-01-01 12:00:00,26,14,0.0,8.7,5,7,97,05:10 PM,05:57 AM,07:07 AM,05:44 PM,-11,24,24,26,13,0,8,0.0,1013,26,10,32,11
2018-01-01 18:00:00,26,14,0.0,8.7,5,5,97,05:10 PM,05:57 AM,07:07 AM,05:44 PM,-11,20,20,20,23,0,11,0.0,1013,20,10,13,11
2018-01-02 00:00:00,27,15,0.0,8.7,5,1,100,06:13 PM,07:02 AM,07:07 AM,05:44 PM,-12,16,16,16,23,0,14,0.0,1013,16,10,80,11
2018-01-02 06:00:00,27,15,0.0,8.7,5,5,100,06:13 PM,07:02 AM,07:07 AM,05:44 PM,-10,16,16,16,27,0,16,0.0,1014,16,10,96,13
2018-01-02 12:00:00,27,15,0.0,8.7,5,7,100,06:13 PM,07:02 AM,07:07 AM,05:44 PM,-12,25,25,27,10,0,7,0.0,1013,27,10,97,9
2018-01-02 18:00:00,27,15,0.0,8.7,5,6,100,06:13 PM,07:02 AM,07:07 AM,05:44 PM,-13,20,20,20,19,0,9,0.0,1014,20,10,56,9
2018-01-03 00:00:00,26,14,0.0,8.7,5,1,89,07:20 PM,08:03 AM,07:08 AM,05:45 PM,-11,16,16,16,21,0,14,0.0,1013,16,10,122,10
2018-01-03 06:00:00,26,14,0.0,8.7,5,5,89,07:20 PM,08:03 AM,07:08 AM,05:45 PM,-9,15,15,15,22,0,18,0.0,1015,15,10,129,10
2018-01-03 12:00:00,26,14,0.0,8.7,5,7,89,07:20 PM,08:03 AM,07:08 AM,05:45 PM,-10,24,24,26,8,0,9,0.0,1013,26,10,161,6
2018-01-03 18:00:00,26,14,0.0,8.7,5,5,89,07:20 PM,08:03 AM,07:08 AM,05:45 PM,-9,19,19,19,3,0,15,0.0,1013,18,10,108,1
2018-01-04 00:00:00,26,15,0.0,8.7,6,1,81,08:26 PM,08:59 AM,07:08 AM,05:46 PM,1,16,16,16,20,0,36,0.0,1014,16,10,208,9
2018-01-04 06:00:00,26,15,0.0,8.7,6,5,81,08:26 PM,08:59 AM,07:08 AM,05:46 PM,8,16,16,16,24,0,58,0.0,1015,16,10,220,12
2018-01-04 12:00:00,26,15,0.0,8.7,6,7,81,08:26 PM,08:59 AM,07:08 AM,05:46 PM,10,26,26,26,18,3,35,0.0,1013,26,10,259,16
2018-01-04 18:00:00,26,15,0.0,8.7,6,6,81,08:26 PM,08:59 AM,07:08 AM,05:46 PM,-5,22,22,22,35,9,16,0.0,1013,22,10,12,17
2018-01-05 00:00:00,26,15,0.0,8.7,6,1,74,09:30 PM,09:50 AM,07:08 AM,05:46 PM,2,18,18,18,8,0,35,0.0,1013,17,10,162,4
