date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,14,0.0,8.7,5,1,97,05:17 PM,05:58 AM,07:08 AM,05:53 PM,5,16,16,16,16,5,47,0.0,1013,15,10,54,8
2018-01-01 06:00:00,26,14,0.0,8.7,5,1,97,05:17 PM,05:58 AM,07:08 AM,05:53 PM,7,17,17,17,15,5,53,0.0,1013,16,10,99,9
2018-01-01 12:00:00,26,14,0.0,8.7,5,7,97,05:17 PM,05:58 AM,07:08 AM,05:53 PM,7,26,26,27,5,5,28,0.0,1010,26,10,270,4
2018-01-01 18:00:00,26,14,0.0,8.7,5,5,97,05:17 PM,05:58 AM,07:08 AM,05:53 PM,4,19,19,19,22,4,38,0.0,1012,18,10,26,10
2018-01-02 00:00:00,24,13,0.0,8.7,5,1,100,06:21 PM,07:03 AM,07:09 AM,05:53 PM,4,14,15,14,24,5,49,0.0,1012,14,10,48,12
2018-01-02 06:00:00,24,13,0.0,8.7,5,1,100,06:21 PM,07:03 AM,07:09 AM,05:53 PM,5,14,15,14,22,0,50,0.0,1015,15,10,64,13
2018-01-02 12:00:00,24,13,0.0,8.7,5,6,100,06:21 PM,07:03 AM,07:09 AM,05:53 PM,3,24,24,26,9,0,23,0.0,1012,24,10,12,8
2018-01-02 18:00:00,24,13,0.0,8.7,5,5,100,06:21 PM,07:03 AM,07:09 AM,05:53 PM,-3,17,17,17,23,0,26,0.0,1014,16,10,31,11
2018-01-03 00:00:00,24,11,0.0,8.7,5,1,89,07:27 PM,08:04 AM,07:09 AM,05:54 PM,-1,13,14,13,22,0,35,0.0,1014,12,10,59,11
2018-01-03 06:00:00,24,11,0.0,8.7,5,1,89,07:27 PM,08:04 AM,07:09 AM,05:54 PM,-1,12,13,12,23,0,38,0.0,1016,13,10,76,13
2018-01-03 12:00:00,24,11,0.0,8.7,5,6,89,07:27 PM,08:04 AM,07:09 AM,05:54 PM,3,26,26,28,2,0,21,0.0,1013,24,10,298,1
2018-01-03 18:00:00,24,11,0.0,8.7,5,5,89,07:27 PM,08:04 AM,07:09 AM,05:54 PM,-0,19,19,19,11,0,27,0.0,1014,17,10,84,6
2018-01-04 00:00:00,25,12,0.0,8.7,5,1,81,08:32 PM,09:01 AM,07:09 AM,05:55 PM,-3,16,16,16,15,0,28,0.0,1015,13,10,88,8
2018-01-04 06:00:00,25,12,0.0,8.7,5,1,81,08:32 PM,09:01 AM,07:09 AM,05:55 PM,1,17,17,17,9,0,32,0.0,1016,15,10,121,7
2018-01-04 12:00:00,25,12,0.0,8.7,5,7,81,08:32 PM,09:01 AM,07:09 AM,05:55 PM,4,25,25,26,11,2,24,0.0,1013,25,10,257,9
2018-01-04 18:00:00,25,12,0.0,8.7,5,5,81,08:32 PM,09:01 AM,07:09 AM,05:55 PM,5,19,19,19,11,3,39,0.0,1013,18,10,273,5
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,09:36 PM,09:52 AM,07:09 AM,05:55 PM,5,19,19,19,7,0,39,0.0,1013,15,10,10,4
2018-01-05 06:00:00,25,13,0.0,8.7,5,1,74,09:36 PM,09:52 AM,07:09 AM,05:55 PM,5,20,20,20,2,0,37,0.0,1015,16,10,317,2
2018-01-05 12:00:00,25,13,0.0,8.7,5,7,74,09:36 PM,09:52 AM,07:09 AM,05:55 PM,-0,25,25,26,11,0,17,0.0,1012,25,10,287,10
2018-01-05 18:00:00,25,13,0.0,8.7,5,5,74,09:36 PM,09:52 AM,07:09 AM,05:55 PM,1,20,20,20,11,0,28,0.0,1013,17,10,340,6
2018-01-06 00:00:00,24,12,0.0,8.7,5,1,67,10:35 PM,10:38 AM,07:10 AM,05:56 PM,3,18,18,18,7,0,37,0.0,1013,14,10,30,5
2018-01-06 06:00:00,24,12,0.0,8.7,5,1,67,10:35 PM,10:38 AM,07:10 AM,05:56 PM,5,19,19,19,4,0,41,0.0,1014,15,10,57,4
2018-01-06 12:00:00,24,12,0.0,8.7,5,6,67,10:35 PM,10:38 AM,07:10 AM,05:56 PM,-1,24,24,25,15,0,18,0.0,1011,24,10,275,13
2018-01-06 18:00:00,24,12,0.0,8.7,5,5,67,10:35 PM,10:38 AM,07:10 AM,05:56 PM,0,19,19,19,11,0,28,0.0,1013,17,10,317,6
