date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,24,0.0,13.0,7,1,97,05:48 PM,04:27 AM,05:09 AM,06:10 PM,23,28,28,25,16,32,86,0.0,1014,25,10,24,10
2018-01-01 06:00:00,30,24,0.0,13.0,7,6,97,05:48 PM,04:27 AM,05:09 AM,06:10 PM,23,27,27,25,12,42,89,0.0,1013,25,10,351,7
2018-01-01 12:00:00,30,24,0.0,13.0,7,7,97,05:48 PM,04:27 AM,05:09 AM,06:10 PM,23,32,32,29,15,43,71,0.0,1013,28,10,28,12
2018-01-01 18:00:00,30,24,0.0,13.0,7,1,97,05:48 PM,04:27 AM,05:09 AM,06:10 PM,22,29,29,26,20,0,78,0.0,1010,26,10,34,13
2018-01-02 00:00:00,31,24,0.0,12.0,7,1,100,06:51 PM,05:31 AM,05:10 AM,06:10 PM,22,27,27,24,16,26,87,0.0,1011,24,10,25,10
2018-01-02 06:00:00,31,24,0.0,12.0,7,6,100,06:51 PM,05:31 AM,05:10 AM,06:10 PM,22,27,27,24,15,62,89,0.0,1011,24,10,356,9
2018-01-02 12:00:00,31,24,0.0,12.0,7,8,100,06:51 PM,05:31 AM,05:10 AM,06:10 PM,22,34,34,31,17,20,60,0.0,1010,31,10,26,15
2018-01-02 18:00:00,31,24,0.0,12.0,7,1,100,06:51 PM,05:31 AM,05:10 AM,06:10 PM,23,29,29,26,22,31,80,0.0,1008,26,10,33,14
2018-01-03 00:00:00,29,25,0.0,10.7,6,1,89,07:50 PM,06:35 AM,05:10 AM,06:11 PM,23,28,28,25,20,67,86,0.0,1010,25,10,22,13
2018-01-03 06:00:00,29,25,0.0,10.7,6,6,89,07:50 PM,06:35 AM,05:10 AM,06:11 PM,23,28,28,25,18,97,86,0.0,1011,25,10,11,12
2018-01-03 12:00:00,29,25,0.0,10.7,6,6,89,07:50 PM,06:35 AM,05:10 AM,06:11 PM,23,32,32,29,16,86,71,0.0,1010,29,10,26,14
2018-01-03 18:00:00,29,25,0.0,10.7,6,1,89,07:50 PM,06:35 AM,05:10 AM,06:11 PM,23,30,30,27,22,40,79,0.0,1009,27,10,29,14
2018-01-04 00:00:00,30,25,0.0,10.7,7,1,81,08:44 PM,07:39 AM,05:11 AM,06:11 PM,23,28,28,26,18,53,85,0.0,1011,26,10,22,11
2018-01-04 06:00:00,30,25,0.0,10.7,7,6,81,08:44 PM,07:39 AM,05:11 AM,06:11 PM,23,28,28,25,15,67,87,0.0,1012,25,10,2,10
2018-01-04 12:00:00,30,25,0.0,10.7,7,6,81,08:44 PM,07:39 AM,05:11 AM,06:11 PM,23,33,33,29,16,65,69,0.0,1013,29,10,23,13
2018-01-04 18:00:00,30,25,0.0,10.7,7,1,81,08:44 PM,07:39 AM,05:11 AM,06:11 PM,23,30,30,27,21,23,80,0.0,1012,27,10,45,13
2018-01-05 00:00:00,31,25,0.0,13.0,7,1,74,09:34 PM,08:40 AM,05:11 AM,06:11 PM,23,28,28,26,18,40,86,0.0,1015,26,10,39,11
2018-01-05 06:00:00,31,25,0.0,13.0,7,7,74,09:34 PM,08:40 AM,05:11 AM,06:11 PM,23,28,28,25,13,26,88,0.0,1015,25,10,19,8
2018-01-05 12:00:00,31,25,0.0,13.0,7,8,74,09:34 PM,08:40 AM,05:11 AM,06:11 PM,21,34,34,31,18,9,57,0.0,1015,31,10,44,15
2018-01-05 18:00:00,31,25,0.0,13.0,7,1,74,09:34 PM,08:40 AM,05:11 AM,06:11 PM,22,29,29,27,19,25,75,0.0,1014,27,10,47,12
2018-01-06 00:00:00,31,24,0.0,13.0,7,1,67,10:19 PM,09:38 AM,05:12 AM,06:12 PM,22,27,27,25,16,15,83,0.0,1016,25,10,55,9
2018-01-06 06:00:00,31,24,0.0,13.0,7,6,67,10:19 PM,09:38 AM,05:12 AM,06:12 PM,22,27,27,25,11,23,82,0.0,1016,25,10,56,6
2018-01-06 12:00:00,31,24,0.0,13.0,7,8,67,10:19 PM,09:38 AM,05:12 AM,06:12 PM,20,33,33,31,13,13,54,0.0,1015,31,10,75,11
2018-01-06 18:00:00,31,24,0.0,13.0,7,1,67,10:19 PM,09:38 AM,05:12 AM,06:12 PM,22,29,29,26,16,22,76,0.0,1013,26,10,69,10
2018-01-07 00:00:00,31,24,0.0,13.0,7,1,59,11:02 PM,10:32 AM,05:13 AM,06:12 PM,21,27,27,24,13,17,84,0.0,1014,24,10,58,7
2018-01-07 06:00:00,31,24,0.0,13.0,7,6,59,11:02 PM,10:32 AM,05:13 AM,06:12 PM,21,26,26,24,3,12,86,0.0,1014,24,10,339,2
2018-01-07 12:00:00,31,24,0.0,13.0,7,8,59,11:02 PM,10:32 AM,05:13 AM,06:12 PM,20,33,33,31,14,0,52,0.0,1014,31,10,69,12
2018-01-07 18:00:00,31,24,0.0,13.0,7,1,59,11:02 PM,10:32 AM,05:13 AM,06:12 PM,21,29,29,26,16,6,74,0.0,1013,26,10,75,10
2018-01-08 00:00:00,30,23,0.0,13.0,7,1,52,11:43 PM,11:25 AM,05:13 AM,06:12 PM,22,27,27,24,15,24,84,0.0,1015,24,10,80,8
2018-01-08 06:00:00,30,23,0.0,13.0,7,6,52,11:43 PM,11:25 AM,05:13 AM,06:12 PM,22,26,26,24,7,26,90,0.0,1015,24,10,103,4
2018-01-08 12:00:00,30,23,0.0,13.0,7,8,52,11:43 PM,11:25 AM,05:13 AM,06:12 PM,19,32,32,30,12,4,51,0.0,1016,30,10,88,10
2018-01-08 18:00:00,30,23,0.0,13.0,7,1,52,11:43 PM,11:25 AM,05:13 AM,06:12 PM,21,28,28,26,15,11,75,0.0,1014,26,10,111,10
2018-01-09 00:00:00,27,24,0.0,13.0,7,1,45,No moonrise,12:15 PM,05:14 AM,06:12 PM,22,26,26,24,18,32,91,0.0,1015,24,10,112,9
2018-01-09 06:00:00,27,24,0.0,13.0,7,5,45,No moonrise,12:15 PM,05:14 AM,06:12 PM,22,26,26,24,10,28,92,0.4,1016,24,9,135,5
2018-01-09 12:00:00,27,24,0.0,13.0,7,7,45,No moonrise,12:15 PM,05:14 AM,06:12 PM,24,31,31,27,14,33,85,0.1,1017,27,10,117,11
2018-01-09 18:00:00,27,24,0.0,13.0,7,1,45,No moonrise,12:15 PM,05:14 AM,06:12 PM,24,28,28,25,19,31,92,0.9,1016,25,9,131,11
2018-01-10 00:00:00,29,24,0.0,13.0,7,1,38,12:22 AM,01:04 PM,05:14 AM,06:13 PM,23,26,26,24,20,33,93,0.0,1016,24,10,126,11
2018-01-10 06:00:00,29,24,0.0,13.0,7,6,38,12:22 AM,01:04 PM,05:14 AM,06:13 PM,23,26,26,24,20,26,92,0.0,1016,24,10,129,10
2018-01-10 12:00:00,29,24,0.0,13.0,7,7,38,12:22 AM,01:04 PM,05:14 AM,06:13 PM,21,32,32,29,19,18,62,0.0,1017,29,10,116,16
2018-01-10 18:00:00,29,24,0.0,13.0,7,1,38,12:22 AM,01:04 PM,05:14 AM,06:13 PM,21,28,28,26,17,13,75,0.0,1016,26,10,129,10
2018-01-11 00:00:00,28,23,0.0,13.0,7,1,30,01:03 AM,01:53 PM,05:15 AM,06:13 PM,21,26,26,24,15,24,86,0.0,1016,24,10,152,8
2018-01-11 06:00:00,28,23,0.0,13.0,7,6,30,01:03 AM,01:53 PM,05:15 AM,06:13 PM,22,25,25,23,15,27,91,0.0,1016,23,10,155,8
2018-01-11 12:00:00,28,23,0.0,13.0,7,7,30,01:03 AM,01:53 PM,05:15 AM,06:13 PM,22,31,31,28,14,20,72,0.0,1016,28,10,115,12
2018-01-11 18:00:00,28,23,0.0,13.0,7,1,30,01:03 AM,01:53 PM,05:15 AM,06:13 PM,22,28,28,25,17,21,82,0.0,1014,25,10,111,10
2018-01-12 00:00:00,29,23,0.0,13.0,7,1,23,01:44 AM,02:42 PM,05:16 AM,06:13 PM,22,26,26,24,10,26,90,0.0,1015,24,10,108,5
2018-01-12 06:00:00,29,23,0.0,13.0,7,5,23,01:44 AM,02:42 PM,05:16 AM,06:13 PM,22,25,25,23,9,34,94,0.0,1015,23,2,246,5
2018-01-12 12:00:00,29,23,0.0,13.0,7,6,23,01:44 AM,02:42 PM,05:16 AM,06:13 PM,22,31,31,28,8,16,70,0.8,1014,28,9,112,6
2018-01-12 18:00:00,29,23,0.0,13.0,7,1,23,01:44 AM,02:42 PM,05:16 AM,06:13 PM,21,28,28,26,14,29,75,0.0,1013,26,10,71,9
2018-01-13 00:00:00,30,24,0.0,13.0,7,1,16,02:27 AM,03:32 PM,05:16 AM,06:13 PM,21,26,26,24,10,37,82,0.0,1014,24,10,44,6
2018-01-13 06:00:00,30,24,0.0,13.0,7,6,16,02:27 AM,03:32 PM,05:16 AM,06:13 PM,21,26,26,24,8,43,86,0.1,1014,24,10,356,4
2018-01-13 12:00:00,30,24,0.0,13.0,7,8,16,02:27 AM,03:32 PM,05:16 AM,06:13 PM,20,33,33,30,15,3,56,0.0,1014,30,10,61,13
2018-01-13 18:00:00,30,24,0.0,13.0,7,1,16,02:27 AM,03:32 PM,05:16 AM,06:13 PM,22,29,29,26,15,24,77,0.0,1013,26,10,65,9
2018-01-14 00:00:00,28,24,0.0,13.0,6,1,9,03:12 AM,04:20 PM,05:17 AM,06:13 PM,22,27,27,25,15,24,87,0.2,1014,25,9,48,8
2018-01-14 06:00:00,28,24,0.0,13.0,6,6,9,03:12 AM,04:20 PM,05:17 AM,06:13 PM,22,26,26,24,3,40,91,0.0,1015,24,10,358,1
2018-01-14 12:00:00,28,24,0.0,13.0,6,7,9,03:12 AM,04:20 PM,05:17 AM,06:13 PM,24,32,32,28,14,13,80,0.0,1015,28,10,56,11
2018-01-14 18:00:00,28,24,0.0,13.0,6,1,9,03:12 AM,04:20 PM,05:17 AM,06:13 PM,23,28,28,26,17,27,84,0.4,1014,26,9,52,10
2018-01-15 00:00:00,30,24,0.0,13.0,7,1,1,03:59 AM,05:09 PM,05:17 AM,06:13 PM,22,27,27,25,15,27,85,0.0,1015,25,10,43,8
2018-01-15 06:00:00,30,24,0.0,13.0,7,6,1,03:59 AM,05:09 PM,05:17 AM,06:13 PM,22,26,26,24,9,54,88,0.1,1016,24,10,27,5
2018-01-15 12:00:00,30,24,0.0,13.0,7,8,1,03:59 AM,05:09 PM,05:17 AM,06:13 PM,21,33,33,30,15,28,58,0.1,1016,30,10,50,13
2018-01-15 18:00:00,30,24,0.0,13.0,7,1,1,03:59 AM,05:09 PM,05:17 AM,06:13 PM,22,29,29,26,15,1,76,0.0,1014,26,10,55,9
2018-01-16 00:00:00,30,24,0.0,13.0,7,1,0,04:47 AM,05:56 PM,05:18 AM,06:13 PM,22,27,27,25,17,40,84,0.0,1016,25,10,61,9
2018-01-16 06:00:00,30,24,0.0,13.0,7,6,0,04:47 AM,05:56 PM,05:18 AM,06:13 PM,22,26,26,24,5,8,86,0.0,1016,24,10,89,3
2018-01-16 12:00:00,30,24,0.0,13.0,7,8,0,04:47 AM,05:56 PM,05:18 AM,06:13 PM,21,33,33,30,15,10,59,0.0,1017,30,10,70,13
2018-01-16 18:00:00,30,24,0.0,13.0,7,1,0,04:47 AM,05:56 PM,05:18 AM,06:13 PM,22,29,29,26,16,24,76,0.0,1015,26,10,67,10
2018-01-17 00:00:00,30,24,0.0,12.9,7,1,0,05:36 AM,06:41 PM,05:19 AM,06:13 PM,21,27,27,24,15,13,83,0.0,1017,24,10,62,8
2018-01-17 06:00:00,30,24,0.0,12.9,7,6,0,05:36 AM,06:41 PM,05:19 AM,06:13 PM,22,26,26,24,12,11,86,0.4,1016,24,10,64,6
2018-01-17 12:00:00,30,24,0.0,12.9,7,7,0,05:36 AM,06:41 PM,05:19 AM,06:13 PM,21,32,32,30,16,9,59,0.0,1017,30,10,74,14
2018-01-17 18:00:00,30,24,0.0,12.9,7,1,0,05:36 AM,06:41 PM,05:19 AM,06:13 PM,21,28,28,26,15,9,74,0.0,1015,26,10,83,9
2018-01-18 00:00:00,30,24,0.0,13.0,7,1,6,06:25 AM,07:26 PM,05:19 AM,06:14 PM,21,27,27,25,17,26,80,0.0,1016,25,10,96,9
2018-01-18 06:00:00,30,24,0.0,13.0,7,6,6,06:25 AM,07:26 PM,05:19 AM,06:14 PM,21,26,26,24,19,47,84,0.0,1016,24,10,99,10
2018-01-18 12:00:00,30,24,0.0,13.0,7,8,6,06:25 AM,07:26 PM,05:19 AM,06:14 PM,20,33,33,30,16,22,55,0.0,1017,30,10,90,14
2018-01-18 18:00:00,30,24,0.0,13.0,7,1,6,06:25 AM,07:26 PM,05:19 AM,06:14 PM,21,29,29,27,16,8,73,0.0,1014,26,10,97,10
2018-01-19 00:00:00,31,24,0.0,12.9,7,1,13,07:16 AM,08:08 PM,05:20 AM,06:14 PM,21,27,27,25,16,32,81,0.0,1015,25,10,91,9
