date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,04:51 PM,05:44 AM,06:56 AM,05:27 PM,7,16,16,16,8,0,55,0.0,1013,13,10,308,5
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,04:51 PM,05:44 AM,06:56 AM,05:27 PM,10,16,16,16,6,0,65,0.0,1015,13,10,359,5
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,04:51 PM,05:44 AM,06:56 AM,05:27 PM,6,23,24,23,10,0,34,0.0,1013,21,10,344,9
2018-01-01 18:00:00,21,11,0.0,8.7,5,4,97,04:51 PM,05:44 AM,06:56 AM,05:27 PM,7,17,17,17,4,0,51,0.0,1013,15,10,262,3
2018-01-02 00:00:00,21,11,0.0,8.7,5,1,100,05:55 PM,06:49 AM,06:56 AM,05:28 PM,8,17,17,17,3,2,58,0.0,1013,12,10,321,3
2018-01-02 06:00:00,21,11,0.0,8.7,5,4,100,05:55 PM,06:49 AM,06:56 AM,05:28 PM,6,14,14,14,7,13,60,0.0,1015,13,10,331,5
2018-01-02 12:00:00,21,11,0.0,8.7,5,6,100,05:55 PM,06:49 AM,06:56 AM,05:28 PM,4,21,23,21,10,8,33,0.0,1013,21,10,322,9
2018-01-02 18:00:00,21,11,0.0,8.7,5,4,100,05:55 PM,06:49 AM,06:56 AM,05:28 PM,6,16,16,16,14,0,48,0.0,1014,15,10,359,8
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,07:02 PM,07:51 AM,06:57 AM,05:28 PM,6,14,15,14,14,0,54,0.0,1014,12,10,347,8
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,07:02 PM,07:51 AM,06:57 AM,05:28 PM,6,14,14,14,8,0,56,0.0,1016,12,10,269,7
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,07:02 PM,07:51 AM,06:57 AM,05:28 PM,4,22,23,22,12,0,31,0.0,1014,21,10,292,10
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,07:02 PM,07:51 AM,06:57 AM,05:28 PM,4,16,16,16,15,0,46,0.0,1014,14,10,277,8
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:08 PM,08:46 AM,06:57 AM,05:29 PM,4,13,13,13,14,0,52,0.0,1014,11,10,295,8
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:08 PM,08:46 AM,06:57 AM,05:29 PM,6,14,14,14,9,0,57,0.0,1016,12,10,244,8
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:08 PM,08:46 AM,06:57 AM,05:29 PM,4,23,24,23,7,0,29,0.0,1014,21,10,283,6
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,08:08 PM,08:46 AM,06:57 AM,05:29 PM,5,17,17,17,6,0,46,0.0,1014,14,10,21,3
