date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,12,0.0,8.7,5,1,97,04:54 PM,06:01 AM,07:13 AM,05:27 PM,-10,18,18,18,1,0,14,0.0,1016,13,10,42,1
2018-01-01 06:00:00,24,12,0.0,8.7,5,4,97,04:54 PM,06:01 AM,07:13 AM,05:27 PM,-10,17,17,17,5,0,15,0.0,1016,13,10,175,4
2018-01-01 12:00:00,24,12,0.0,8.7,5,6,97,04:54 PM,06:01 AM,07:13 AM,05:27 PM,-11,25,25,27,9,0,8,0.0,1014,24,10,186,8
2018-01-01 18:00:00,24,12,0.0,8.7,5,5,97,04:54 PM,06:01 AM,07:13 AM,05:27 PM,-10,18,18,18,18,0,13,0.0,1015,16,10,157,9
2018-01-02 00:00:00,24,11,0.0,8.7,5,1,100,05:58 PM,07:06 AM,07:13 AM,05:28 PM,-8,17,17,17,9,0,17,0.0,1015,13,10,178,5
2018-01-02 06:00:00,24,11,0.0,8.7,5,4,100,05:58 PM,07:06 AM,07:13 AM,05:28 PM,-7,16,16,16,4,1,20,0.0,1016,12,10,96,3
2018-01-02 12:00:00,24,11,0.0,8.7,5,6,100,05:58 PM,07:06 AM,07:13 AM,05:28 PM,-9,25,25,27,5,0,9,0.0,1015,24,10,181,5
2018-01-02 18:00:00,24,11,0.0,8.7,5,5,100,05:58 PM,07:06 AM,07:13 AM,05:28 PM,-9,19,19,19,7,0,14,0.0,1016,15,10,161,4
2018-01-03 00:00:00,23,11,0.0,8.7,5,1,89,07:05 PM,08:07 AM,07:13 AM,05:29 PM,-8,17,17,17,2,0,17,0.0,1016,12,10,328,1
2018-01-03 06:00:00,23,11,0.0,8.7,5,4,89,07:05 PM,08:07 AM,07:13 AM,05:29 PM,-8,15,15,15,6,0,20,0.0,1017,11,10,353,5
2018-01-03 12:00:00,23,11,0.0,8.7,5,6,89,07:05 PM,08:07 AM,07:13 AM,05:29 PM,-8,25,25,27,2,0,10,0.0,1015,23,10,265,1
2018-01-03 18:00:00,23,11,0.0,8.7,5,5,89,07:05 PM,08:07 AM,07:13 AM,05:29 PM,-7,19,19,19,4,0,16,0.0,1015,15,10,238,2
2018-01-04 00:00:00,22,12,0.0,8.7,5,1,81,08:12 PM,09:02 AM,07:13 AM,05:29 PM,-7,17,17,17,7,0,19,0.0,1016,13,10,43,4
2018-01-04 06:00:00,22,12,0.0,8.7,5,4,81,08:12 PM,09:02 AM,07:13 AM,05:29 PM,-7,14,14,14,11,3,22,0.0,1016,12,10,51,6
2018-01-04 12:00:00,22,12,0.0,8.7,5,6,81,08:12 PM,09:02 AM,07:13 AM,05:29 PM,-8,23,23,24,2,8,11,0.0,1014,22,10,53,2
2018-01-04 18:00:00,22,12,0.0,8.7,5,5,81,08:12 PM,09:02 AM,07:13 AM,05:29 PM,-9,16,16,16,23,3,17,0.0,1015,15,10,25,11
2018-01-05 00:00:00,22,10,0.0,8.7,4,1,74,09:18 PM,09:50 AM,07:13 AM,05:30 PM,-6,11,13,11,24,0,28,0.0,1017,11,10,6,12
2018-01-05 06:00:00,22,10,0.0,8.7,4,4,74,09:18 PM,09:50 AM,07:13 AM,05:30 PM,-4,10,12,10,21,0,32,0.0,1018,10,10,2,12
