date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,10.9,6,1,97,05:30 PM,06:07 AM,07:17 AM,06:05 PM,7,21,21,21,14,0,40,0.0,1012,18,10,31,9
2018-01-01 06:00:00,28,17,0.0,10.9,6,1,97,05:30 PM,06:07 AM,07:17 AM,06:05 PM,8,20,20,20,12,0,45,0.0,1013,18,10,36,9
2018-01-01 12:00:00,28,17,0.0,10.9,6,7,97,05:30 PM,06:07 AM,07:17 AM,06:05 PM,9,29,29,31,7,0,25,0.0,1010,28,10,358,6
2018-01-01 18:00:00,28,17,0.0,10.9,6,6,97,05:30 PM,06:07 AM,07:17 AM,06:05 PM,6,23,24,23,17,0,33,0.0,1011,21,10,349,9
2018-01-02 00:00:00,28,16,0.0,10.9,6,1,100,06:33 PM,07:12 AM,07:17 AM,06:05 PM,4,19,19,19,18,0,37,0.0,1012,17,10,36,10
2018-01-02 06:00:00,28,16,0.0,10.9,6,1,100,06:33 PM,07:12 AM,07:17 AM,06:05 PM,5,18,18,18,31,0,42,0.0,1013,18,10,66,16
2018-01-02 12:00:00,28,16,0.0,10.9,6,7,100,06:33 PM,07:12 AM,07:17 AM,06:05 PM,7,28,28,30,13,0,24,0.0,1011,28,10,73,12
2018-01-02 18:00:00,28,16,0.0,10.9,6,6,100,06:33 PM,07:12 AM,07:17 AM,06:05 PM,4,22,23,22,27,0,31,0.0,1013,21,10,37,13
2018-01-03 00:00:00,28,16,0.0,10.9,6,1,89,07:40 PM,08:13 AM,07:18 AM,06:06 PM,-1,18,18,18,31,0,28,0.0,1012,18,10,63,15
2018-01-03 06:00:00,28,16,0.0,10.9,6,1,89,07:40 PM,08:13 AM,07:18 AM,06:06 PM,3,19,19,19,19,0,34,0.0,1014,17,10,72,12
2018-01-03 12:00:00,28,16,0.0,10.9,6,7,89,07:40 PM,08:13 AM,07:18 AM,06:06 PM,11,31,31,32,2,0,26,0.0,1012,28,10,119,2
2018-01-03 18:00:00,28,16,0.0,10.9,6,6,89,07:40 PM,08:13 AM,07:18 AM,06:06 PM,8,24,25,24,13,0,37,0.0,1013,22,10,13,7
2018-01-04 00:00:00,29,17,0.0,10.9,6,1,81,08:44 PM,09:10 AM,07:18 AM,06:07 PM,5,21,23,21,13,0,34,0.0,1013,18,10,63,8
2018-01-04 06:00:00,29,17,0.0,10.9,6,1,81,08:44 PM,09:10 AM,07:18 AM,06:07 PM,8,22,24,22,8,0,39,0.0,1015,19,10,69,7
2018-01-04 12:00:00,29,17,0.0,10.9,6,7,81,08:44 PM,09:10 AM,07:18 AM,06:07 PM,8,29,29,31,12,0,24,0.0,1012,29,10,267,10
2018-01-04 18:00:00,29,17,0.0,10.9,6,6,81,08:44 PM,09:10 AM,07:18 AM,06:07 PM,8,24,24,24,10,0,36,0.0,1013,21,10,309,6
2018-01-05 00:00:00,27,16,0.0,10.9,6,1,74,09:47 PM,10:01 AM,07:18 AM,06:07 PM,6,21,21,21,11,0,38,0.0,1013,17,10,24,7
2018-01-05 06:00:00,27,16,0.0,10.9,6,1,74,09:47 PM,10:01 AM,07:18 AM,06:07 PM,5,20,20,20,9,0,37,0.0,1015,17,10,27,8
2018-01-05 12:00:00,27,16,0.0,10.9,6,7,74,09:47 PM,10:01 AM,07:18 AM,06:07 PM,3,28,28,30,8,0,18,0.0,1012,27,10,340,7
2018-01-05 18:00:00,27,16,0.0,10.9,6,6,74,09:47 PM,10:01 AM,07:18 AM,06:07 PM,2,22,23,22,14,0,27,0.0,1013,20,10,344,7
2018-01-06 00:00:00,27,16,0.0,10.9,6,1,67,10:47 PM,10:47 AM,07:18 AM,06:08 PM,4,20,20,20,13,0,35,0.0,1013,17,10,29,8
