date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:33 PM,05:21 AM,06:33 AM,05:10 PM,7,16,16,16,11,3,56,0.0,1013,13,10,243,6
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:33 PM,05:21 AM,06:33 AM,05:10 PM,10,17,17,17,9,2,61,0.0,1016,14,10,260,8
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:33 PM,05:21 AM,06:33 AM,05:10 PM,9,25,25,25,10,1,36,0.0,1012,22,10,313,9
2018-01-01 18:00:00,22,10,0.0,8.7,5,5,97,04:33 PM,05:21 AM,06:33 AM,05:10 PM,9,18,18,18,10,0,56,0.0,1013,15,10,284,6
2018-01-02 00:00:00,22,10,0.0,8.7,5,1,100,05:37 PM,06:25 AM,06:33 AM,05:10 PM,9,16,16,16,9,0,64,0.0,1013,12,10,275,7
2018-01-02 06:00:00,22,10,0.0,8.7,5,4,100,05:37 PM,06:25 AM,06:33 AM,05:10 PM,6,15,15,15,10,4,55,0.0,1016,14,10,279,8
2018-01-02 12:00:00,22,10,0.0,8.7,5,6,100,05:37 PM,06:25 AM,06:33 AM,05:10 PM,5,24,24,24,15,0,29,0.0,1012,22,10,291,13
2018-01-02 18:00:00,22,10,0.0,8.7,5,4,100,05:37 PM,06:25 AM,06:33 AM,05:10 PM,4,16,16,16,20,0,45,0.0,1014,15,10,306,10
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,06:43 PM,07:27 AM,06:34 AM,05:11 PM,5,14,14,14,11,3,54,0.0,1014,12,10,243,7
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,06:43 PM,07:27 AM,06:34 AM,05:11 PM,5,13,14,13,18,0,56,0.0,1016,13,10,266,14
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,06:43 PM,07:27 AM,06:34 AM,05:11 PM,4,21,21,21,19,0,32,0.0,1013,21,10,291,17
