date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,32,20,0.0,8.7,7,1,97,05:21 PM,05:24 AM,06:32 AM,05:59 PM,19,22,24,22,15,9,87,0.0,1010,21,10,323,9
2018-01-01 06:00:00,32,20,0.0,8.7,7,6,97,05:21 PM,05:24 AM,06:32 AM,05:59 PM,19,27,27,26,9,3,68,0.0,1011,24,10,331,8
2018-01-01 12:00:00,32,20,0.0,8.7,7,8,97,05:21 PM,05:24 AM,06:32 AM,05:59 PM,16,33,33,32,11,10,38,0.0,1008,32,10,22,9
2018-01-01 18:00:00,32,20,0.0,8.7,7,6,97,05:21 PM,05:24 AM,06:32 AM,05:59 PM,21,26,26,24,23,14,81,0.0,1009,24,10,90,13
2018-01-02 00:00:00,31,21,0.0,8.7,7,1,100,06:24 PM,06:28 AM,06:32 AM,05:59 PM,19,22,25,22,12,11,83,0.0,1010,22,10,323,7
2018-01-02 06:00:00,31,21,0.0,8.7,7,6,100,06:24 PM,06:28 AM,06:32 AM,05:59 PM,18,26,26,25,11,18,67,0.0,1011,24,10,332,9
2018-01-02 12:00:00,31,21,0.0,8.7,7,8,100,06:24 PM,06:28 AM,06:32 AM,05:59 PM,17,32,32,31,10,48,43,0.0,1009,31,10,28,9
2018-01-02 18:00:00,31,21,0.0,8.7,7,6,100,06:24 PM,06:28 AM,06:32 AM,05:59 PM,21,26,26,24,31,22,82,0.1,1010,24,10,79,18
2018-01-03 00:00:00,31,21,0.0,11.6,7,1,89,07:29 PM,07:31 AM,06:33 AM,06:00 PM,21,22,25,22,17,25,92,0.1,1011,22,10,347,10
2018-01-03 06:00:00,31,21,0.0,11.6,7,6,89,07:29 PM,07:31 AM,06:33 AM,06:00 PM,21,26,26,24,18,40,83,0.0,1013,24,10,11,14
2018-01-03 12:00:00,31,21,0.0,11.6,7,8,89,07:29 PM,07:31 AM,06:33 AM,06:00 PM,17,32,32,31,19,24,42,0.0,1010,31,10,52,17
2018-01-03 18:00:00,31,21,0.0,11.6,7,6,89,07:29 PM,07:31 AM,06:33 AM,06:00 PM,19,26,26,24,29,20,76,0.0,1012,24,10,82,17
2018-01-04 00:00:00,30,20,0.0,11.6,6,1,81,08:31 PM,08:30 AM,06:33 AM,06:00 PM,20,22,24,22,15,17,89,0.0,1013,21,10,8,9
2018-01-04 06:00:00,30,20,0.0,11.6,6,6,81,08:31 PM,08:30 AM,06:33 AM,06:00 PM,20,26,26,24,16,13,79,0.0,1015,24,10,355,13
2018-01-04 12:00:00,30,20,0.0,11.6,6,7,81,08:31 PM,08:30 AM,06:33 AM,06:00 PM,15,30,30,30,24,7,41,0.0,1012,30,10,53,21
2018-01-04 18:00:00,30,20,0.0,11.6,6,6,81,08:31 PM,08:30 AM,06:33 AM,06:00 PM,16,25,25,23,32,0,65,0.0,1012,23,10,65,16
2018-01-05 00:00:00,29,19,0.0,11.6,6,1,74,09:31 PM,09:24 AM,06:34 AM,06:01 PM,19,22,25,22,12,0,84,0.0,1012,20,10,357,8
2018-01-05 06:00:00,29,19,0.0,11.6,6,6,74,09:31 PM,09:24 AM,06:34 AM,06:01 PM,19,26,26,24,12,0,72,0.0,1014,23,10,357,10
2018-01-05 12:00:00,29,19,0.0,11.6,6,7,74,09:31 PM,09:24 AM,06:34 AM,06:01 PM,15,29,29,29,22,0,42,0.0,1011,29,10,61,19
2018-01-05 18:00:00,29,19,0.0,11.6,6,6,74,09:31 PM,09:24 AM,06:34 AM,06:01 PM,16,22,24,22,27,0,70,0.0,1012,21,10,73,13
2018-01-06 00:00:00,29,18,0.0,11.6,6,1,67,10:26 PM,10:14 AM,06:34 AM,06:02 PM,17,22,24,22,11,0,73,0.0,1011,19,10,335,8
2018-01-06 06:00:00,29,18,0.0,11.6,6,6,67,10:26 PM,10:14 AM,06:34 AM,06:02 PM,16,23,25,23,11,4,65,0.0,1013,22,10,330,9
2018-01-06 12:00:00,29,18,0.0,11.6,6,7,67,10:26 PM,10:14 AM,06:34 AM,06:02 PM,14,29,29,29,17,9,38,0.0,1010,29,10,39,15
2018-01-06 18:00:00,29,18,0.0,11.6,6,6,67,10:26 PM,10:14 AM,06:34 AM,06:02 PM,15,22,24,22,26,3,65,0.0,1012,21,10,79,13
2018-01-07 00:00:00,30,18,0.0,11.6,6,1,59,11:19 PM,11:00 AM,06:34 AM,06:02 PM,15,20,20,20,16,2,72,0.0,1012,19,10,342,9
2018-01-07 06:00:00,30,18,0.0,11.6,6,6,59,11:19 PM,11:00 AM,06:34 AM,06:02 PM,15,23,25,23,13,2,62,0.0,1014,22,10,356,10
2018-01-07 12:00:00,30,18,0.0,11.6,6,7,59,11:19 PM,11:00 AM,06:34 AM,06:02 PM,12,29,29,30,20,0,34,0.0,1011,30,10,41,17
2018-01-07 18:00:00,30,18,0.0,11.6,6,6,59,11:19 PM,11:00 AM,06:34 AM,06:02 PM,15,21,24,21,32,0,68,0.0,1012,21,10,71,15
2018-01-08 00:00:00,29,18,0.0,11.6,6,1,52,No moonrise,11:44 AM,06:35 AM,06:03 PM,17,20,20,20,18,0,83,0.0,1012,18,10,350,10
2018-01-08 06:00:00,29,18,0.0,11.6,6,6,52,No moonrise,11:44 AM,06:35 AM,06:03 PM,16,22,25,22,17,0,69,0.0,1014,22,10,349,13
2018-01-08 12:00:00,29,18,0.0,11.6,6,7,52,No moonrise,11:44 AM,06:35 AM,06:03 PM,15,29,29,29,24,7,42,0.0,1012,29,10,53,21
2018-01-08 18:00:00,29,18,0.0,11.6,6,6,52,No moonrise,11:44 AM,06:35 AM,06:03 PM,17,25,25,22,27,11,74,0.0,1014,22,10,51,15
2018-01-09 00:00:00,26,19,0.0,7.3,6,1,45,12:10 AM,12:25 PM,06:35 AM,06:03 PM,17,20,20,20,20,16,84,0.0,1013,20,10,356,11
2018-01-09 06:00:00,26,19,0.0,7.3,6,6,45,12:10 AM,12:25 PM,06:35 AM,06:03 PM,19,25,25,23,24,57,75,0.0,1015,23,10,6,19
2018-01-09 12:00:00,26,19,0.0,7.3,6,6,45,12:10 AM,12:25 PM,06:35 AM,06:03 PM,20,28,28,26,23,100,69,0.1,1013,26,10,28,17
2018-01-09 18:00:00,26,19,0.0,7.3,6,6,45,12:10 AM,12:25 PM,06:35 AM,06:03 PM,20,25,25,23,26,47,82,0.0,1015,23,10,19,15
2018-01-10 00:00:00,27,22,0.0,5.8,5,1,38,12:59 AM,01:07 PM,06:35 AM,06:04 PM,20,25,25,23,26,100,87,0.4,1014,23,10,11,17
2018-01-10 06:00:00,27,22,0.0,5.8,5,5,38,12:59 AM,01:07 PM,06:35 AM,06:04 PM,21,26,26,24,23,83,83,0.6,1016,24,10,17,17
2018-01-10 12:00:00,27,22,0.0,5.8,5,6,38,12:59 AM,01:07 PM,06:35 AM,06:04 PM,21,30,30,27,29,93,70,0.4,1014,27,10,32,24
2018-01-10 18:00:00,27,22,0.0,5.8,5,5,38,12:59 AM,01:07 PM,06:35 AM,06:04 PM,21,25,25,23,19,69,88,0.0,1015,23,10,16,11
2018-01-11 00:00:00,30,22,0.0,10.2,6,1,30,01:47 AM,01:48 PM,06:35 AM,06:04 PM,21,25,25,23,20,100,89,0.1,1015,23,10,355,13
2018-01-11 06:00:00,30,22,0.0,10.2,6,5,30,01:47 AM,01:48 PM,06:35 AM,06:04 PM,21,27,27,24,18,81,83,0.1,1016,24,10,9,14
2018-01-11 12:00:00,30,22,0.0,10.2,6,7,30,01:47 AM,01:48 PM,06:35 AM,06:04 PM,21,33,33,30,22,55,59,0.5,1013,30,10,61,18
2018-01-11 18:00:00,30,22,0.0,10.2,6,6,30,01:47 AM,01:48 PM,06:35 AM,06:04 PM,21,26,26,24,23,11,86,0.0,1014,24,10,65,13
2018-01-12 00:00:00,32,21,0.0,11.6,7,1,23,02:35 AM,02:30 PM,06:36 AM,06:05 PM,21,23,25,23,12,29,93,0.0,1014,22,10,6,8
2018-01-12 06:00:00,32,21,0.0,11.6,7,6,23,02:35 AM,02:30 PM,06:36 AM,06:05 PM,21,27,27,25,12,13,79,0.0,1015,24,10,351,10
2018-01-12 12:00:00,32,21,0.0,11.6,7,8,23,02:35 AM,02:30 PM,06:36 AM,06:05 PM,18,33,33,32,18,12,45,0.0,1012,32,10,72,16
2018-01-12 18:00:00,32,21,0.0,11.6,7,6,23,02:35 AM,02:30 PM,06:36 AM,06:05 PM,20,26,26,24,18,7,82,0.0,1014,23,10,80,10
