date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,20,0.0,11.6,6,1,97,05:32 PM,05:29 AM,06:37 AM,06:10 PM,16,21,24,21,3,9,73,0.0,1010,20,10,221,2
2018-01-01 06:00:00,29,20,0.0,11.6,6,1,97,05:32 PM,05:29 AM,06:37 AM,06:10 PM,19,27,27,26,0,6,67,0.0,1011,24,10,21,0
2018-01-01 12:00:00,29,20,0.0,11.6,6,7,97,05:32 PM,05:29 AM,06:37 AM,06:10 PM,17,30,30,30,10,43,47,0.0,1008,29,10,89,8
2018-01-01 18:00:00,29,20,0.0,11.6,6,6,97,05:32 PM,05:29 AM,06:37 AM,06:10 PM,18,26,26,25,6,21,69,0.0,1009,24,10,302,3
2018-01-02 00:00:00,29,20,0.0,11.6,6,1,100,06:36 PM,06:33 AM,06:37 AM,06:11 PM,20,23,25,23,3,5,85,0.0,1009,21,10,255,2
2018-01-02 06:00:00,29,20,0.0,11.6,6,1,100,06:36 PM,06:33 AM,06:37 AM,06:11 PM,21,28,28,26,3,4,72,0.0,1011,24,10,117,3
2018-01-02 12:00:00,29,20,0.0,11.6,6,7,100,06:36 PM,06:33 AM,06:37 AM,06:11 PM,17,30,30,30,7,52,48,0.0,1008,29,10,74,6
2018-01-02 18:00:00,29,20,0.0,11.6,6,6,100,06:36 PM,06:33 AM,06:37 AM,06:11 PM,18,26,26,25,7,32,68,0.0,1010,24,10,136,4
2018-01-03 00:00:00,29,20,0.0,10.2,6,1,89,07:40 PM,07:36 AM,06:38 AM,06:11 PM,20,22,24,22,3,25,88,0.0,1010,21,10,148,2
2018-01-03 06:00:00,29,20,0.0,10.2,6,1,89,07:40 PM,07:36 AM,06:38 AM,06:11 PM,21,28,28,26,4,5,74,0.0,1012,24,10,83,3
2018-01-03 12:00:00,29,20,0.0,10.2,6,6,89,07:40 PM,07:36 AM,06:38 AM,06:11 PM,17,30,30,29,9,64,49,0.0,1009,29,10,89,8
2018-01-03 18:00:00,29,20,0.0,10.2,6,6,89,07:40 PM,07:36 AM,06:38 AM,06:11 PM,18,26,26,24,5,25,66,0.0,1011,24,10,298,3
2018-01-04 00:00:00,28,19,0.0,11.6,6,1,81,08:42 PM,08:35 AM,06:38 AM,06:12 PM,18,21,24,21,5,17,83,0.0,1012,20,10,93,3
2018-01-04 06:00:00,28,19,0.0,11.6,6,1,81,08:42 PM,08:35 AM,06:38 AM,06:12 PM,18,26,26,24,8,7,68,0.0,1014,23,10,50,7
2018-01-04 12:00:00,28,19,0.0,11.6,6,7,81,08:42 PM,08:35 AM,06:38 AM,06:12 PM,17,29,29,28,11,18,49,0.0,1010,28,10,73,9
