date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,22,0.0,8.7,6,1,97,04:55 PM,05:17 AM,06:27 AM,05:33 PM,13,25,25,23,28,44,53,0.0,1011,23,10,25,17
2018-01-01 06:00:00,26,22,0.0,8.7,6,6,97,04:55 PM,05:17 AM,06:27 AM,05:33 PM,12,25,25,24,25,45,47,0.0,1012,24,10,31,17
2018-01-01 12:00:00,26,22,0.0,8.7,6,7,97,04:55 PM,05:17 AM,06:27 AM,05:33 PM,15,26,26,26,30,28,50,0.0,1009,26,10,63,24
2018-01-01 18:00:00,26,22,0.0,8.7,6,6,97,04:55 PM,05:17 AM,06:27 AM,05:33 PM,17,25,25,23,32,22,70,0.0,1011,23,10,54,20
2018-01-02 00:00:00,27,21,0.0,8.7,6,1,100,05:59 PM,06:21 AM,06:28 AM,05:34 PM,16,21,24,21,26,22,72,0.0,1010,21,10,30,15
2018-01-02 06:00:00,27,21,0.0,8.7,6,6,100,05:59 PM,06:21 AM,06:28 AM,05:34 PM,14,25,25,23,19,24,57,0.0,1012,23,10,26,14
2018-01-02 12:00:00,27,21,0.0,8.7,6,7,100,05:59 PM,06:21 AM,06:28 AM,05:34 PM,16,27,27,27,25,6,50,0.0,1009,27,10,81,22
2018-01-02 18:00:00,27,21,0.0,8.7,6,6,100,05:59 PM,06:21 AM,06:28 AM,05:34 PM,18,25,25,22,21,9,75,0.0,1011,22,10,63,12
2018-01-03 00:00:00,27,20,0.0,8.7,6,1,89,07:04 PM,07:24 AM,06:28 AM,05:35 PM,15,21,21,21,21,9,70,0.0,1012,21,10,18,12
2018-01-03 06:00:00,27,20,0.0,8.7,6,6,89,07:04 PM,07:24 AM,06:28 AM,05:35 PM,13,25,25,23,14,2,54,0.0,1013,23,10,11,10
2018-01-03 12:00:00,27,20,0.0,8.7,6,7,89,07:04 PM,07:24 AM,06:28 AM,05:35 PM,15,27,27,27,17,2,47,0.0,1010,27,10,98,14
2018-01-03 18:00:00,27,20,0.0,8.7,6,6,89,07:04 PM,07:24 AM,06:28 AM,05:35 PM,17,25,25,23,13,3,69,0.0,1013,22,10,64,8
2018-01-04 00:00:00,26,20,0.0,8.7,6,1,81,08:08 PM,08:21 AM,06:28 AM,05:35 PM,16,22,25,22,9,4,69,0.0,1013,21,10,12,6
2018-01-04 06:00:00,26,20,0.0,8.7,6,6,81,08:08 PM,08:21 AM,06:28 AM,05:35 PM,16,25,25,23,10,3,63,0.0,1015,23,10,360,8
2018-01-04 12:00:00,26,20,0.0,8.7,6,7,81,08:08 PM,08:21 AM,06:28 AM,05:35 PM,15,27,27,26,16,5,49,0.0,1012,26,10,112,14
2018-01-04 18:00:00,26,20,0.0,8.7,6,6,81,08:08 PM,08:21 AM,06:28 AM,05:35 PM,15,25,25,23,13,4,64,0.0,1014,22,10,66,8
2018-01-05 00:00:00,26,19,0.0,8.7,6,1,74,09:10 PM,09:15 AM,06:29 AM,05:36 PM,16,21,21,21,13,0,71,0.0,1013,20,10,5,8
2018-01-05 06:00:00,26,19,0.0,8.7,6,6,74,09:10 PM,09:15 AM,06:29 AM,05:36 PM,15,22,25,22,14,0,65,0.0,1014,22,10,25,10
2018-01-05 12:00:00,26,19,0.0,8.7,6,7,74,09:10 PM,09:15 AM,06:29 AM,05:36 PM,13,26,26,26,16,0,47,0.0,1011,26,10,105,14
2018-01-05 18:00:00,26,19,0.0,8.7,6,6,74,09:10 PM,09:15 AM,06:29 AM,05:36 PM,15,23,25,23,9,0,62,0.0,1012,21,10,80,6
2018-01-06 00:00:00,26,19,0.0,8.7,6,1,67,10:07 PM,10:02 AM,06:29 AM,05:36 PM,15,20,20,20,14,0,71,0.0,1011,20,10,355,9
2018-01-06 06:00:00,26,19,0.0,8.7,6,6,67,10:07 PM,10:02 AM,06:29 AM,05:36 PM,14,22,25,22,12,0,63,0.0,1013,21,10,1,9
2018-01-06 12:00:00,26,19,0.0,8.7,6,7,67,10:07 PM,10:02 AM,06:29 AM,05:36 PM,14,26,26,26,14,0,47,0.0,1010,26,10,112,12
2018-01-06 18:00:00,26,19,0.0,8.7,6,6,67,10:07 PM,10:02 AM,06:29 AM,05:36 PM,15,23,25,23,9,0,62,0.0,1012,21,10,83,6
2018-01-07 00:00:00,26,19,0.0,8.7,6,1,59,11:02 PM,10:46 AM,06:29 AM,05:37 PM,16,20,20,20,14,0,74,0.0,1012,20,10,341,9
2018-01-07 06:00:00,26,19,0.0,8.7,6,6,59,11:02 PM,10:46 AM,06:29 AM,05:37 PM,14,22,25,22,13,0,63,0.0,1014,22,10,14,10
2018-01-07 12:00:00,26,19,0.0,8.7,6,7,59,11:02 PM,10:46 AM,06:29 AM,05:37 PM,14,27,27,26,16,0,47,0.0,1011,26,10,116,14
2018-01-07 18:00:00,26,19,0.0,8.7,6,6,59,11:02 PM,10:46 AM,06:29 AM,05:37 PM,15,22,25,22,14,3,63,0.0,1013,22,10,69,8
2018-01-08 00:00:00,26,19,0.0,8.7,6,1,52,11:55 PM,11:28 AM,06:29 AM,05:38 PM,15,20,20,20,20,0,71,0.0,1013,20,10,9,11
2018-01-08 06:00:00,26,19,0.0,8.7,6,6,52,11:55 PM,11:28 AM,06:29 AM,05:38 PM,14,22,25,22,20,0,62,0.0,1015,22,10,29,15
2018-01-08 12:00:00,26,19,0.0,8.7,6,7,52,11:55 PM,11:28 AM,06:29 AM,05:38 PM,15,26,26,26,26,0,52,0.0,1013,26,10,75,23
2018-01-08 18:00:00,26,19,0.0,8.7,6,6,52,11:55 PM,11:28 AM,06:29 AM,05:38 PM,14,22,25,22,32,0,63,0.0,1015,22,10,59,19
2018-01-09 00:00:00,26,19,0.0,8.7,6,1,45,No moonrise,12:08 PM,06:30 AM,05:38 PM,14,20,20,20,27,0,68,0.0,1015,20,10,30,15
2018-01-09 06:00:00,26,19,0.0,8.7,6,6,45,No moonrise,12:08 PM,06:30 AM,05:38 PM,14,22,25,22,22,4,60,0.0,1017,22,10,29,17
2018-01-09 12:00:00,26,19,0.0,8.7,6,7,45,No moonrise,12:08 PM,06:30 AM,05:38 PM,16,27,27,26,23,4,53,0.0,1015,26,10,80,20
2018-01-09 18:00:00,26,19,0.0,8.7,6,6,45,No moonrise,12:08 PM,06:30 AM,05:38 PM,16,25,25,22,24,5,66,0.0,1016,22,10,63,14
2018-01-10 00:00:00,27,20,0.0,8.7,6,1,38,12:46 AM,12:47 PM,06:30 AM,05:39 PM,15,21,21,21,19,5,68,0.0,1016,21,10,23,11
2018-01-10 06:00:00,27,20,0.0,8.7,6,6,38,12:46 AM,12:47 PM,06:30 AM,05:39 PM,14,25,25,23,16,7,57,0.0,1017,23,10,33,12
