date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,8.7,6,1,97,05:10 PM,05:33 AM,06:43 AM,05:48 PM,10,20,20,20,5,5,55,0.0,1012,18,10,199,2
2018-01-01 06:00:00,29,17,0.0,8.7,6,6,97,05:10 PM,05:33 AM,06:43 AM,05:48 PM,11,22,24,22,7,4,50,0.0,1013,21,10,327,5
2018-01-01 12:00:00,29,17,0.0,8.7,6,7,97,05:10 PM,05:33 AM,06:43 AM,05:48 PM,9,28,28,29,11,6,28,0.0,1008,29,10,354,9
2018-01-01 18:00:00,29,17,0.0,8.7,6,6,97,05:10 PM,05:33 AM,06:43 AM,05:48 PM,7,22,24,22,22,4,40,0.0,1010,22,10,32,10
2018-01-02 00:00:00,29,17,0.0,8.7,6,1,100,06:14 PM,06:37 AM,06:43 AM,05:48 PM,7,19,19,19,5,7,48,0.0,1011,18,10,70,2
2018-01-02 06:00:00,29,17,0.0,8.7,6,6,100,06:14 PM,06:37 AM,06:43 AM,05:48 PM,13,22,25,22,7,7,59,0.0,1013,21,10,210,6
2018-01-02 12:00:00,29,17,0.0,8.7,6,7,100,06:14 PM,06:37 AM,06:43 AM,05:48 PM,11,29,29,30,5,10,30,0.0,1009,29,10,342,5
2018-01-02 18:00:00,29,17,0.0,8.7,6,6,100,06:14 PM,06:37 AM,06:43 AM,05:48 PM,8,22,24,22,20,7,41,0.0,1011,22,10,49,10
2018-01-03 00:00:00,28,17,0.0,8.7,6,1,89,07:20 PM,07:40 AM,06:43 AM,05:49 PM,8,19,19,19,13,6,50,0.0,1012,18,10,17,6
2018-01-03 06:00:00,28,17,0.0,8.7,6,6,89,07:20 PM,07:40 AM,06:43 AM,05:49 PM,12,22,24,22,2,4,51,0.0,1014,21,10,180,2
2018-01-03 12:00:00,28,17,0.0,8.7,6,7,89,07:20 PM,07:40 AM,06:43 AM,05:49 PM,7,27,27,28,11,5,26,0.0,1011,28,10,360,9
2018-01-03 18:00:00,28,17,0.0,8.7,6,6,89,07:20 PM,07:40 AM,06:43 AM,05:49 PM,7,21,21,21,23,3,40,0.0,1013,21,10,46,11
2018-01-04 00:00:00,28,16,0.0,8.7,6,1,81,08:23 PM,08:37 AM,06:44 AM,05:49 PM,8,18,18,18,14,0,50,0.0,1013,17,10,28,7
2018-01-04 06:00:00,28,16,0.0,8.7,6,6,81,08:23 PM,08:37 AM,06:44 AM,05:49 PM,8,20,20,20,10,6,45,0.0,1016,20,10,27,7
2018-01-04 12:00:00,28,16,0.0,8.7,6,7,81,08:23 PM,08:37 AM,06:44 AM,05:49 PM,6,26,26,28,13,4,25,0.0,1012,28,10,14,11
2018-01-04 18:00:00,28,16,0.0,8.7,6,6,81,08:23 PM,08:37 AM,06:44 AM,05:49 PM,5,21,21,21,20,3,37,0.0,1013,20,10,40,10
2018-01-05 00:00:00,28,16,0.0,8.7,6,1,74,09:25 PM,09:30 AM,06:44 AM,05:50 PM,6,19,19,19,8,4,45,0.0,1013,17,10,32,4
2018-01-05 06:00:00,28,16,0.0,8.7,6,5,74,09:25 PM,09:30 AM,06:44 AM,05:50 PM,6,22,24,22,6,0,35,0.0,1014,20,10,167,5
2018-01-05 12:00:00,28,16,0.0,8.7,6,7,74,09:25 PM,09:30 AM,06:44 AM,05:50 PM,5,27,27,28,11,3,23,0.0,1011,28,10,14,10
2018-01-05 18:00:00,28,16,0.0,8.7,6,6,74,09:25 PM,09:30 AM,06:44 AM,05:50 PM,5,21,24,21,16,0,35,0.0,1012,21,10,44,8
2018-01-06 00:00:00,28,16,0.0,8.7,6,1,67,10:23 PM,10:18 AM,06:44 AM,05:51 PM,6,18,18,18,16,3,45,0.0,1012,17,10,22,8
2018-01-06 06:00:00,28,16,0.0,8.7,6,5,67,10:23 PM,10:18 AM,06:44 AM,05:51 PM,7,20,20,20,8,2,43,0.0,1014,19,10,154,6
2018-01-06 12:00:00,28,16,0.0,8.7,6,7,67,10:23 PM,10:18 AM,06:44 AM,05:51 PM,6,27,27,28,9,4,25,0.0,1010,28,10,42,8
2018-01-06 18:00:00,28,16,0.0,8.7,6,6,67,10:23 PM,10:18 AM,06:44 AM,05:51 PM,6,21,21,21,20,4,38,0.0,1012,21,10,51,9
2018-01-07 00:00:00,29,16,0.0,8.7,6,1,59,11:18 PM,11:02 AM,06:45 AM,05:51 PM,7,19,19,19,2,4,47,0.0,1012,17,10,248,1
2018-01-07 06:00:00,29,16,0.0,8.7,6,5,59,11:18 PM,11:02 AM,06:45 AM,05:51 PM,9,21,24,21,4,5,46,0.0,1014,20,10,207,3
2018-01-07 12:00:00,29,16,0.0,8.7,6,7,59,11:18 PM,11:02 AM,06:45 AM,05:51 PM,8,28,28,30,5,5,26,0.0,1011,29,10,79,4
