date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,8.7,6,1,97,05:17 PM,05:47 AM,06:57 AM,05:53 PM,6,21,21,21,9,2,37,0.0,1012,18,10,110,5
2018-01-01 06:00:00,28,17,0.0,8.7,6,5,97,05:17 PM,05:47 AM,06:57 AM,05:53 PM,7,21,21,21,11,4,40,0.0,1013,20,10,123,8
2018-01-01 12:00:00,28,17,0.0,8.7,6,7,97,05:17 PM,05:47 AM,06:57 AM,05:53 PM,7,28,28,30,2,4,25,0.0,1010,28,10,240,2
2018-01-01 18:00:00,28,17,0.0,8.7,6,6,97,05:17 PM,05:47 AM,06:57 AM,05:53 PM,6,24,24,23,13,3,33,0.0,1011,22,10,35,7
2018-01-02 00:00:00,27,17,0.0,8.7,6,1,100,06:21 PM,06:51 AM,06:57 AM,05:54 PM,5,20,20,20,14,4,39,0.0,1011,19,10,60,8
2018-01-02 06:00:00,27,17,0.0,8.7,6,5,100,06:21 PM,06:51 AM,06:57 AM,05:54 PM,6,21,21,21,8,4,39,0.0,1013,19,10,74,7
2018-01-02 12:00:00,27,17,0.0,8.7,6,7,100,06:21 PM,06:51 AM,06:57 AM,05:54 PM,6,28,28,30,4,3,23,0.0,1010,27,10,358,3
2018-01-02 18:00:00,27,17,0.0,8.7,6,6,100,06:21 PM,06:51 AM,06:57 AM,05:54 PM,4,22,23,22,22,2,32,0.0,1012,21,10,15,11
2018-01-03 00:00:00,27,16,0.0,8.7,6,1,89,07:26 PM,07:54 AM,06:57 AM,05:55 PM,5,18,18,18,20,3,42,0.0,1013,17,10,52,11
2018-01-03 06:00:00,27,16,0.0,8.7,6,5,89,07:26 PM,07:54 AM,06:57 AM,05:55 PM,5,19,19,19,18,2,39,0.0,1015,19,10,82,12
2018-01-03 12:00:00,27,16,0.0,8.7,6,7,89,07:26 PM,07:54 AM,06:57 AM,05:55 PM,6,27,27,29,3,3,24,0.0,1012,27,10,2,3
2018-01-03 18:00:00,27,16,0.0,8.7,6,6,89,07:26 PM,07:54 AM,06:57 AM,05:55 PM,5,22,24,22,14,2,31,0.0,1014,21,10,30,8
2018-01-04 00:00:00,27,16,0.0,8.7,6,1,81,08:31 PM,08:51 AM,06:58 AM,05:55 PM,6,21,21,21,12,0,39,0.0,1014,18,10,37,8
2018-01-04 06:00:00,27,16,0.0,8.7,6,5,81,08:31 PM,08:51 AM,06:58 AM,05:55 PM,4,19,19,19,15,3,36,0.0,1016,18,10,93,11
2018-01-04 12:00:00,27,16,0.0,8.7,6,7,81,08:31 PM,08:51 AM,06:58 AM,05:55 PM,6,27,27,29,3,3,23,0.0,1013,27,10,6,3
2018-01-04 18:00:00,27,16,0.0,8.7,6,6,81,08:31 PM,08:51 AM,06:58 AM,05:55 PM,5,23,24,23,14,3,32,0.0,1014,22,10,80,8
2018-01-05 00:00:00,28,17,0.0,8.7,6,1,74,09:33 PM,09:43 AM,06:58 AM,05:56 PM,5,21,21,21,12,4,37,0.0,1013,19,10,88,6
2018-01-05 06:00:00,28,17,0.0,8.7,6,5,74,09:33 PM,09:43 AM,06:58 AM,05:56 PM,6,21,21,21,5,3,38,0.0,1015,19,10,152,5
2018-01-05 12:00:00,28,17,0.0,8.7,6,7,74,09:33 PM,09:43 AM,06:58 AM,05:56 PM,7,28,28,30,5,3,23,0.0,1011,28,10,281,5
2018-01-05 18:00:00,28,17,0.0,8.7,6,6,74,09:33 PM,09:43 AM,06:58 AM,05:56 PM,5,23,24,23,16,3,32,0.0,1012,22,10,18,9
2018-01-06 00:00:00,27,17,0.0,8.7,6,1,67,10:31 PM,10:29 AM,06:58 AM,05:56 PM,6,21,21,21,6,4,39,0.0,1012,19,10,67,4
2018-01-06 06:00:00,27,17,0.0,8.7,6,5,67,10:31 PM,10:29 AM,06:58 AM,05:56 PM,7,21,24,21,6,4,40,0.0,1014,19,10,105,5
2018-01-06 12:00:00,27,17,0.0,8.7,6,7,67,10:31 PM,10:29 AM,06:58 AM,05:56 PM,6,27,27,29,7,4,24,0.0,1011,27,10,221,6
2018-01-06 18:00:00,27,17,0.0,8.7,6,6,67,10:31 PM,10:29 AM,06:58 AM,05:56 PM,6,23,24,23,7,4,33,0.0,1012,22,10,347,4
2018-01-07 00:00:00,27,17,0.0,8.7,6,1,59,11:28 PM,11:13 AM,06:58 AM,05:57 PM,7,21,21,21,10,3,41,0.0,1012,19,10,67,6
2018-01-07 06:00:00,27,17,0.0,8.7,6,5,59,11:28 PM,11:13 AM,06:58 AM,05:57 PM,7,21,21,21,9,5,43,0.0,1015,19,10,27,7
2018-01-07 12:00:00,27,17,0.0,8.7,6,7,59,11:28 PM,11:13 AM,06:58 AM,05:57 PM,7,27,27,29,3,4,24,0.0,1012,27,10,5,3
2018-01-07 18:00:00,27,17,0.0,8.7,6,6,59,11:28 PM,11:13 AM,06:58 AM,05:57 PM,6,23,24,23,16,4,33,0.0,1013,22,10,20,9
2018-01-08 00:00:00,27,17,0.0,8.7,6,1,52,No moonrise,11:53 AM,06:59 AM,05:58 PM,7,20,20,20,13,4,43,0.0,1013,19,10,55,8
2018-01-08 06:00:00,27,17,0.0,8.7,6,5,52,No moonrise,11:53 AM,06:59 AM,05:58 PM,8,20,20,20,15,5,48,0.0,1015,19,10,93,11
2018-01-08 12:00:00,27,17,0.0,8.7,6,7,52,No moonrise,11:53 AM,06:59 AM,05:58 PM,7,26,26,28,11,6,28,0.0,1013,27,10,125,10
2018-01-08 18:00:00,27,17,0.0,8.7,6,6,52,No moonrise,11:53 AM,06:59 AM,05:58 PM,7,22,24,22,19,5,37,0.0,1015,22,10,81,10
2018-01-09 00:00:00,27,16,0.0,8.7,6,1,45,12:21 AM,12:32 PM,06:59 AM,05:58 PM,6,18,18,18,21,5,45,0.0,1016,18,10,108,11
2018-01-09 06:00:00,27,16,0.0,8.7,6,5,45,12:21 AM,12:32 PM,06:59 AM,05:58 PM,7,19,19,19,16,0,46,0.0,1018,18,10,86,12
2018-01-09 12:00:00,27,16,0.0,8.7,6,7,45,12:21 AM,12:32 PM,06:59 AM,05:58 PM,6,26,26,28,11,4,25,0.0,1015,27,10,74,9
2018-01-09 18:00:00,27,16,0.0,8.7,6,6,45,12:21 AM,12:32 PM,06:59 AM,05:58 PM,6,22,24,22,17,4,34,0.0,1017,21,10,61,9
2018-01-10 00:00:00,27,17,0.0,8.7,6,1,38,01:13 AM,01:11 PM,06:59 AM,05:59 PM,7,21,24,21,10,0,40,0.0,1017,18,10,86,7
2018-01-10 06:00:00,27,17,0.0,8.7,6,5,38,01:13 AM,01:11 PM,06:59 AM,05:59 PM,7,21,24,21,9,0,40,0.0,1019,19,10,65,8
2018-01-10 12:00:00,27,17,0.0,8.7,6,7,38,01:13 AM,01:11 PM,06:59 AM,05:59 PM,7,27,27,28,9,2,25,0.0,1016,27,10,33,8
2018-01-10 18:00:00,27,17,0.0,8.7,6,6,38,01:13 AM,01:11 PM,06:59 AM,05:59 PM,7,24,24,23,16,4,37,0.0,1017,22,10,7,9
2018-01-11 00:00:00,29,17,0.0,11.4,6,1,30,02:03 AM,01:50 PM,06:59 AM,06:00 PM,7,20,20,20,16,3,41,0.0,1017,19,10,37,9
2018-01-11 06:00:00,29,17,0.0,11.4,6,5,30,02:03 AM,01:50 PM,06:59 AM,06:00 PM,6,22,24,22,7,2,36,0.0,1018,20,10,111,6
2018-01-11 12:00:00,29,17,0.0,11.4,6,7,30,02:03 AM,01:50 PM,06:59 AM,06:00 PM,8,28,28,30,7,3,25,0.0,1015,29,10,330,6
2018-01-11 18:00:00,29,17,0.0,11.4,6,6,30,02:03 AM,01:50 PM,06:59 AM,06:00 PM,5,24,24,24,25,4,29,0.0,1015,24,10,356,13
2018-01-12 00:00:00,30,20,0.0,11.4,6,1,23,02:54 AM,02:30 PM,06:59 AM,06:00 PM,2,22,23,22,15,5,27,0.0,1015,21,10,360,8
2018-01-12 06:00:00,30,20,0.0,11.4,6,6,23,02:54 AM,02:30 PM,06:59 AM,06:00 PM,4,23,24,23,7,6,28,0.0,1016,22,10,54,6
2018-01-12 12:00:00,30,20,0.0,11.4,6,7,23,02:54 AM,02:30 PM,06:59 AM,06:00 PM,8,29,29,30,12,8,24,0.0,1014,30,10,358,10
2018-01-12 18:00:00,30,20,0.0,11.4,6,6,23,02:54 AM,02:30 PM,06:59 AM,06:00 PM,7,25,25,25,23,9,32,0.0,1015,25,10,343,12
2018-01-13 00:00:00,30,20,0.0,11.4,6,1,16,03:44 AM,03:12 PM,06:59 AM,06:01 PM,1,22,23,22,17,8,26,0.0,1015,21,10,32,9
2018-01-13 06:00:00,30,20,0.0,11.4,6,6,16,03:44 AM,03:12 PM,06:59 AM,06:01 PM,-2,22,22,22,21,7,20,0.0,1017,22,10,65,13
2018-01-13 12:00:00,30,20,0.0,11.4,6,8,16,03:44 AM,03:12 PM,06:59 AM,06:01 PM,4,28,28,30,14,11,19,0.0,1014,30,10,76,12
2018-01-13 18:00:00,30,20,0.0,11.4,6,6,16,03:44 AM,03:12 PM,06:59 AM,06:01 PM,6,25,25,25,18,5,29,0.0,1015,25,10,90,9
2018-01-14 00:00:00,31,20,0.0,11.4,7,1,9,04:34 AM,03:57 PM,06:59 AM,06:02 PM,5,23,24,23,13,8,31,0.0,1014,22,10,101,6
2018-01-14 06:00:00,31,20,0.0,11.4,7,6,9,04:34 AM,03:57 PM,06:59 AM,06:02 PM,6,24,24,23,12,16,34,0.0,1016,22,10,103,8
2018-01-14 12:00:00,31,20,0.0,11.4,7,8,9,04:34 AM,03:57 PM,06:59 AM,06:02 PM,8,29,29,31,5,38,24,0.0,1014,31,10,89,5
2018-01-14 18:00:00,31,20,0.0,11.4,7,7,9,04:34 AM,03:57 PM,06:59 AM,06:02 PM,8,25,25,26,21,31,33,0.0,1015,25,10,15,11
2018-01-15 00:00:00,30,22,0.0,11.4,7,1,1,05:24 AM,04:43 PM,06:59 AM,06:02 PM,8,25,25,24,10,45,36,0.0,1015,24,10,39,6
2018-01-15 06:00:00,30,22,0.0,11.4,7,6,1,05:24 AM,04:43 PM,06:59 AM,06:02 PM,7,24,24,24,11,21,34,0.0,1017,23,10,115,7
2018-01-15 12:00:00,30,22,0.0,11.4,7,8,1,05:24 AM,04:43 PM,06:59 AM,06:02 PM,9,29,29,31,10,11,26,0.0,1013,30,10,358,9
2018-01-15 18:00:00,30,22,0.0,11.4,7,7,1,05:24 AM,04:43 PM,06:59 AM,06:02 PM,10,26,26,26,19,5,36,0.0,1014,25,10,2,10
2018-01-16 00:00:00,30,20,0.0,11.4,6,1,0,06:12 AM,05:32 PM,06:59 AM,06:03 PM,10,23,24,23,17,5,45,0.0,1014,22,10,74,9
2018-01-16 06:00:00,30,20,0.0,11.4,6,6,0,06:12 AM,05:32 PM,06:59 AM,06:03 PM,6,22,24,22,14,4,34,0.0,1016,22,10,84,10
2018-01-16 12:00:00,30,20,0.0,11.4,6,7,0,06:12 AM,05:32 PM,06:59 AM,06:03 PM,6,28,28,30,14,3,23,0.0,1012,30,10,348,12
2018-01-16 18:00:00,30,20,0.0,11.4,6,6,0,06:12 AM,05:32 PM,06:59 AM,06:03 PM,5,24,24,25,21,3,29,0.0,1013,24,10,9,11
2018-01-17 00:00:00,29,19,0.0,11.5,6,1,0,06:58 AM,06:21 PM,06:59 AM,06:04 PM,5,22,24,22,12,5,33,0.0,1013,21,10,69,6
2018-01-17 06:00:00,29,19,0.0,11.5,6,6,0,06:58 AM,06:21 PM,06:59 AM,06:04 PM,5,23,24,23,7,8,30,0.0,1015,22,10,103,5
2018-01-17 12:00:00,29,19,0.0,11.5,6,7,0,06:58 AM,06:21 PM,06:59 AM,06:04 PM,7,29,29,30,10,3,23,0.0,1012,29,10,360,9
2018-01-17 18:00:00,29,19,0.0,11.5,6,6,0,06:58 AM,06:21 PM,06:59 AM,06:04 PM,6,24,24,25,21,3,30,0.0,1013,24,10,358,11
2018-01-18 00:00:00,29,19,0.0,11.5,6,1,6,07:43 AM,07:12 PM,06:59 AM,06:04 PM,7,21,24,21,21,3,40,0.0,1014,21,10,48,11
2018-01-18 06:00:00,29,19,0.0,11.5,6,6,6,07:43 AM,07:12 PM,06:59 AM,06:04 PM,5,21,21,21,18,3,35,0.0,1016,21,10,91,13
2018-01-18 12:00:00,29,19,0.0,11.5,6,7,6,07:43 AM,07:12 PM,06:59 AM,06:04 PM,5,27,27,29,13,2,21,0.0,1013,29,10,20,12
2018-01-18 18:00:00,29,19,0.0,11.5,6,6,6,07:43 AM,07:12 PM,06:59 AM,06:04 PM,6,25,25,26,9,2,29,0.0,1014,23,10,348,6
2018-01-19 00:00:00,28,18,0.0,11.5,6,1,13,08:25 AM,08:03 PM,06:59 AM,06:05 PM,3,22,23,22,13,0,29,0.0,1015,19,10,66,8
2018-01-19 06:00:00,28,18,0.0,11.5,6,5,13,08:25 AM,08:03 PM,06:59 AM,06:05 PM,-3,21,22,21,14,2,19,0.0,1017,20,10,110,10
2018-01-19 12:00:00,28,18,0.0,11.5,6,7,13,08:25 AM,08:03 PM,06:59 AM,06:05 PM,3,27,27,29,13,0,18,0.0,1014,28,10,52,12
2018-01-19 18:00:00,28,18,0.0,11.5,6,6,13,08:25 AM,08:03 PM,06:59 AM,06:05 PM,3,24,24,24,14,0,25,0.0,1015,23,10,59,8
2018-01-20 00:00:00,28,17,0.0,11.5,6,1,20,09:06 AM,08:54 PM,06:59 AM,06:05 PM,2,23,23,23,8,0,25,0.0,1015,19,10,114,5
2018-01-20 06:00:00,28,17,0.0,11.5,6,5,20,09:06 AM,08:54 PM,06:59 AM,06:05 PM,3,23,23,23,7,0,27,0.0,1016,20,10,98,6
2018-01-20 12:00:00,28,17,0.0,11.5,6,7,20,09:06 AM,08:54 PM,06:59 AM,06:05 PM,4,28,28,31,7,0,19,0.0,1013,28,10,65,6
2018-01-20 18:00:00,28,17,0.0,11.5,6,6,20,09:06 AM,08:54 PM,06:59 AM,06:05 PM,5,24,24,25,9,0,27,0.0,1014,22,10,40,6
2018-01-21 00:00:00,29,18,0.0,11.5,6,1,28,09:46 AM,09:46 PM,06:59 AM,06:06 PM,6,24,24,24,2,2,33,0.0,1014,19,10,166,2
2018-01-21 06:00:00,29,18,0.0,11.5,6,6,28,09:46 AM,09:46 PM,06:59 AM,06:06 PM,7,25,25,25,5,0,32,0.0,1015,21,10,89,5
2018-01-21 12:00:00,29,18,0.0,11.5,6,7,28,09:46 AM,09:46 PM,06:59 AM,06:06 PM,5,29,29,31,9,0,19,0.0,1012,29,10,68,8
2018-01-21 18:00:00,29,18,0.0,11.5,6,6,28,09:46 AM,09:46 PM,06:59 AM,06:06 PM,5,25,25,25,13,0,28,0.0,1012,23,10,69,8
2018-01-22 00:00:00,29,17,0.0,11.5,6,1,35,10:24 AM,10:38 PM,06:59 AM,06:07 PM,5,21,21,21,17,0,37,0.0,1013,19,10,141,10
