date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,23,0.0,8.7,6,1,97,05:31 PM,05:55 AM,06:37 AM,05:41 PM,21,25,25,23,19,41,85,0.0,1016,23,10,61,12
2018-01-01 06:00:00,26,23,0.0,8.7,6,6,97,05:31 PM,05:55 AM,06:37 AM,05:41 PM,21,25,25,23,15,36,86,0.0,1017,23,10,72,9
2018-01-01 12:00:00,26,23,0.0,8.7,6,7,97,05:31 PM,05:55 AM,06:37 AM,05:41 PM,20,28,28,26,10,13,70,0.0,1016,26,10,55,9
2018-01-01 18:00:00,26,23,0.0,8.7,6,6,97,05:31 PM,05:55 AM,06:37 AM,05:41 PM,20,25,25,23,7,15,80,0.0,1016,23,10,26,4
2018-01-02 00:00:00,26,23,0.0,8.7,6,1,100,06:36 PM,06:59 AM,06:37 AM,05:42 PM,20,25,25,23,9,30,85,0.0,1015,23,10,6,5
2018-01-02 06:00:00,26,23,0.0,8.7,6,6,100,06:36 PM,06:59 AM,06:37 AM,05:42 PM,20,25,25,23,4,51,86,0.0,1015,23,10,55,3
2018-01-02 12:00:00,26,23,0.0,8.7,6,7,100,06:36 PM,06:59 AM,06:37 AM,05:42 PM,21,28,28,26,9,29,74,0.0,1015,26,10,64,7
2018-01-02 18:00:00,26,23,0.0,8.7,6,6,100,06:36 PM,06:59 AM,06:37 AM,05:42 PM,21,26,26,24,11,44,85,0.0,1014,24,10,47,7
2018-01-03 00:00:00,26,23,0.0,8.7,6,1,89,07:41 PM,07:59 AM,06:37 AM,05:43 PM,21,26,26,23,14,45,85,0.0,1013,23,10,79,9
2018-01-03 06:00:00,26,23,0.0,8.7,6,5,89,07:41 PM,07:59 AM,06:37 AM,05:43 PM,21,25,25,23,10,72,85,0.0,1013,23,10,99,6
2018-01-03 12:00:00,26,23,0.0,8.7,6,7,89,07:41 PM,07:59 AM,06:37 AM,05:43 PM,20,28,28,26,9,44,72,0.0,1013,26,10,124,8
2018-01-03 18:00:00,26,23,0.0,8.7,6,5,89,07:41 PM,07:59 AM,06:37 AM,05:43 PM,21,26,26,24,3,76,83,0.0,1013,23,10,82,2
2018-01-04 00:00:00,24,23,0.0,5.7,6,1,81,08:44 PM,08:55 AM,06:38 AM,05:43 PM,21,25,25,23,11,41,87,0.0,1014,23,10,321,7
2018-01-04 06:00:00,24,23,0.0,5.7,6,6,81,08:44 PM,08:55 AM,06:38 AM,05:43 PM,21,25,25,23,10,48,88,0.0,1014,23,10,339,6
2018-01-04 12:00:00,24,23,0.0,5.7,6,5,81,08:44 PM,08:55 AM,06:38 AM,05:43 PM,21,26,26,23,20,83,88,0.0,1015,23,10,17,15
2018-01-04 18:00:00,24,23,0.0,5.7,6,5,81,08:44 PM,08:55 AM,06:38 AM,05:43 PM,21,25,25,23,16,81,88,0.0,1015,23,10,24,11
2018-01-05 00:00:00,23,22,0.0,4.1,5,1,74,09:44 PM,09:45 AM,06:38 AM,05:44 PM,21,25,25,23,27,100,90,0.0,1016,23,10,44,19
2018-01-05 06:00:00,23,22,0.0,4.1,5,5,74,09:44 PM,09:45 AM,06:38 AM,05:44 PM,21,25,25,23,24,100,91,0.0,1017,23,10,43,17
2018-01-05 12:00:00,23,22,0.0,4.1,5,5,74,09:44 PM,09:45 AM,06:38 AM,05:44 PM,21,25,25,23,27,100,90,0.0,1017,23,10,50,19
2018-01-05 18:00:00,23,22,0.0,4.1,5,5,74,09:44 PM,09:45 AM,06:38 AM,05:44 PM,21,25,25,23,22,99,90,0.0,1017,23,10,58,15
2018-01-06 00:00:00,23,23,0.0,4.1,5,1,67,10:40 PM,10:31 AM,06:38 AM,05:44 PM,21,25,25,23,37,100,90,0.0,1017,23,10,55,27
2018-01-06 06:00:00,23,23,0.0,4.1,5,5,67,10:40 PM,10:31 AM,06:38 AM,05:44 PM,21,25,25,23,32,100,91,0.0,1017,23,10,72,23
2018-01-06 12:00:00,23,23,0.0,4.1,5,5,67,10:40 PM,10:31 AM,06:38 AM,05:44 PM,21,25,25,23,29,100,92,0.0,1016,23,10,70,21
