date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,12,0.0,8.7,5,1,97,05:01 PM,06:02 AM,07:14 AM,05:36 PM,4,20,20,20,5,0,34,0.0,1014,13,10,251,5
2018-01-01 06:00:00,21,12,0.0,8.7,5,4,97,05:01 PM,06:02 AM,07:14 AM,05:36 PM,4,20,20,20,2,0,37,0.0,1015,13,10,313,2
2018-01-01 12:00:00,21,12,0.0,8.7,5,6,97,05:01 PM,06:02 AM,07:14 AM,05:36 PM,4,27,25,27,3,0,23,0.0,1013,21,10,294,3
2018-01-01 18:00:00,21,12,0.0,8.7,5,5,97,05:01 PM,06:02 AM,07:14 AM,05:36 PM,2,21,21,21,5,0,29,0.0,1013,16,10,341,5
2018-01-02 00:00:00,20,11,0.0,8.7,4,1,100,06:05 PM,07:07 AM,07:14 AM,05:36 PM,5,20,20,20,4,0,38,0.0,1014,12,10,334,4
2018-01-02 06:00:00,20,11,0.0,8.7,4,4,100,06:05 PM,07:07 AM,07:14 AM,05:36 PM,6,18,18,18,6,0,47,0.0,1015,12,10,298,5
2018-01-02 12:00:00,20,11,0.0,8.7,4,5,100,06:05 PM,07:07 AM,07:14 AM,05:36 PM,4,25,24,25,7,0,25,0.0,1014,20,10,7,6
2018-01-02 18:00:00,20,11,0.0,8.7,4,5,100,06:05 PM,07:07 AM,07:14 AM,05:36 PM,5,20,20,20,3,0,38,0.0,1015,15,10,289,3
2018-01-03 00:00:00,21,11,0.0,8.7,4,1,89,07:12 PM,08:08 AM,07:15 AM,05:37 PM,8,19,19,19,6,0,47,0.0,1015,12,10,293,5
2018-01-03 06:00:00,21,11,0.0,8.7,4,4,89,07:12 PM,08:08 AM,07:15 AM,05:37 PM,8,18,18,18,7,0,53,0.0,1016,12,10,274,6
2018-01-03 12:00:00,21,11,0.0,8.7,4,6,89,07:12 PM,08:08 AM,07:15 AM,05:37 PM,5,26,25,26,10,0,26,0.0,1015,21,10,329,8
2018-01-03 18:00:00,21,11,0.0,8.7,4,4,89,07:12 PM,08:08 AM,07:15 AM,05:37 PM,6,19,19,19,7,0,41,0.0,1014,15,10,292,6
2018-01-04 00:00:00,22,11,0.0,8.7,5,1,81,08:18 PM,09:03 AM,07:15 AM,05:38 PM,6,18,18,18,7,0,45,0.0,1015,12,10,318,6
2018-01-04 06:00:00,22,11,0.0,8.7,5,4,81,08:18 PM,09:03 AM,07:15 AM,05:38 PM,7,18,18,18,5,0,48,0.0,1016,12,10,255,5
2018-01-04 12:00:00,22,11,0.0,8.7,5,6,81,08:18 PM,09:03 AM,07:15 AM,05:38 PM,2,27,25,27,5,0,20,0.0,1014,22,10,241,4
2018-01-04 18:00:00,22,11,0.0,8.7,5,5,81,08:18 PM,09:03 AM,07:15 AM,05:38 PM,3,20,20,20,5,0,32,0.0,1014,16,10,117,5
2018-01-05 00:00:00,21,11,0.0,8.7,4,1,74,09:24 PM,09:53 AM,07:15 AM,05:38 PM,6,20,20,20,5,0,39,0.0,1015,13,10,94,4
