date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,8.7,6,1,97,05:12 PM,05:43 AM,06:53 AM,05:49 PM,9,23,24,23,3,0,41,0.0,1013,18,10,47,2
2018-01-01 06:00:00,28,17,0.0,8.7,6,5,97,05:12 PM,05:43 AM,06:53 AM,05:49 PM,7,21,21,21,10,2,41,0.0,1014,19,10,101,9
2018-01-01 12:00:00,28,17,0.0,8.7,6,7,97,05:12 PM,05:43 AM,06:53 AM,05:49 PM,7,28,28,30,5,4,24,0.0,1010,28,10,3,4
2018-01-01 18:00:00,28,17,0.0,8.7,6,6,97,05:12 PM,05:43 AM,06:53 AM,05:49 PM,6,24,24,23,16,3,32,0.0,1011,22,10,46,8
2018-01-02 00:00:00,28,16,0.0,8.7,6,1,100,06:16 PM,06:48 AM,06:54 AM,05:49 PM,6,20,20,20,8,4,41,0.0,1011,18,10,55,5
2018-01-02 06:00:00,28,16,0.0,8.7,6,5,100,06:16 PM,06:48 AM,06:54 AM,05:49 PM,7,20,20,20,10,4,43,0.0,1014,18,10,69,8
2018-01-02 12:00:00,28,16,0.0,8.7,6,7,100,06:16 PM,06:48 AM,06:54 AM,05:49 PM,7,28,28,30,4,4,24,0.0,1010,28,10,342,4
2018-01-02 18:00:00,28,16,0.0,8.7,6,6,100,06:16 PM,06:48 AM,06:54 AM,05:49 PM,7,23,24,23,11,2,34,0.0,1012,22,10,24,6
2018-01-03 00:00:00,27,16,0.0,8.7,6,1,89,07:22 PM,07:50 AM,06:54 AM,05:50 PM,6,19,19,19,16,1,42,0.0,1013,17,10,45,10
2018-01-03 06:00:00,27,16,0.0,8.7,6,5,89,07:22 PM,07:50 AM,06:54 AM,05:50 PM,6,20,20,20,10,3,40,0.0,1015,19,10,56,8
2018-01-03 12:00:00,27,16,0.0,8.7,6,7,89,07:22 PM,07:50 AM,06:54 AM,05:50 PM,6,27,27,29,8,3,23,0.0,1012,27,10,332,7
2018-01-03 18:00:00,27,16,0.0,8.7,6,6,89,07:22 PM,07:50 AM,06:54 AM,05:50 PM,6,25,24,25,3,0,31,0.0,1014,21,10,332,2
