
Rank	State/Union territory	NSDP Per Capita(Nominal):2017-18	NSDP Per Capita(Nominal):2018-19	NSDP Per Capita(Nominal):2019-20	NSDP Per capita(PPP)(2018-19 INT$)
1	Goa	₹ 4,22,155	₹ 4,58,304	NA	US$ 25,044
2	Delhi	₹ 3,28,985	₹ 3,65,529	NA	US$ 19,974
3	Sikkim	₹ 3,17,134	₹ 3,57,643	NA	US$ 19,543
4	Chandigarh	₹ 2,96,434	₹ 3,29,209	NA	US$ 17,990
5	Haryana	₹ 2,11,526	₹ 2,36,147	₹ 2,64,207	US$ 12,904
6	Puducherry	₹ 2,03,583	₹ 2,20,461	₹ 2,37,279	US$ 12,047
7	Karnataka	₹ 1,87,649	₹ 2,10,887	NA	US$ 11,524
8	Telangana	₹ 1,80,494	₹ 2,04,488	₹ 2,28,216	US$ 11,174
9	Kerala	₹ 1,83,435	₹ 2,04,105	NA	US$ 11,153
10	Uttarakhand	₹ 1,82,320	₹ 1,98,738	NA	US$ 10,860
11	Gujarat	₹ 1,73,079	₹ 1,97,447	NA	US$ 10,789
12	Tamil Nadu	₹ 1,71,583	₹ 1,93,750	₹ 2,14,237	US$ 10,587
13	Maharastra	₹ 1,76,102	₹ 1,91,736[4]	₹ 2,07,727[4]	US$ 10,477
14	Himachal Pradesh	₹ 1,67,044	₹ 1,79,188	₹ 1,95,255[5]	US$ 9,792
15	Andaman and Nicobar Islands	₹ 1,59,664	NA	NA	NA
16	Mizoram	₹ 1,46,765	₹ 1,68,626	₹ 2,01,741	US$ 9,215
17	Punjab	₹ 1,42,477	₹ 1,54,996	NA	US$ 8,470
18	Andhra Pradesh	₹ 1,39,680	₹ 1,51,173	NA	US$ 8,261
19	Arunachal Pradesh	₹ 1,30,197	₹ 1,39,588	NA	US$ 7,628
20	Nagaland	₹ 1,04,681	₹ 1,16,882	NA	US$ 6,387
21	Tripura	₹ 1,00,477	₹ 1,13,102	NA	US$ 6,180
22	Rajasthan	₹ 99,366	₹ 1,10,606	₹ 1,18,159	US$ 6,044
23	West Bengal	₹ 93,711	₹ 1,09,491	NA	US$ 5,983
24	Chhattisgarh	₹ 89,813	₹ 96,887	NA	US$ 5,294
25	Odisha	₹ 84,496	₹ 95,164	₹ 1,01,587	US$ 5,200
26	Jammu and Kashmir	₹ 82,710	₹ 91,882	NA	US$ 5,021
27	Madhya Pradesh	₹ 82,941	₹ 90,998	NA	US$ 4,973
28	Meghalaya	₹ 81,098	₹ 89,024	₹ 98,151	US$ 4,865
29	Assam	₹ 74,184	₹ 82,078	NA	US$ 4,485
30	Jharkhand	₹ 69,265	₹ 76,019	NA	US$ 4,154
31	Manipur	₹ 65,008	₹ 69,978	NA	US$ 3,824
32	Uttar Pradesh	₹ 58,821	₹ 66,512	₹ 70,419	US$ 3,635
33	Bihar	₹ 38,631	₹ 43,822	NA	US$ 2,395
