date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,25,13,0.0,10.2,5,1,97,03:47 PM,04:45 AM,06:00 AM,04:24 PM,6,15,15,15,7,17,57,0.0,1016,14,10,356,4
2018-01-01 06:00:00,25,13,0.0,10.2,5,5,97,03:47 PM,04:45 AM,06:00 AM,04:24 PM,7,19,19,19,5,10,46,0.0,1017,18,10,6,4
2018-01-01 12:00:00,25,13,0.0,10.2,5,6,97,03:47 PM,04:45 AM,06:00 AM,04:24 PM,9,27,27,28,3,1,31,0.0,1013,25,10,99,3
2018-01-01 18:00:00,25,13,0.0,10.2,5,1,97,03:47 PM,04:45 AM,06:00 AM,04:24 PM,6,16,16,16,9,52,50,0.0,1016,16,10,5,4
2018-01-02 00:00:00,24,14,0.0,10.3,5,1,100,04:50 PM,05:50 AM,06:00 AM,04:25 PM,7,16,16,16,9,9,56,0.0,1014,15,10,15,5
2018-01-02 06:00:00,24,14,0.0,10.3,5,5,100,04:50 PM,05:50 AM,06:00 AM,04:25 PM,7,19,19,19,5,29,46,0.0,1015,18,10,357,4
2018-01-02 12:00:00,24,14,0.0,10.3,5,6,100,04:50 PM,05:50 AM,06:00 AM,04:25 PM,8,24,24,24,1,25,35,0.0,1011,23,10,357,1
2018-01-02 18:00:00,24,14,0.0,10.3,5,1,100,04:50 PM,05:50 AM,06:00 AM,04:25 PM,8,18,18,18,4,81,54,1.1,1015,17,10,9,2
2018-01-03 00:00:00,24,14,0.0,8.7,5,1,89,05:57 PM,06:52 AM,06:01 AM,04:25 PM,10,15,15,15,14,26,68,0.0,1014,15,10,24,8
2018-01-03 06:00:00,24,14,0.0,8.7,5,5,89,05:57 PM,06:52 AM,06:01 AM,04:25 PM,11,19,19,19,7,15,62,0.0,1014,18,10,27,6
2018-01-03 12:00:00,24,14,0.0,8.7,5,6,89,05:57 PM,06:52 AM,06:01 AM,04:25 PM,12,26,26,25,4,10,43,0.0,1010,24,10,159,3
2018-01-03 18:00:00,24,14,0.0,8.7,5,1,89,05:57 PM,06:52 AM,06:01 AM,04:25 PM,13,16,16,16,7,7,84,0.9,1016,15,9,31,4
2018-01-04 00:00:00,22,12,0.0,8.7,5,1,81,07:04 PM,07:48 AM,06:01 AM,04:26 PM,10,13,13,13,12,29,82,0.0,1018,13,10,2,6
2018-01-04 06:00:00,22,12,0.0,8.7,5,5,81,07:04 PM,07:48 AM,06:01 AM,04:26 PM,9,17,17,17,5,21,60,0.0,1018,16,10,19,4
2018-01-04 12:00:00,22,12,0.0,8.7,5,6,81,07:04 PM,07:48 AM,06:01 AM,04:26 PM,12,25,25,24,4,4,48,0.0,1013,22,10,78,3
2018-01-04 18:00:00,22,12,0.0,8.7,5,1,81,07:04 PM,07:48 AM,06:01 AM,04:26 PM,10,16,16,16,10,5,69,0.0,1017,15,10,6,5
2018-01-05 00:00:00,23,11,0.0,8.7,5,1,74,08:09 PM,08:37 AM,06:01 AM,04:27 PM,7,13,13,13,9,9,67,0.0,1017,12,10,3,5
2018-01-05 06:00:00,23,11,0.0,8.7,5,5,74,08:09 PM,08:37 AM,06:01 AM,04:27 PM,6,17,17,17,6,4,46,0.0,1016,16,10,8,5
2018-01-05 12:00:00,23,11,0.0,8.7,5,6,74,08:09 PM,08:37 AM,06:01 AM,04:27 PM,7,25,25,24,4,3,33,0.0,1011,23,10,84,4
2018-01-05 18:00:00,23,11,0.0,8.7,5,1,74,08:09 PM,08:37 AM,06:01 AM,04:27 PM,6,16,16,16,9,45,52,0.3,1014,16,9,338,4
2018-01-06 00:00:00,20,14,0.0,8.7,4,1,67,09:11 PM,09:21 AM,06:01 AM,04:27 PM,8,15,15,15,8,44,65,0.6,1014,14,9,328,5
2018-01-06 06:00:00,20,14,0.0,8.7,4,5,67,09:11 PM,09:21 AM,06:01 AM,04:27 PM,8,17,17,17,9,35,55,0.1,1015,17,10,346,8
2018-01-06 12:00:00,20,14,0.0,8.7,4,6,67,09:11 PM,09:21 AM,06:01 AM,04:27 PM,8,21,21,21,9,15,43,0.1,1011,20,10,328,8
2018-01-06 18:00:00,20,14,0.0,8.7,4,1,67,09:11 PM,09:21 AM,06:01 AM,04:27 PM,8,15,15,15,13,31,63,0.1,1015,14,10,336,6
2018-01-07 00:00:00,22,11,0.0,8.7,5,1,59,10:10 PM,10:01 AM,06:01 AM,04:28 PM,8,13,13,13,7,11,73,0.0,1015,12,10,337,4
2018-01-07 06:00:00,22,11,0.0,8.7,5,5,59,10:10 PM,10:01 AM,06:01 AM,04:28 PM,10,17,17,17,2,8,61,0.0,1016,16,10,353,1
2018-01-07 12:00:00,22,11,0.0,8.7,5,6,59,10:10 PM,10:01 AM,06:01 AM,04:28 PM,8,25,25,25,1,2,35,0.0,1013,22,10,168,1
2018-01-07 18:00:00,22,11,0.0,8.7,5,1,59,10:10 PM,10:01 AM,06:01 AM,04:28 PM,6,15,14,15,8,10,56,0.0,1018,13,10,338,4
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,11:07 PM,10:38 AM,06:01 AM,04:29 PM,4,12,12,12,7,4,60,0.0,1018,10,10,341,4
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,11:07 PM,10:38 AM,06:01 AM,04:29 PM,4,17,17,17,3,3,44,0.0,1018,15,10,328,3
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,11:07 PM,10:38 AM,06:01 AM,04:29 PM,7,24,24,24,5,0,33,0.0,1015,21,10,44,4
2018-01-08 18:00:00,21,9,0.0,8.7,4,1,52,11:07 PM,10:38 AM,06:01 AM,04:29 PM,6,14,14,14,6,4,57,0.0,1019,13,10,357,3
2018-01-09 00:00:00,22,10,0.0,8.7,5,1,45,No moonrise,11:15 AM,06:02 AM,04:30 PM,6,12,12,12,4,5,66,0.0,1019,11,10,331,2
2018-01-09 06:00:00,22,10,0.0,8.7,5,5,45,No moonrise,11:15 AM,06:02 AM,04:30 PM,7,17,17,17,3,5,52,0.0,1019,15,10,316,3
2018-01-09 12:00:00,22,10,0.0,8.7,5,6,45,No moonrise,11:15 AM,06:02 AM,04:30 PM,8,24,25,24,1,2,37,0.0,1015,22,10,250,1
2018-01-09 18:00:00,22,10,0.0,8.7,5,1,45,No moonrise,11:15 AM,06:02 AM,04:30 PM,7,15,15,15,7,7,60,0.0,1019,14,10,325,4
2018-01-10 00:00:00,23,11,0.0,8.7,5,1,38,12:02 AM,11:50 AM,06:02 AM,04:31 PM,8,13,13,13,3,7,70,0.0,1019,12,10,338,2
2018-01-10 06:00:00,23,11,0.0,8.7,5,5,38,12:02 AM,11:50 AM,06:02 AM,04:31 PM,9,18,18,18,2,6,57,0.0,1018,16,10,59,1
2018-01-10 12:00:00,23,11,0.0,8.7,5,6,38,12:02 AM,11:50 AM,06:02 AM,04:31 PM,10,25,25,24,1,4,42,0.0,1015,23,10,189,1
2018-01-10 18:00:00,23,11,0.0,8.7,5,1,38,12:02 AM,11:50 AM,06:02 AM,04:31 PM,10,16,16,16,6,5,67,0.0,1019,15,10,337,3
2018-01-11 00:00:00,23,11,0.0,8.7,5,1,30,12:56 AM,12:26 PM,06:02 AM,04:31 PM,10,14,14,14,3,5,76,0.0,1018,12,10,12,2
2018-01-11 06:00:00,23,11,0.0,8.7,5,5,30,12:56 AM,12:26 PM,06:02 AM,04:31 PM,10,18,18,18,2,5,60,0.0,1017,17,10,29,2
2018-01-11 12:00:00,23,11,0.0,8.7,5,6,30,12:56 AM,12:26 PM,06:02 AM,04:31 PM,11,25,25,24,2,4,44,0.0,1013,23,10,315,2
2018-01-11 18:00:00,23,11,0.0,8.7,5,1,30,12:56 AM,12:26 PM,06:02 AM,04:31 PM,10,17,17,17,6,6,65,0.0,1017,16,10,32,3
2018-01-12 00:00:00,24,12,0.0,8.7,5,1,23,01:49 AM,01:04 PM,06:02 AM,04:32 PM,10,14,14,14,4,5,73,0.0,1017,13,10,13,2
2018-01-12 06:00:00,24,12,0.0,8.7,5,5,23,01:49 AM,01:04 PM,06:02 AM,04:32 PM,9,19,19,19,4,5,53,0.0,1016,17,10,46,4
2018-01-12 12:00:00,24,12,0.0,8.7,5,6,23,01:49 AM,01:04 PM,06:02 AM,04:32 PM,10,25,25,25,2,7,38,0.0,1013,24,10,253,2
2018-01-12 18:00:00,24,12,0.0,8.7,5,1,23,01:49 AM,01:04 PM,06:02 AM,04:32 PM,9,17,17,17,7,16,58,0.0,1016,17,10,351,3
2018-01-13 00:00:00,24,15,0.0,8.7,5,1,16,02:41 AM,01:45 PM,06:02 AM,04:33 PM,9,16,16,16,7,30,66,0.0,1016,15,10,14,4
2018-01-13 06:00:00,24,15,0.0,8.7,5,5,16,02:41 AM,01:45 PM,06:02 AM,04:33 PM,11,18,18,18,6,46,62,0.0,1017,18,10,43,4
2018-01-13 12:00:00,24,15,0.0,8.7,5,6,16,02:41 AM,01:45 PM,06:02 AM,04:33 PM,11,25,25,24,5,25,44,0.0,1014,24,10,220,5
2018-01-13 18:00:00,24,15,0.0,8.7,5,1,16,02:41 AM,01:45 PM,06:02 AM,04:33 PM,11,19,19,19,7,47,63,0.0,1016,18,10,315,4
2018-01-14 00:00:00,25,16,0.0,8.7,5,1,9,03:33 AM,02:27 PM,06:02 AM,04:34 PM,12,17,17,17,2,44,72,0.0,1016,17,10,283,1
2018-01-14 06:00:00,25,16,0.0,8.7,5,5,9,03:33 AM,02:27 PM,06:02 AM,04:34 PM,14,20,20,20,5,41,66,0.1,1018,20,10,22,4
2018-01-14 12:00:00,25,16,0.0,8.7,5,6,9,03:33 AM,02:27 PM,06:02 AM,04:34 PM,14,26,26,26,2,9,48,0.1,1014,25,10,350,2
2018-01-14 18:00:00,25,16,0.0,8.7,5,1,9,03:33 AM,02:27 PM,06:02 AM,04:34 PM,13,18,18,18,9,21,71,0.0,1017,18,10,1,5
2018-01-15 00:00:00,25,15,0.0,8.7,5,1,1,04:23 AM,03:14 PM,06:01 AM,04:35 PM,12,16,16,16,3,31,77,0.0,1015,15,10,350,2
2018-01-15 06:00:00,25,15,0.0,8.7,5,5,1,04:23 AM,03:14 PM,06:01 AM,04:35 PM,13,20,20,20,1,32,62,0.0,1017,19,10,4,1
