date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,20,0.0,11.0,6,1,97,05:34 PM,06:04 AM,07:14 AM,06:09 PM,14,26,26,26,5,0,49,0.0,1011,21,10,47,5
2018-01-01 06:00:00,28,20,0.0,11.0,6,1,97,05:34 PM,06:04 AM,07:14 AM,06:09 PM,12,24,25,24,10,0,48,0.0,1012,21,10,31,8
2018-01-01 12:00:00,28,20,0.0,11.0,6,7,97,05:34 PM,06:04 AM,07:14 AM,06:09 PM,12,29,29,30,13,0,33,0.0,1010,28,10,319,11
2018-01-01 18:00:00,28,20,0.0,11.0,6,6,97,05:34 PM,06:04 AM,07:14 AM,06:09 PM,14,26,26,25,11,0,53,0.0,1011,22,10,342,8
2018-01-02 00:00:00,30,18,0.0,11.0,6,1,100,06:38 PM,07:09 AM,07:14 AM,06:10 PM,13,24,25,24,6,0,50,0.0,1010,20,10,64,5
2018-01-02 06:00:00,30,18,0.0,11.0,6,1,100,06:38 PM,07:09 AM,07:14 AM,06:10 PM,12,24,25,24,8,0,49,0.0,1012,20,10,75,7
2018-01-02 12:00:00,30,18,0.0,11.0,6,7,100,06:38 PM,07:09 AM,07:14 AM,06:10 PM,11,31,31,33,9,0,28,0.0,1010,30,10,300,8
2018-01-02 18:00:00,30,18,0.0,11.0,6,6,100,06:38 PM,07:09 AM,07:14 AM,06:10 PM,14,26,26,25,12,0,50,0.0,1011,23,10,344,8
2018-01-03 00:00:00,30,20,0.0,11.0,6,1,89,07:44 PM,08:11 AM,07:15 AM,06:11 PM,12,24,25,24,11,0,46,0.0,1011,21,10,77,9
2018-01-03 06:00:00,30,20,0.0,11.0,6,1,89,07:44 PM,08:11 AM,07:15 AM,06:11 PM,12,25,25,25,8,0,45,0.0,1013,21,10,92,7
2018-01-03 12:00:00,30,20,0.0,11.0,6,7,89,07:44 PM,08:11 AM,07:15 AM,06:11 PM,13,32,32,33,10,0,31,0.0,1011,30,10,291,9
2018-01-03 18:00:00,30,20,0.0,11.0,6,6,89,07:44 PM,08:11 AM,07:15 AM,06:11 PM,17,27,27,26,8,0,56,0.0,1012,23,10,310,6
2018-01-04 00:00:00,30,20,0.0,11.0,6,1,81,08:48 PM,09:08 AM,07:15 AM,06:11 PM,15,26,27,26,4,0,50,0.0,1013,21,10,109,3
2018-01-04 06:00:00,30,20,0.0,11.0,6,1,81,08:48 PM,09:08 AM,07:15 AM,06:11 PM,14,27,27,26,5,0,48,0.0,1014,22,10,111,5
2018-01-04 12:00:00,30,20,0.0,11.0,6,7,81,08:48 PM,09:08 AM,07:15 AM,06:11 PM,14,31,31,31,13,0,35,0.0,1012,29,10,286,11
2018-01-04 18:00:00,30,20,0.0,11.0,6,6,81,08:48 PM,09:08 AM,07:15 AM,06:11 PM,17,27,27,26,7,0,58,0.0,1013,23,10,327,5
2018-01-05 00:00:00,29,19,0.0,11.0,6,1,74,09:50 PM,10:00 AM,07:15 AM,06:12 PM,15,25,26,25,6,0,52,0.0,1013,21,10,42,5
2018-01-05 06:00:00,29,19,0.0,11.0,6,1,74,09:50 PM,10:00 AM,07:15 AM,06:12 PM,14,24,26,24,8,0,53,0.0,1014,21,10,45,7
2018-01-05 12:00:00,29,19,0.0,11.0,6,7,74,09:50 PM,10:00 AM,07:15 AM,06:12 PM,11,30,30,31,12,0,28,0.0,1011,29,10,325,10
2018-01-05 18:00:00,29,19,0.0,11.0,6,6,74,09:50 PM,10:00 AM,07:15 AM,06:12 PM,12,26,26,25,13,0,44,0.0,1012,23,10,340,9
2018-01-06 00:00:00,28,19,0.0,11.0,6,1,67,10:49 PM,10:47 AM,07:15 AM,06:12 PM,8,24,24,24,10,0,38,0.0,1012,20,10,53,8
2018-01-06 06:00:00,28,19,0.0,11.0,6,1,67,10:49 PM,10:47 AM,07:15 AM,06:12 PM,10,24,25,24,8,0,42,0.0,1013,21,10,29,7
2018-01-06 12:00:00,28,19,0.0,11.0,6,7,67,10:49 PM,10:47 AM,07:15 AM,06:12 PM,9,28,28,30,12,0,27,0.0,1011,28,10,323,10
2018-01-06 18:00:00,28,19,0.0,11.0,6,6,67,10:49 PM,10:47 AM,07:15 AM,06:12 PM,12,25,25,25,10,0,45,0.0,1013,22,10,349,8
2018-01-07 00:00:00,27,18,0.0,11.0,6,1,59,11:45 PM,11:30 AM,07:16 AM,06:13 PM,10,23,24,23,9,0,44,0.0,1013,19,10,56,8
2018-01-07 06:00:00,27,18,0.0,11.0,6,1,59,11:45 PM,11:30 AM,07:16 AM,06:13 PM,9,22,24,22,10,0,42,0.0,1014,19,10,44,8
2018-01-07 12:00:00,27,18,0.0,11.0,6,7,59,11:45 PM,11:30 AM,07:16 AM,06:13 PM,6,27,27,28,14,0,25,0.0,1012,27,10,330,12
2018-01-07 18:00:00,27,18,0.0,11.0,6,6,59,11:45 PM,11:30 AM,07:16 AM,06:13 PM,10,23,25,23,14,0,45,0.0,1013,21,10,336,9
2018-01-08 00:00:00,29,18,0.0,11.0,6,1,52,No moonrise,12:10 PM,07:16 AM,06:14 PM,8,21,24,21,9,2,41,0.0,1013,19,10,51,6
2018-01-08 06:00:00,29,18,0.0,11.0,6,1,52,No moonrise,12:10 PM,07:16 AM,06:14 PM,8,22,24,22,10,2,39,0.0,1014,19,10,40,9
2018-01-08 12:00:00,29,18,0.0,11.0,6,7,52,No moonrise,12:10 PM,07:16 AM,06:14 PM,12,30,30,31,11,2,30,0.0,1013,29,10,306,10
2018-01-08 18:00:00,29,18,0.0,11.0,6,6,52,No moonrise,12:10 PM,07:16 AM,06:14 PM,13,25,25,24,15,3,49,0.0,1013,23,10,348,9
2018-01-09 00:00:00,31,19,0.0,11.0,6,1,45,12:38 AM,12:49 PM,07:16 AM,06:14 PM,11,22,24,22,12,5,49,0.0,1014,21,10,66,8
