date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,19,0.0,10.9,6,1,97,05:42 PM,06:13 AM,07:23 AM,06:16 PM,7,21,21,21,36,0,41,0.0,1011,21,10,21,19
2018-01-01 06:00:00,27,19,0.0,10.9,6,1,97,05:42 PM,06:13 AM,07:23 AM,06:16 PM,5,20,20,20,33,0,37,0.0,1013,20,10,21,19
2018-01-01 12:00:00,27,19,0.0,10.9,6,7,97,05:42 PM,06:13 AM,07:23 AM,06:16 PM,9,28,28,29,5,0,28,0.0,1011,27,10,344,5
2018-01-01 18:00:00,27,19,0.0,10.9,6,6,97,05:42 PM,06:13 AM,07:23 AM,06:16 PM,9,25,25,24,10,0,38,0.0,1011,22,10,315,6
2018-01-02 00:00:00,27,19,0.0,10.9,6,1,100,06:45 PM,07:18 AM,07:23 AM,06:17 PM,6,20,20,20,28,0,39,0.0,1011,20,10,21,14
2018-01-02 06:00:00,27,19,0.0,10.9,6,1,100,06:45 PM,07:18 AM,07:23 AM,06:17 PM,4,19,19,19,31,0,35,0.0,1012,19,10,31,17
2018-01-02 12:00:00,27,19,0.0,10.9,6,7,100,06:45 PM,07:18 AM,07:23 AM,06:17 PM,8,26,26,27,13,0,31,0.0,1011,27,10,93,11
2018-01-02 18:00:00,27,19,0.0,10.9,6,6,100,06:45 PM,07:18 AM,07:23 AM,06:17 PM,12,23,25,23,11,0,48,0.0,1012,22,10,299,7
2018-01-03 00:00:00,27,19,0.0,11.0,6,1,89,07:51 PM,08:20 AM,07:23 AM,06:18 PM,7,20,20,20,27,0,42,0.0,1011,20,10,15,13
2018-01-03 06:00:00,27,19,0.0,11.0,6,1,89,07:51 PM,08:20 AM,07:23 AM,06:18 PM,7,19,19,19,31,0,44,0.0,1013,19,10,32,17
2018-01-03 12:00:00,27,19,0.0,11.0,6,7,89,07:51 PM,08:20 AM,07:23 AM,06:18 PM,10,27,27,28,10,0,33,0.0,1012,27,10,128,8
2018-01-03 18:00:00,27,19,0.0,11.0,6,6,89,07:51 PM,08:20 AM,07:23 AM,06:18 PM,14,22,25,22,14,0,63,0.0,1012,21,10,262,8
2018-01-04 00:00:00,27,20,0.0,10.9,6,1,81,08:56 PM,09:17 AM,07:24 AM,06:18 PM,11,21,21,21,16,0,53,0.0,1013,20,10,324,9
2018-01-04 06:00:00,27,20,0.0,10.9,6,1,81,08:56 PM,09:17 AM,07:24 AM,06:18 PM,9,20,20,20,20,0,49,0.0,1014,20,10,23,11
2018-01-04 12:00:00,27,20,0.0,10.9,6,7,81,08:56 PM,09:17 AM,07:24 AM,06:18 PM,9,27,27,28,10,0,31,0.0,1013,27,10,189,8
2018-01-04 18:00:00,27,20,0.0,10.9,6,6,81,08:56 PM,09:17 AM,07:24 AM,06:18 PM,12,25,25,22,17,0,53,0.0,1013,22,10,265,9
2018-01-05 00:00:00,27,19,0.0,11.0,6,1,74,09:58 PM,10:09 AM,07:24 AM,06:19 PM,3,21,21,21,31,0,30,0.0,1013,21,10,360,16
2018-01-05 06:00:00,27,19,0.0,11.0,6,1,74,09:58 PM,10:09 AM,07:24 AM,06:19 PM,3,20,20,20,32,0,34,0.0,1014,20,10,19,17
2018-01-05 12:00:00,27,19,0.0,11.0,6,7,74,09:58 PM,10:09 AM,07:24 AM,06:19 PM,8,26,26,27,10,0,30,0.0,1012,27,10,95,8
2018-01-05 18:00:00,27,19,0.0,11.0,6,6,74,09:58 PM,10:09 AM,07:24 AM,06:19 PM,13,23,25,23,11,0,54,0.0,1012,22,10,259,7
2018-01-06 00:00:00,26,19,0.0,11.0,6,1,67,10:57 PM,10:55 AM,07:24 AM,06:20 PM,10,20,20,20,25,0,54,0.0,1012,20,10,339,13
2018-01-06 06:00:00,26,19,0.0,11.0,6,1,67,10:57 PM,10:55 AM,07:24 AM,06:20 PM,8,20,20,20,29,0,48,0.0,1013,19,10,17,17
2018-01-06 12:00:00,26,19,0.0,11.0,6,7,67,10:57 PM,10:55 AM,07:24 AM,06:20 PM,10,28,28,29,5,0,32,0.0,1012,26,10,106,4
2018-01-06 18:00:00,26,19,0.0,11.0,6,6,67,10:57 PM,10:55 AM,07:24 AM,06:20 PM,14,22,25,22,12,2,61,0.0,1013,21,10,247,8
2018-01-07 00:00:00,26,19,0.0,11.0,6,1,59,11:53 PM,11:39 AM,07:24 AM,06:20 PM,12,20,20,20,19,0,60,0.0,1013,20,10,3,10
2018-01-07 06:00:00,26,19,0.0,11.0,6,1,59,11:53 PM,11:39 AM,07:24 AM,06:20 PM,5,19,19,19,31,0,40,0.0,1015,19,10,26,18
2018-01-07 12:00:00,26,19,0.0,11.0,6,7,59,11:53 PM,11:39 AM,07:24 AM,06:20 PM,4,25,25,26,13,0,24,0.0,1014,26,10,46,11
2018-01-07 18:00:00,26,19,0.0,11.0,6,6,59,11:53 PM,11:39 AM,07:24 AM,06:20 PM,7,23,24,23,1,0,36,0.0,1014,21,10,49,1
2018-01-08 00:00:00,26,18,0.0,11.0,6,1,52,No moonrise,12:18 PM,07:25 AM,06:21 PM,3,19,19,19,29,0,36,0.0,1013,19,10,13,15
2018-01-08 06:00:00,26,18,0.0,11.0,6,1,52,No moonrise,12:18 PM,07:25 AM,06:21 PM,4,18,18,18,33,0,40,0.0,1015,18,10,10,18
2018-01-08 12:00:00,26,18,0.0,11.0,6,7,52,No moonrise,12:18 PM,07:25 AM,06:21 PM,5,25,25,27,8,0,24,0.0,1014,26,10,80,7
2018-01-08 18:00:00,26,18,0.0,11.0,6,6,52,No moonrise,12:18 PM,07:25 AM,06:21 PM,10,22,24,22,13,0,46,0.0,1014,21,10,273,8
2018-01-09 00:00:00,28,20,0.0,11.0,6,1,45,12:46 AM,12:57 PM,07:25 AM,06:22 PM,7,21,21,21,20,2,42,0.0,1014,21,10,9,10
2018-01-09 06:00:00,28,20,0.0,11.0,6,1,45,12:46 AM,12:57 PM,07:25 AM,06:22 PM,8,21,21,21,17,5,42,0.0,1016,21,10,31,9
2018-01-09 12:00:00,28,20,0.0,11.0,6,7,45,12:46 AM,12:57 PM,07:25 AM,06:22 PM,12,27,27,28,19,5,39,0.0,1014,28,10,101,16
2018-01-09 18:00:00,28,20,0.0,11.0,6,6,45,12:46 AM,12:57 PM,07:25 AM,06:22 PM,13,25,25,23,13,3,54,0.0,1015,23,10,110,7
2018-01-10 00:00:00,28,21,0.0,11.0,6,1,38,01:39 AM,01:36 PM,07:25 AM,06:22 PM,10,22,24,22,22,5,46,0.0,1015,22,10,32,11
2018-01-10 06:00:00,28,21,0.0,11.0,6,1,38,01:39 AM,01:36 PM,07:25 AM,06:22 PM,10,21,24,21,27,4,48,0.0,1016,21,10,42,15
2018-01-10 12:00:00,28,21,0.0,11.0,6,7,38,01:39 AM,01:36 PM,07:25 AM,06:22 PM,15,28,28,28,21,8,45,0.0,1015,28,10,103,18
2018-01-10 18:00:00,28,21,0.0,11.0,6,6,38,01:39 AM,01:36 PM,07:25 AM,06:22 PM,13,25,25,24,16,7,50,0.0,1016,24,10,85,8
2018-01-11 00:00:00,29,21,0.0,11.0,6,1,30,02:29 AM,02:14 PM,07:25 AM,06:23 PM,12,25,25,23,18,9,51,0.0,1015,23,10,9,9
2018-01-11 06:00:00,29,21,0.0,11.0,6,1,30,02:29 AM,02:14 PM,07:25 AM,06:23 PM,12,22,24,22,31,10,54,0.0,1016,22,10,39,17
2018-01-11 12:00:00,29,21,0.0,11.0,6,7,30,02:29 AM,02:14 PM,07:25 AM,06:23 PM,15,29,29,29,19,18,42,0.0,1014,29,10,90,15
2018-01-11 18:00:00,29,21,0.0,11.0,6,6,30,02:29 AM,02:14 PM,07:25 AM,06:23 PM,14,26,26,25,9,17,51,0.0,1014,25,10,34,5
2018-01-12 00:00:00,30,23,0.0,11.0,7,1,23,03:20 AM,02:55 PM,07:25 AM,06:24 PM,10,25,25,23,24,21,44,0.0,1014,23,10,5,12
2018-01-12 06:00:00,30,23,0.0,11.0,7,1,23,03:20 AM,02:55 PM,07:25 AM,06:24 PM,10,25,25,23,28,21,43,0.0,1014,23,10,41,14
2018-01-12 12:00:00,30,23,0.0,11.0,7,7,23,03:20 AM,02:55 PM,07:25 AM,06:24 PM,15,30,30,30,18,23,41,0.0,1013,30,10,129,15
2018-01-12 18:00:00,30,23,0.0,11.0,7,7,23,03:20 AM,02:55 PM,07:25 AM,06:24 PM,15,26,26,25,17,34,52,0.0,1013,25,10,282,10
2018-01-13 00:00:00,30,24,0.0,11.0,7,1,16,04:10 AM,03:37 PM,07:25 AM,06:24 PM,14,26,26,25,12,31,50,0.0,1013,25,10,14,7
2018-01-13 06:00:00,30,24,0.0,11.0,7,1,16,04:10 AM,03:37 PM,07:25 AM,06:24 PM,11,25,25,25,16,20,43,0.0,1014,25,10,37,9
2018-01-13 12:00:00,30,24,0.0,11.0,7,8,16,04:10 AM,03:37 PM,07:25 AM,06:24 PM,17,31,31,30,12,21,44,0.0,1012,30,10,177,10
