date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,9,5,0.0,5.8,2,1,97,05:37 PM,07:56 AM,09:01 AM,05:56 PM,8,7,9,7,21,100,97,0.0,1016,9,10,196,13
2018-01-01 06:00:00,9,5,0.0,5.8,2,1,97,05:37 PM,07:56 AM,09:01 AM,05:56 PM,5,4,6,4,9,100,96,0.0,1011,5,2,318,6
2018-01-01 12:00:00,9,5,0.0,5.8,2,3,97,05:37 PM,07:56 AM,09:01 AM,05:56 PM,3,4,7,4,20,0,77,0.0,1012,7,10,336,15
2018-01-01 18:00:00,9,5,0.0,5.8,2,2,97,05:37 PM,07:56 AM,09:01 AM,05:56 PM,3,5,7,5,18,100,76,0.0,1010,7,10,135,10
2018-01-02 00:00:00,10,4,0.0,5.8,2,1,100,06:42 PM,09:02 AM,09:01 AM,05:57 PM,3,1,5,1,24,71,86,0.0,1008,5,10,360,15
2018-01-02 06:00:00,10,4,0.0,5.8,2,1,100,06:42 PM,09:02 AM,09:01 AM,05:57 PM,-2,1,5,1,45,0,59,0.0,1013,5,10,328,23
2018-01-02 12:00:00,10,4,0.0,5.8,2,3,100,06:42 PM,09:02 AM,09:01 AM,05:57 PM,-1,7,10,7,28,5,46,0.0,1016,10,10,325,20
2018-01-02 18:00:00,10,4,0.0,5.8,2,3,100,06:42 PM,09:02 AM,09:01 AM,05:57 PM,-2,6,7,6,9,17,54,0.0,1017,6,10,356,4
2018-01-03 00:00:00,9,5,0.0,5.8,3,1,89,07:54 PM,09:59 AM,09:01 AM,05:58 PM,-4,6,6,6,10,23,48,0.0,1017,6,10,87,5
2018-01-03 06:00:00,9,5,0.0,5.8,3,1,89,07:54 PM,09:59 AM,09:01 AM,05:58 PM,4,5,7,5,16,3,84,0.0,1015,6,10,109,8
2018-01-03 12:00:00,9,5,0.0,5.8,3,3,89,07:54 PM,09:59 AM,09:01 AM,05:58 PM,6,7,9,7,19,21,82,0.0,1006,9,10,150,16
2018-01-03 18:00:00,9,5,0.0,5.8,3,3,89,07:54 PM,09:59 AM,09:01 AM,05:58 PM,5,2,6,2,33,17,96,0.0,1008,5,10,41,17
2018-01-04 00:00:00,11,6,0.0,5.8,3,1,81,09:07 PM,10:47 AM,09:01 AM,05:59 PM,3,7,7,7,6,12,76,0.0,1010,6,10,340,3
2018-01-04 06:00:00,11,6,0.0,5.8,3,1,81,09:07 PM,10:47 AM,09:01 AM,05:59 PM,0,5,6,5,16,8,66,0.0,1009,6,10,30,8
2018-01-04 12:00:00,11,6,0.0,5.8,3,4,81,09:07 PM,10:47 AM,09:01 AM,05:59 PM,3,12,12,12,3,15,56,0.0,1008,11,10,130,3
2018-01-04 18:00:00,11,6,0.0,5.8,3,3,81,09:07 PM,10:47 AM,09:01 AM,05:59 PM,6,8,8,8,6,15,89,0.0,1006,7,10,132,3
2018-01-05 00:00:00,10,7,0.0,3.4,3,1,74,10:19 PM,11:28 AM,09:01 AM,06:00 PM,6,6,7,6,10,31,93,0.0,1007,7,10,6,5
2018-01-05 06:00:00,10,7,0.0,3.4,3,1,74,10:19 PM,11:28 AM,09:01 AM,06:00 PM,8,8,8,8,9,100,99,0.0,1008,8,0,103,5
2018-01-05 12:00:00,10,7,0.0,3.4,3,2,74,10:19 PM,11:28 AM,09:01 AM,06:00 PM,9,10,10,10,6,100,96,0.0,1010,9,2,241,4
2018-01-05 18:00:00,10,7,0.0,3.4,3,2,74,10:19 PM,11:28 AM,09:01 AM,06:00 PM,9,8,9,8,10,100,98,0.0,1010,9,0,167,7
