date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,19,9,0.0,8.7,4,1,97,05:02 PM,06:20 AM,07:33 AM,05:36 PM,-6,12,12,12,12,3,27,0.0,1017,10,10,28,6
2018-01-01 06:00:00,19,9,0.0,8.7,4,3,97,05:02 PM,06:20 AM,07:33 AM,05:36 PM,-3,14,14,14,7,0,32,0.0,1017,10,10,59,5
2018-01-01 12:00:00,19,9,0.0,8.7,4,5,97,05:02 PM,06:20 AM,07:33 AM,05:36 PM,-2,21,22,21,10,0,22,0.0,1014,19,10,220,9
2018-01-01 18:00:00,19,9,0.0,8.7,4,4,97,05:02 PM,06:20 AM,07:33 AM,05:36 PM,-1,15,15,15,11,0,35,0.0,1016,12,10,55,6
2018-01-02 00:00:00,19,9,0.0,8.7,4,1,100,06:06 PM,07:26 AM,07:33 AM,05:36 PM,-4,13,13,13,10,0,31,0.0,1017,9,10,50,6
2018-01-02 06:00:00,19,9,0.0,8.7,4,3,100,06:06 PM,07:26 AM,07:33 AM,05:36 PM,-5,13,13,13,8,0,29,0.0,1018,9,10,60,6
2018-01-02 12:00:00,19,9,0.0,8.7,4,5,100,06:06 PM,07:26 AM,07:33 AM,05:36 PM,-5,20,20,20,8,10,19,0.0,1015,19,10,242,7
2018-01-02 18:00:00,19,9,0.0,8.7,4,4,100,06:06 PM,07:26 AM,07:33 AM,05:36 PM,-5,12,12,12,14,21,29,0.0,1017,11,10,37,6
2018-01-03 00:00:00,18,9,0.0,8.7,4,1,89,07:14 PM,08:26 AM,07:34 AM,05:37 PM,-5,13,13,13,9,1,27,0.0,1017,9,10,49,6
2018-01-03 06:00:00,18,9,0.0,8.7,4,3,89,07:14 PM,08:26 AM,07:34 AM,05:37 PM,-6,12,12,12,5,3,29,0.0,1017,9,10,43,3
2018-01-03 12:00:00,18,9,0.0,8.7,4,5,89,07:14 PM,08:26 AM,07:34 AM,05:37 PM,-2,20,20,20,10,4,23,0.0,1015,18,10,244,8
2018-01-03 18:00:00,18,9,0.0,8.7,4,4,89,07:14 PM,08:26 AM,07:34 AM,05:37 PM,-1,13,13,13,10,4,37,0.0,1016,11,10,23,5
2018-01-04 00:00:00,18,8,0.0,7.1,4,1,81,08:22 PM,09:20 AM,07:34 AM,05:38 PM,-3,14,14,14,7,0,32,0.0,1017,9,10,28,5
2018-01-04 06:00:00,18,8,0.0,7.1,4,3,81,08:22 PM,09:20 AM,07:34 AM,05:38 PM,-5,12,12,12,6,2,31,0.0,1016,9,10,55,4
2018-01-04 12:00:00,18,8,0.0,7.1,4,5,81,08:22 PM,09:20 AM,07:34 AM,05:38 PM,-5,18,18,18,7,45,20,0.0,1014,18,10,227,6
2018-01-04 18:00:00,18,8,0.0,7.1,4,4,81,08:22 PM,09:20 AM,07:34 AM,05:38 PM,-7,13,13,13,16,52,24,0.0,1017,13,10,353,9
2018-01-05 00:00:00,18,9,0.0,8.7,4,1,74,09:29 PM,10:07 AM,07:34 AM,05:39 PM,-3,9,10,9,22,12,39,0.0,1018,10,10,40,10
2018-01-05 06:00:00,18,9,0.0,8.7,4,3,74,09:29 PM,10:07 AM,07:34 AM,05:39 PM,-1,10,11,10,13,8,44,0.0,1019,9,10,16,7
2018-01-05 12:00:00,18,9,0.0,8.7,4,5,74,09:29 PM,10:07 AM,07:34 AM,05:39 PM,-3,19,19,19,8,5,22,0.0,1016,18,10,281,7
2018-01-05 18:00:00,18,9,0.0,8.7,4,4,74,09:29 PM,10:07 AM,07:34 AM,05:39 PM,-3,12,13,12,13,2,33,0.0,1018,11,10,22,6
2018-01-06 00:00:00,18,7,0.0,8.7,4,1,67,10:33 PM,10:49 AM,07:34 AM,05:39 PM,-3,12,12,12,10,0,33,0.0,1018,9,10,25,6
2018-01-06 06:00:00,18,7,0.0,8.7,4,3,67,10:33 PM,10:49 AM,07:34 AM,05:39 PM,-5,12,12,12,6,0,31,0.0,1017,8,10,38,5
2018-01-06 12:00:00,18,7,0.0,8.7,4,5,67,10:33 PM,10:49 AM,07:34 AM,05:39 PM,-5,20,20,20,13,0,19,0.0,1014,18,10,258,11
2018-01-06 18:00:00,18,7,0.0,8.7,4,4,67,10:33 PM,10:49 AM,07:34 AM,05:39 PM,-2,14,13,14,8,0,33,0.0,1018,10,10,22,5
2018-01-07 00:00:00,19,7,0.0,8.7,4,1,59,11:35 PM,11:28 AM,07:34 AM,05:40 PM,-5,12,12,12,7,0,30,0.0,1018,8,10,22,5
2018-01-07 06:00:00,19,7,0.0,8.7,4,3,59,11:35 PM,11:28 AM,07:34 AM,05:40 PM,-6,12,12,12,6,0,28,0.0,1018,8,10,28,5
2018-01-07 12:00:00,19,7,0.0,8.7,4,5,59,11:35 PM,11:28 AM,07:34 AM,05:40 PM,-5,20,20,20,15,0,19,0.0,1015,19,10,258,13
2018-01-07 18:00:00,19,7,0.0,8.7,4,4,59,11:35 PM,11:28 AM,07:34 AM,05:40 PM,-3,14,14,14,9,0,30,0.0,1018,11,10,39,5
2018-01-08 00:00:00,20,8,0.0,8.7,4,1,52,No moonrise,12:02 PM,07:34 AM,05:41 PM,-6,13,13,13,8,0,26,0.0,1018,9,10,15,5
2018-01-08 06:00:00,20,8,0.0,8.7,4,3,52,No moonrise,12:02 PM,07:34 AM,05:41 PM,-6,13,13,13,6,0,25,0.0,1019,9,10,25,5
2018-01-08 12:00:00,20,8,0.0,8.7,4,5,52,No moonrise,12:02 PM,07:34 AM,05:41 PM,-5,21,22,21,13,0,16,0.0,1017,20,10,262,12
2018-01-08 18:00:00,20,8,0.0,8.7,4,4,52,No moonrise,12:02 PM,07:34 AM,05:41 PM,-5,15,15,15,8,0,25,0.0,1020,11,10,5,4
2018-01-09 00:00:00,22,9,0.0,8.7,4,1,45,12:33 AM,12:36 PM,07:34 AM,05:42 PM,-9,14,14,14,9,0,21,0.0,1021,9,10,19,5
2018-01-09 06:00:00,22,9,0.0,8.7,4,3,45,12:33 AM,12:36 PM,07:34 AM,05:42 PM,-8,14,14,14,8,0,21,0.0,1022,10,10,24,5
2018-01-09 12:00:00,22,9,0.0,8.7,4,6,45,12:33 AM,12:36 PM,07:34 AM,05:42 PM,-6,23,23,23,12,0,14,0.0,1019,22,10,257,11
