date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,04:37 PM,05:18 AM,06:30 AM,05:14 PM,8,19,19,19,4,1,50,0.0,1014,14,10,309,4
2018-01-01 06:00:00,23,11,0.0,8.7,5,5,97,04:37 PM,05:18 AM,06:30 AM,05:14 PM,8,20,20,20,7,0,46,0.0,1015,16,10,348,6
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,04:37 PM,05:18 AM,06:30 AM,05:14 PM,5,24,24,24,9,3,28,0.0,1012,23,10,7,8
2018-01-01 18:00:00,23,11,0.0,8.7,5,4,97,04:37 PM,05:18 AM,06:30 AM,05:14 PM,7,16,16,16,15,3,54,0.0,1014,15,10,346,8
2018-01-02 00:00:00,22,11,0.0,8.7,5,1,100,05:41 PM,06:23 AM,06:30 AM,05:15 PM,7,14,14,14,12,3,59,0.0,1013,12,10,321,7
2018-01-02 06:00:00,22,11,0.0,8.7,5,5,100,05:41 PM,06:23 AM,06:30 AM,05:15 PM,6,16,16,16,12,4,51,0.0,1015,15,10,341,10
2018-01-02 12:00:00,22,11,0.0,8.7,5,6,100,05:41 PM,06:23 AM,06:30 AM,05:15 PM,4,24,24,23,12,4,29,0.0,1011,22,10,353,10
2018-01-02 18:00:00,22,11,0.0,8.7,5,4,100,05:41 PM,06:23 AM,06:30 AM,05:15 PM,4,15,15,15,19,7,49,0.0,1014,14,10,348,10
2018-01-03 00:00:00,22,11,0.0,8.7,5,1,89,06:47 PM,07:25 AM,06:31 AM,05:16 PM,3,12,13,12,15,8,53,0.0,1015,12,10,327,8
2018-01-03 06:00:00,22,11,0.0,8.7,5,4,89,06:47 PM,07:25 AM,06:31 AM,05:16 PM,4,16,16,16,10,7,45,0.0,1016,15,10,323,8
2018-01-03 12:00:00,22,11,0.0,8.7,5,6,89,06:47 PM,07:25 AM,06:31 AM,05:16 PM,3,22,23,22,18,2,28,0.0,1012,22,10,312,16
2018-01-03 18:00:00,22,11,0.0,8.7,5,4,89,06:47 PM,07:25 AM,06:31 AM,05:16 PM,4,15,15,15,14,0,46,0.0,1014,13,10,331,8
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,07:52 PM,08:21 AM,06:31 AM,05:16 PM,4,14,14,14,9,0,50,0.0,1015,10,10,316,6
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,07:52 PM,08:21 AM,06:31 AM,05:16 PM,5,17,17,17,8,0,45,0.0,1017,14,10,322,7
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,07:52 PM,08:21 AM,06:31 AM,05:16 PM,2,25,24,25,5,0,21,0.0,1014,22,10,23,4
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,07:52 PM,08:21 AM,06:31 AM,05:16 PM,1,17,17,17,2,0,35,0.0,1015,14,10,34,1
2018-01-05 00:00:00,22,9,0.0,8.7,4,1,74,08:55 PM,09:13 AM,06:31 AM,05:17 PM,3,16,16,16,1,0,42,0.0,1015,11,10,67,1
2018-01-05 06:00:00,22,9,0.0,8.7,4,4,74,08:55 PM,09:13 AM,06:31 AM,05:17 PM,4,18,18,18,5,0,39,0.0,1016,14,10,325,5
2018-01-05 12:00:00,22,9,0.0,8.7,4,6,74,08:55 PM,09:13 AM,06:31 AM,05:17 PM,1,24,23,24,11,0,22,0.0,1012,22,10,314,10
2018-01-05 18:00:00,22,9,0.0,8.7,4,4,74,08:55 PM,09:13 AM,06:31 AM,05:17 PM,2,15,15,15,14,0,40,0.0,1014,13,10,329,8
2018-01-06 00:00:00,22,9,0.0,8.7,4,1,67,09:56 PM,09:58 AM,06:31 AM,05:18 PM,2,14,14,14,8,0,44,0.0,1014,10,10,315,6
2018-01-06 06:00:00,22,9,0.0,8.7,4,4,67,09:56 PM,09:58 AM,06:31 AM,05:18 PM,1,17,17,17,9,0,36,0.0,1015,14,10,286,8
2018-01-06 12:00:00,22,9,0.0,8.7,4,6,67,09:56 PM,09:58 AM,06:31 AM,05:18 PM,-3,24,24,25,11,0,16,0.0,1011,22,10,297,9
2018-01-06 18:00:00,22,9,0.0,8.7,4,4,67,09:56 PM,09:58 AM,06:31 AM,05:18 PM,-1,14,14,14,19,0,36,0.0,1014,13,10,325,10
2018-01-07 00:00:00,21,8,0.0,8.7,4,1,59,10:53 PM,10:40 AM,06:32 AM,05:18 PM,2,13,13,13,10,0,46,0.0,1014,10,10,308,7
2018-01-07 06:00:00,21,8,0.0,8.7,4,4,59,10:53 PM,10:40 AM,06:32 AM,05:18 PM,2,16,16,16,9,0,39,0.0,1016,13,10,313,8
2018-01-07 12:00:00,21,8,0.0,8.7,4,6,59,10:53 PM,10:40 AM,06:32 AM,05:18 PM,-2,23,22,23,12,0,19,0.0,1013,21,10,332,10
2018-01-07 18:00:00,21,8,0.0,8.7,4,4,59,10:53 PM,10:40 AM,06:32 AM,05:18 PM,1,15,15,15,10,0,37,0.0,1015,13,10,337,6
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,11:48 PM,11:20 AM,06:32 AM,05:19 PM,1,15,15,15,8,0,40,0.0,1015,11,10,304,5
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,11:48 PM,11:20 AM,06:32 AM,05:19 PM,4,18,18,18,5,0,40,0.0,1018,13,10,335,4
