date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,16,0.0,11.6,6,1,97,05:32 PM,05:36 AM,06:44 AM,06:09 PM,13,19,19,19,5,9,66,0.0,1012,18,10,274,3
2018-01-01 06:00:00,28,16,0.0,11.6,6,1,97,05:32 PM,05:36 AM,06:44 AM,06:09 PM,14,21,24,21,1,6,62,0.0,1013,20,10,316,1
2018-01-01 12:00:00,28,16,0.0,11.6,6,7,97,05:32 PM,05:36 AM,06:44 AM,06:09 PM,12,29,29,30,3,6,33,0.0,1008,28,10,301,3
2018-01-01 18:00:00,28,16,0.0,11.6,6,6,97,05:32 PM,05:36 AM,06:44 AM,06:09 PM,11,25,25,24,7,4,46,0.0,1010,22,10,110,4
2018-01-02 00:00:00,29,17,0.0,11.6,6,1,100,06:36 PM,06:40 AM,06:45 AM,06:10 PM,16,20,20,20,10,6,81,0.0,1011,18,10,260,6
2018-01-02 06:00:00,29,17,0.0,11.6,6,1,100,06:36 PM,06:40 AM,06:45 AM,06:10 PM,17,22,24,22,4,19,73,0.0,1012,21,10,318,3
2018-01-02 12:00:00,29,17,0.0,11.6,6,7,100,06:36 PM,06:40 AM,06:45 AM,06:10 PM,13,30,30,30,5,7,34,0.0,1009,29,10,266,4
2018-01-02 18:00:00,29,17,0.0,11.6,6,6,100,06:36 PM,06:40 AM,06:45 AM,06:10 PM,13,25,25,24,4,5,49,0.0,1011,23,10,66,2
2018-01-03 00:00:00,29,18,0.0,11.6,6,1,89,07:40 PM,07:43 AM,06:45 AM,06:10 PM,15,21,21,21,2,7,68,0.0,1011,19,10,308,1
2018-01-03 06:00:00,29,18,0.0,11.6,6,1,89,07:40 PM,07:43 AM,06:45 AM,06:10 PM,16,22,25,22,7,13,72,0.0,1014,21,10,121,6
2018-01-03 12:00:00,29,18,0.0,11.6,6,7,89,07:40 PM,07:43 AM,06:45 AM,06:10 PM,14,30,30,31,3,8,35,0.0,1010,29,10,107,3
2018-01-03 18:00:00,29,18,0.0,11.6,6,6,89,07:40 PM,07:43 AM,06:45 AM,06:10 PM,14,25,25,24,5,8,51,0.0,1012,23,10,120,3
2018-01-04 00:00:00,28,18,0.0,11.6,6,1,81,08:42 PM,08:42 AM,06:45 AM,06:11 PM,16,21,21,21,2,18,75,0.0,1013,19,10,257,1
2018-01-04 06:00:00,28,18,0.0,11.6,6,1,81,08:42 PM,08:42 AM,06:45 AM,06:11 PM,16,21,24,21,10,13,73,0.0,1015,21,10,102,9
2018-01-04 12:00:00,28,18,0.0,11.6,6,7,81,08:42 PM,08:42 AM,06:45 AM,06:11 PM,12,28,28,29,11,9,37,0.0,1011,28,10,59,10
2018-01-04 18:00:00,28,18,0.0,11.6,6,6,81,08:42 PM,08:42 AM,06:45 AM,06:11 PM,12,25,25,23,11,6,50,0.0,1012,22,10,107,6
2018-01-05 00:00:00,27,17,0.0,11.6,6,1,74,09:42 PM,09:37 AM,06:46 AM,06:12 PM,14,19,19,19,13,18,74,0.0,1012,18,10,73,8
