date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,23,0.0,11.6,7,1,97,05:38 PM,05:35 AM,06:42 AM,06:15 PM,21,27,27,25,8,3,80,0.0,1010,23,10,79,6
2018-01-01 06:00:00,30,23,0.0,11.6,7,1,97,05:38 PM,05:35 AM,06:42 AM,06:15 PM,22,29,29,26,9,6,76,0.0,1011,25,10,66,8
2018-01-01 12:00:00,30,23,0.0,11.6,7,7,97,05:38 PM,05:35 AM,06:42 AM,06:15 PM,21,34,34,31,13,0,56,0.0,1008,30,10,280,11
2018-01-01 18:00:00,30,23,0.0,11.6,7,7,97,05:38 PM,05:35 AM,06:42 AM,06:15 PM,23,30,30,27,10,0,80,0.0,1009,25,10,303,8
2018-01-02 00:00:00,31,23,0.0,11.6,7,1,100,06:41 PM,06:38 AM,06:42 AM,06:16 PM,22,26,26,24,9,15,85,0.0,1009,23,10,47,6
2018-01-02 06:00:00,31,23,0.0,11.6,7,1,100,06:41 PM,06:38 AM,06:42 AM,06:16 PM,21,28,28,26,9,18,74,0.0,1010,25,10,45,8
2018-01-02 12:00:00,31,23,0.0,11.6,7,7,100,06:41 PM,06:38 AM,06:42 AM,06:16 PM,21,33,33,30,15,13,59,0.0,1008,30,10,290,13
2018-01-02 18:00:00,31,23,0.0,11.6,7,7,100,06:41 PM,06:38 AM,06:42 AM,06:16 PM,23,29,29,26,10,4,81,0.0,1009,25,10,298,7
2018-01-03 00:00:00,31,23,0.0,11.6,7,1,89,07:45 PM,07:42 AM,06:43 AM,06:16 PM,23,28,28,26,5,4,84,0.0,1009,24,10,76,4
2018-01-03 06:00:00,31,23,0.0,11.6,7,1,89,07:45 PM,07:42 AM,06:43 AM,06:16 PM,22,29,29,27,7,8,74,0.0,1012,26,10,42,6
2018-01-03 12:00:00,31,23,0.0,11.6,7,7,89,07:45 PM,07:42 AM,06:43 AM,06:16 PM,21,33,33,30,17,0,58,0.0,1009,30,10,273,14
2018-01-03 18:00:00,31,23,0.0,11.6,7,7,89,07:45 PM,07:42 AM,06:43 AM,06:16 PM,22,28,28,26,16,7,82,0.0,1011,25,10,314,10
2018-01-04 00:00:00,31,23,0.0,11.6,7,1,81,08:47 PM,08:41 AM,06:43 AM,06:17 PM,22,27,27,25,11,4,84,0.0,1011,24,10,36,8
2018-01-04 06:00:00,31,23,0.0,11.6,7,1,81,08:47 PM,08:41 AM,06:43 AM,06:17 PM,21,29,29,27,10,6,70,0.0,1013,26,10,21,8
2018-01-04 12:00:00,31,23,0.0,11.6,7,8,81,08:47 PM,08:41 AM,06:43 AM,06:17 PM,19,33,33,31,17,3,51,0.0,1010,31,10,260,15
2018-01-04 18:00:00,31,23,0.0,11.6,7,7,81,08:47 PM,08:41 AM,06:43 AM,06:17 PM,22,28,28,26,16,6,78,0.0,1011,25,10,307,10
2018-01-05 00:00:00,30,24,0.0,11.6,7,1,74,09:46 PM,09:36 AM,06:43 AM,06:17 PM,21,26,26,24,11,25,80,0.0,1011,24,10,37,7
2018-01-05 06:00:00,30,24,0.0,11.6,7,1,74,09:46 PM,09:36 AM,06:43 AM,06:17 PM,22,29,29,27,9,15,74,0.3,1012,26,9,64,7
