date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,27,0.0,11.6,7,1,97,05:52 PM,05:51 AM,06:57 AM,06:28 PM,18,28,28,27,10,3,56,0.0,1010,27,10,344,7
2018-01-01 06:00:00,28,27,0.0,11.6,7,1,97,05:52 PM,05:51 AM,06:57 AM,06:28 PM,18,28,28,27,15,0,56,0.0,1011,27,10,356,11
2018-01-01 12:00:00,28,27,0.0,11.6,7,7,97,05:52 PM,05:51 AM,06:57 AM,06:28 PM,18,29,29,28,15,0,54,0.0,1009,28,10,358,11
2018-01-01 18:00:00,28,27,0.0,11.6,7,7,97,05:52 PM,05:51 AM,06:57 AM,06:28 PM,18,29,29,28,11,0,55,0.0,1009,28,10,357,8
2018-01-02 00:00:00,28,27,0.0,11.6,7,1,100,06:55 PM,06:55 AM,06:58 AM,06:29 PM,17,28,28,27,8,2,55,0.0,1009,27,10,21,6
2018-01-02 06:00:00,28,27,0.0,11.6,7,1,100,06:55 PM,06:55 AM,06:58 AM,06:29 PM,18,28,28,27,13,28,56,0.0,1010,27,10,14,10
2018-01-02 12:00:00,28,27,0.0,11.6,7,7,100,06:55 PM,06:55 AM,06:58 AM,06:29 PM,18,29,29,28,22,0,57,0.0,1009,27,10,25,16
2018-01-02 18:00:00,28,27,0.0,11.6,7,7,100,06:55 PM,06:55 AM,06:58 AM,06:29 PM,19,29,29,28,20,0,59,0.0,1009,27,10,35,15
2018-01-03 00:00:00,28,27,0.0,11.6,7,1,89,07:59 PM,07:57 AM,06:58 AM,06:30 PM,17,28,28,27,12,0,54,0.0,1009,27,10,37,9
2018-01-03 06:00:00,28,27,0.0,11.6,7,1,89,07:59 PM,07:57 AM,06:58 AM,06:30 PM,17,28,28,27,13,0,55,0.0,1012,27,10,52,10
2018-01-03 12:00:00,28,27,0.0,11.6,7,7,89,07:59 PM,07:57 AM,06:58 AM,06:30 PM,18,29,29,28,16,0,57,0.0,1010,27,10,58,12
2018-01-03 18:00:00,28,27,0.0,11.6,7,7,89,07:59 PM,07:57 AM,06:58 AM,06:30 PM,19,29,29,28,17,0,59,0.0,1011,28,10,50,12
2018-01-04 00:00:00,28,27,0.0,11.6,7,1,81,09:01 PM,08:57 AM,06:59 AM,06:30 PM,19,29,29,27,23,3,62,0.0,1011,27,10,15,17
2018-01-04 06:00:00,28,27,0.0,11.6,7,1,81,09:01 PM,08:57 AM,06:59 AM,06:30 PM,19,29,29,27,21,3,60,0.0,1013,27,10,32,15
2018-01-04 12:00:00,28,27,0.0,11.6,7,7,81,09:01 PM,08:57 AM,06:59 AM,06:30 PM,19,29,29,28,19,0,58,0.0,1011,28,10,43,14
