date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,15,0.0,8.7,5,1,97,05:18 PM,05:57 AM,07:07 AM,05:53 PM,6,17,17,17,15,5,47,0.0,1012,16,10,48,8
2018-01-01 06:00:00,26,15,0.0,8.7,5,1,97,05:18 PM,05:57 AM,07:07 AM,05:53 PM,8,18,18,18,13,5,51,0.0,1013,17,10,84,8
2018-01-01 12:00:00,26,15,0.0,8.7,5,7,97,05:18 PM,05:57 AM,07:07 AM,05:53 PM,7,26,26,27,5,5,29,0.0,1010,26,10,209,4
2018-01-01 18:00:00,26,15,0.0,8.7,5,5,97,05:18 PM,05:57 AM,07:07 AM,05:53 PM,6,20,20,20,13,4,39,0.0,1012,19,10,16,6
2018-01-02 00:00:00,24,14,0.0,8.7,5,1,100,06:22 PM,07:02 AM,07:07 AM,05:54 PM,4,15,15,15,26,5,47,0.0,1012,15,10,34,12
2018-01-02 06:00:00,24,14,0.0,8.7,5,1,100,06:22 PM,07:02 AM,07:07 AM,05:54 PM,5,16,16,16,21,2,49,0.0,1015,15,10,51,13
2018-01-02 12:00:00,24,14,0.0,8.7,5,6,100,06:22 PM,07:02 AM,07:07 AM,05:54 PM,5,25,25,26,7,4,26,0.0,1012,24,10,28,6
2018-01-02 18:00:00,24,14,0.0,8.7,5,5,100,06:22 PM,07:02 AM,07:07 AM,05:54 PM,0,18,18,18,24,2,30,0.0,1014,17,10,25,12
2018-01-03 00:00:00,25,12,0.0,8.7,5,1,89,07:28 PM,08:03 AM,07:08 AM,05:55 PM,-3,14,14,14,26,0,31,0.0,1014,13,10,41,12
2018-01-03 06:00:00,25,12,0.0,8.7,5,1,89,07:28 PM,08:03 AM,07:08 AM,05:55 PM,-0,14,15,14,19,0,35,0.0,1016,14,10,62,12
2018-01-03 12:00:00,25,12,0.0,8.7,5,6,89,07:28 PM,08:03 AM,07:08 AM,05:55 PM,6,27,27,28,2,0,24,0.0,1013,25,10,199,2
2018-01-03 18:00:00,25,12,0.0,8.7,5,5,89,07:28 PM,08:03 AM,07:08 AM,05:55 PM,4,20,20,20,5,0,34,0.0,1014,17,10,86,3
2018-01-04 00:00:00,25,13,0.0,8.7,5,1,81,08:33 PM,09:00 AM,07:08 AM,05:55 PM,-0,17,17,17,11,0,30,0.0,1015,14,10,65,7
2018-01-04 06:00:00,25,13,0.0,8.7,5,1,81,08:33 PM,09:00 AM,07:08 AM,05:55 PM,2,19,19,19,7,0,32,0.0,1016,16,10,106,6
2018-01-04 12:00:00,25,13,0.0,8.7,5,7,81,08:33 PM,09:00 AM,07:08 AM,05:55 PM,5,25,25,26,11,3,25,0.0,1013,25,10,234,9
2018-01-04 18:00:00,25,13,0.0,8.7,5,5,81,08:33 PM,09:00 AM,07:08 AM,05:55 PM,6,20,20,20,8,3,39,0.0,1014,18,10,272,4
