date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,19,0.0,8.7,6,1,97,04:45 PM,05:26 AM,06:39 AM,05:24 PM,13,22,25,22,5,10,55,0.0,1012,21,10,346,3
2018-01-01 06:00:00,27,19,0.0,8.7,6,5,97,04:45 PM,05:26 AM,06:39 AM,05:24 PM,13,21,24,21,7,4,61,0.0,1012,19,10,5,5
2018-01-01 12:00:00,27,19,0.0,8.7,6,7,97,04:45 PM,05:26 AM,06:39 AM,05:24 PM,14,28,28,28,5,7,42,0.0,1013,26,10,336,4
2018-01-01 18:00:00,27,19,0.0,8.7,6,6,97,04:45 PM,05:26 AM,06:39 AM,05:24 PM,13,25,25,24,3,28,51,0.0,1010,24,10,274,2
2018-01-02 00:00:00,25,20,0.0,8.7,6,1,100,05:49 PM,06:30 AM,06:39 AM,05:24 PM,13,23,25,23,2,7,53,0.0,1011,22,10,262,1
2018-01-02 06:00:00,25,20,0.0,8.7,6,5,100,05:49 PM,06:30 AM,06:39 AM,05:24 PM,13,20,20,20,12,25,63,0.0,1010,20,10,334,8
2018-01-02 12:00:00,25,20,0.0,8.7,6,6,100,05:49 PM,06:30 AM,06:39 AM,05:24 PM,14,26,26,24,8,46,53,0.0,1011,24,10,303,6
2018-01-02 18:00:00,25,20,0.0,8.7,6,6,100,05:49 PM,06:30 AM,06:39 AM,05:24 PM,15,25,25,23,3,47,58,0.0,1010,23,10,257,2
2018-01-03 00:00:00,25,17,0.0,8.7,6,1,89,06:55 PM,07:33 AM,06:39 AM,05:25 PM,14,22,25,22,9,2,59,0.0,1012,20,10,294,6
2018-01-03 06:00:00,25,17,0.0,8.7,6,5,89,06:55 PM,07:33 AM,06:39 AM,05:25 PM,12,20,20,20,13,2,63,0.0,1012,17,10,318,12
