date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,04:06 PM,04:54 AM,06:09 AM,04:43 PM,9,13,13,13,4,2,76,0.0,1013,9,10,251,2
2018-01-01 06:00:00,20,9,0.0,8.7,4,5,97,04:06 PM,04:54 AM,06:09 AM,04:43 PM,10,19,19,19,4,0,56,0.0,1015,16,10,141,3
2018-01-01 12:00:00,20,9,0.0,8.7,4,5,97,04:06 PM,04:54 AM,06:09 AM,04:43 PM,8,20,20,20,3,4,45,0.0,1011,19,10,166,3
2018-01-01 18:00:00,20,9,0.0,8.7,4,1,97,04:06 PM,04:54 AM,06:09 AM,04:43 PM,8,12,12,12,1,6,79,0.0,1014,10,10,146,0
2018-01-02 00:00:00,18,9,0.0,8.7,4,1,100,05:10 PM,06:00 AM,06:09 AM,04:44 PM,6,11,11,11,2,16,71,0.0,1012,11,10,164,1
2018-01-02 06:00:00,18,9,0.0,8.7,4,5,100,05:10 PM,06:00 AM,06:09 AM,04:44 PM,9,16,16,16,2,10,61,0.0,1013,15,10,111,2
2018-01-02 12:00:00,18,9,0.0,8.7,4,4,100,05:10 PM,06:00 AM,06:09 AM,04:44 PM,9,18,18,18,9,19,56,1.2,1009,18,9,203,7
2018-01-02 18:00:00,18,9,0.0,8.7,4,1,100,05:10 PM,06:00 AM,06:09 AM,04:44 PM,8,10,10,10,10,17,88,0.3,1012,10,9,228,5
2018-01-03 00:00:00,16,8,0.0,8.7,4,1,89,06:15 PM,07:02 AM,06:09 AM,04:45 PM,8,9,10,9,9,18,87,0.0,1012,9,10,239,4
2018-01-03 06:00:00,16,8,0.0,8.7,4,3,89,06:15 PM,07:02 AM,06:09 AM,04:45 PM,9,14,14,14,3,24,73,0.5,1013,14,10,185,2
2018-01-03 12:00:00,16,8,0.0,8.7,4,3,89,06:15 PM,07:02 AM,06:09 AM,04:45 PM,9,14,15,14,14,23,70,1.2,1010,15,9,248,10
2018-01-03 18:00:00,16,8,0.0,8.7,4,1,89,06:15 PM,07:02 AM,06:09 AM,04:45 PM,8,10,10,10,5,19,93,0.0,1014,9,10,301,3
2018-01-04 00:00:00,15,7,0.0,8.7,4,1,81,07:22 PM,07:58 AM,06:09 AM,04:45 PM,7,8,8,8,5,33,91,0.0,1016,8,10,44,2
2018-01-04 06:00:00,15,7,0.0,8.7,4,4,81,07:22 PM,07:58 AM,06:09 AM,04:45 PM,9,13,13,13,7,18,77,0.0,1018,13,10,94,6
2018-01-04 12:00:00,15,7,0.0,8.7,4,4,81,07:22 PM,07:58 AM,06:09 AM,04:45 PM,9,15,15,15,2,26,69,0.0,1013,14,10,70,1
2018-01-04 18:00:00,15,7,0.0,8.7,4,1,81,07:22 PM,07:58 AM,06:09 AM,04:45 PM,9,10,10,10,6,100,97,0.0,1015,9,0,46,3
2018-01-05 00:00:00,17,7,0.0,8.7,3,1,74,08:26 PM,08:48 AM,06:10 AM,04:46 PM,8,8,8,8,2,100,99,0.0,1015,8,0,59,1
2018-01-05 06:00:00,17,7,0.0,8.7,3,4,74,08:26 PM,08:48 AM,06:10 AM,04:46 PM,9,15,15,15,5,4,70,0.0,1015,13,10,107,4
2018-01-05 12:00:00,17,7,0.0,8.7,3,5,74,08:26 PM,08:48 AM,06:10 AM,04:46 PM,7,17,17,17,7,7,52,0.0,1011,16,10,221,6
2018-01-05 18:00:00,17,7,0.0,8.7,3,1,74,08:26 PM,08:48 AM,06:10 AM,04:46 PM,7,9,9,9,7,12,88,0.0,1013,8,10,259,3
2018-01-06 00:00:00,16,6,0.0,8.7,3,1,67,09:27 PM,09:34 AM,06:10 AM,04:47 PM,7,8,8,8,4,18,91,0.0,1013,7,10,235,2
2018-01-06 06:00:00,16,6,0.0,8.7,3,4,67,09:27 PM,09:34 AM,06:10 AM,04:47 PM,9,13,13,13,2,17,74,0.0,1014,13,10,12,2
2018-01-06 12:00:00,16,6,0.0,8.7,3,4,67,09:27 PM,09:34 AM,06:10 AM,04:47 PM,6,16,16,16,8,10,54,0.0,1011,15,10,258,7
2018-01-06 18:00:00,16,6,0.0,8.7,3,1,67,09:27 PM,09:34 AM,06:10 AM,04:47 PM,7,8,8,8,3,36,95,0.0,1014,8,2,342,1
2018-01-07 00:00:00,15,4,0.0,8.7,3,1,59,10:25 PM,10:14 AM,06:10 AM,04:47 PM,7,9,9,9,1,0,88,0.0,1014,5,10,236,1
2018-01-07 06:00:00,15,4,0.0,8.7,3,4,59,10:25 PM,10:14 AM,06:10 AM,04:47 PM,5,14,14,14,5,0,54,0.0,1016,11,10,186,4
2018-01-07 12:00:00,15,4,0.0,8.7,3,4,59,10:25 PM,10:14 AM,06:10 AM,04:47 PM,3,15,15,15,6,3,43,0.0,1013,14,10,240,5
2018-01-07 18:00:00,15,4,0.0,8.7,3,1,59,10:25 PM,10:14 AM,06:10 AM,04:47 PM,4,7,7,7,3,4,84,0.0,1016,5,10,106,1
2018-01-08 00:00:00,15,4,0.0,8.7,3,1,52,11:21 PM,10:53 AM,06:10 AM,04:48 PM,3,6,6,6,3,4,78,0.0,1017,4,10,6,2
2018-01-08 06:00:00,15,4,0.0,8.7,3,4,52,11:21 PM,10:53 AM,06:10 AM,04:48 PM,5,12,12,12,5,4,61,0.0,1018,10,10,111,4
2018-01-08 12:00:00,15,4,0.0,8.7,3,4,52,11:21 PM,10:53 AM,06:10 AM,04:48 PM,3,15,15,15,6,4,43,0.0,1015,14,10,218,5
2018-01-08 18:00:00,15,4,0.0,8.7,3,1,52,11:21 PM,10:53 AM,06:10 AM,04:48 PM,4,8,8,8,3,1,75,0.0,1018,6,10,207,2
2018-01-09 00:00:00,16,5,0.0,8.7,3,1,45,No moonrise,11:30 AM,06:10 AM,04:49 PM,4,9,9,9,4,0,70,0.0,1018,5,10,278,2
2018-01-09 06:00:00,16,5,0.0,8.7,3,4,45,No moonrise,11:30 AM,06:10 AM,04:49 PM,5,15,15,15,3,2,52,0.0,1018,12,10,101,3
2018-01-09 12:00:00,16,5,0.0,8.7,3,5,45,No moonrise,11:30 AM,06:10 AM,04:49 PM,6,16,16,16,7,7,50,0.0,1016,15,10,267,6
2018-01-09 18:00:00,16,5,0.0,8.7,3,1,45,No moonrise,11:30 AM,06:10 AM,04:49 PM,6,8,8,8,1,6,87,0.0,1017,7,10,269,0
2018-01-10 00:00:00,18,6,0.0,8.7,4,1,38,12:15 AM,12:06 PM,06:10 AM,04:50 PM,5,8,8,8,6,5,82,0.0,1018,6,10,275,3
2018-01-10 06:00:00,18,6,0.0,8.7,4,4,38,12:15 AM,12:06 PM,06:10 AM,04:50 PM,7,14,14,14,1,8,63,0.0,1018,12,10,248,1
2018-01-10 12:00:00,18,6,0.0,8.7,4,5,38,12:15 AM,12:06 PM,06:10 AM,04:50 PM,8,16,16,16,5,19,60,0.0,1016,15,10,249,4
2018-01-10 18:00:00,18,6,0.0,8.7,4,1,38,12:15 AM,12:06 PM,06:10 AM,04:50 PM,8,10,10,10,3,35,88,0.1,1017,10,10,309,2
2018-01-11 00:00:00,13,8,0.0,3.9,3,1,30,01:08 AM,12:43 PM,06:10 AM,04:50 PM,9,10,10,10,3,54,94,0.0,1017,9,10,338,2
