date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,10.3,4,1,97,03:56 PM,04:45 AM,06:00 AM,04:34 PM,9,11,11,11,8,6,89,0.0,1013,9,10,141,4
2018-01-01 06:00:00,20,9,0.0,10.3,4,5,97,03:56 PM,04:45 AM,06:00 AM,04:34 PM,11,18,18,18,2,8,66,0.0,1015,16,10,155,2
2018-01-01 12:00:00,20,9,0.0,10.3,4,5,97,03:56 PM,04:45 AM,06:00 AM,04:34 PM,11,20,20,20,3,10,55,0.1,1011,19,10,326,3
2018-01-01 18:00:00,20,9,0.0,10.3,4,1,97,03:56 PM,04:45 AM,06:00 AM,04:34 PM,10,12,12,12,9,24,90,0.2,1013,11,9,144,4
2018-01-02 00:00:00,16,11,0.0,10.4,3,1,100,05:00 PM,05:51 AM,06:00 AM,04:35 PM,10,12,12,12,6,59,90,0.3,1012,11,10,138,3
2018-01-02 06:00:00,16,11,0.0,10.4,3,3,100,05:00 PM,05:51 AM,06:00 AM,04:35 PM,12,15,15,15,2,53,86,3.8,1014,14,7,25,1
2018-01-02 12:00:00,16,11,0.0,10.4,3,4,100,05:00 PM,05:51 AM,06:00 AM,04:35 PM,13,16,16,16,2,49,83,2.1,1010,15,10,155,1
2018-01-02 18:00:00,16,11,0.0,10.4,3,1,100,05:00 PM,05:51 AM,06:00 AM,04:35 PM,11,12,12,12,6,63,97,3.3,1012,11,7,161,4
2018-01-03 00:00:00,16,9,0.0,10.4,3,1,89,06:06 PM,06:52 AM,06:00 AM,04:35 PM,10,11,11,11,6,58,98,4.7,1012,10,7,190,3
2018-01-03 06:00:00,16,9,0.0,10.4,3,3,89,06:06 PM,06:52 AM,06:00 AM,04:35 PM,12,13,13,13,4,32,90,0.7,1012,13,10,240,3
2018-01-03 12:00:00,16,9,0.0,10.4,3,3,89,06:06 PM,06:52 AM,06:00 AM,04:35 PM,12,16,16,16,10,14,77,2.2,1009,15,10,261,6
2018-01-03 18:00:00,16,9,0.0,10.4,3,1,89,06:06 PM,06:52 AM,06:00 AM,04:35 PM,9,10,10,10,4,23,95,0.2,1013,10,9,166,2
2018-01-04 00:00:00,17,8,0.0,8.7,3,1,81,07:12 PM,07:49 AM,06:01 AM,04:36 PM,8,9,9,9,4,25,96,0.0,1015,8,2,118,2
2018-01-04 06:00:00,17,8,0.0,8.7,3,4,81,07:12 PM,07:49 AM,06:01 AM,04:36 PM,10,14,14,14,3,25,80,0.0,1018,13,10,61,3
2018-01-04 12:00:00,17,8,0.0,8.7,3,5,81,07:12 PM,07:49 AM,06:01 AM,04:36 PM,10,16,16,16,4,11,67,0.1,1013,15,10,320,3
2018-01-04 18:00:00,17,8,0.0,8.7,3,1,81,07:12 PM,07:49 AM,06:01 AM,04:36 PM,9,9,9,9,5,40,97,0.0,1015,9,2,138,3
2018-01-05 00:00:00,18,7,0.0,8.7,3,1,74,08:16 PM,08:39 AM,06:01 AM,04:37 PM,7,8,8,8,7,100,97,0.0,1015,7,0,133,3
2018-01-05 06:00:00,18,7,0.0,8.7,3,4,74,08:16 PM,08:39 AM,06:01 AM,04:37 PM,9,16,16,16,2,4,64,0.0,1016,14,10,150,1
2018-01-05 12:00:00,18,7,0.0,8.7,3,5,74,08:16 PM,08:39 AM,06:01 AM,04:37 PM,10,18,18,18,4,6,58,0.0,1010,17,10,286,4
2018-01-05 18:00:00,18,7,0.0,8.7,3,1,74,08:16 PM,08:39 AM,06:01 AM,04:37 PM,8,9,9,9,8,31,96,0.0,1012,9,2,159,4
2018-01-06 00:00:00,17,6,0.0,8.7,4,1,67,09:18 PM,09:24 AM,06:01 AM,04:37 PM,7,8,8,8,7,27,94,0.0,1012,7,10,163,3
2018-01-06 06:00:00,17,6,0.0,8.7,4,4,67,09:18 PM,09:24 AM,06:01 AM,04:37 PM,8,15,15,15,1,6,65,0.0,1014,13,10,306,1
2018-01-06 12:00:00,17,6,0.0,8.7,4,5,67,09:18 PM,09:24 AM,06:01 AM,04:37 PM,6,18,18,18,7,4,46,0.0,1010,16,10,274,6
2018-01-06 18:00:00,17,6,0.0,8.7,4,1,67,09:18 PM,09:24 AM,06:01 AM,04:37 PM,7,8,8,8,4,28,95,0.0,1012,7,2,143,2
2018-01-07 00:00:00,17,4,0.0,8.7,2,1,59,10:16 PM,10:05 AM,06:01 AM,04:38 PM,5,6,6,6,6,17,95,0.0,1013,5,2,132,3
2018-01-07 06:00:00,17,4,0.0,8.7,2,4,59,10:16 PM,10:05 AM,06:01 AM,04:38 PM,5,15,15,15,2,2,53,0.0,1015,12,10,241,1
2018-01-07 12:00:00,17,4,0.0,8.7,2,5,59,10:16 PM,10:05 AM,06:01 AM,04:38 PM,4,18,18,18,6,2,39,0.0,1011,15,10,285,5
2018-01-07 18:00:00,17,4,0.0,8.7,2,1,59,10:16 PM,10:05 AM,06:01 AM,04:38 PM,5,6,6,6,7,6,91,0.0,1014,5,10,142,3
