date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,04:43 PM,05:55 AM,07:07 AM,05:16 PM,-1,18,18,18,4,0,28,0.0,1014,12,10,357,3
2018-01-01 06:00:00,23,11,0.0,8.7,5,4,97,04:43 PM,05:55 AM,07:07 AM,05:16 PM,-2,17,17,17,2,0,29,0.0,1015,12,10,341,2
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,04:43 PM,05:55 AM,07:07 AM,05:16 PM,-4,25,25,27,6,0,12,0.0,1013,23,10,287,5
2018-01-01 18:00:00,23,11,0.0,8.7,5,4,97,04:43 PM,05:55 AM,07:07 AM,05:16 PM,-5,19,19,19,4,0,20,0.0,1013,15,10,312,2
2018-01-02 00:00:00,23,11,0.0,8.7,4,1,100,05:47 PM,07:01 AM,07:08 AM,05:17 PM,-3,17,17,17,4,0,25,0.0,1014,12,10,48,4
2018-01-02 06:00:00,23,11,0.0,8.7,4,4,100,05:47 PM,07:01 AM,07:08 AM,05:17 PM,-1,16,16,16,5,1,31,0.0,1015,11,10,77,4
2018-01-02 12:00:00,23,11,0.0,8.7,4,6,100,05:47 PM,07:01 AM,07:08 AM,05:17 PM,-4,24,24,25,3,6,15,0.0,1014,23,10,243,3
2018-01-02 18:00:00,23,11,0.0,8.7,4,4,100,05:47 PM,07:01 AM,07:08 AM,05:17 PM,-3,18,18,18,6,0,22,0.0,1014,14,10,32,3
2018-01-03 00:00:00,22,10,0.0,8.7,4,1,89,06:54 PM,08:01 AM,07:08 AM,05:18 PM,-1,17,17,17,7,0,29,0.0,1015,11,10,102,5
2018-01-03 06:00:00,22,10,0.0,8.7,4,4,89,06:54 PM,08:01 AM,07:08 AM,05:18 PM,-2,16,16,16,4,0,29,0.0,1016,11,10,157,4
2018-01-03 12:00:00,22,10,0.0,8.7,4,6,89,06:54 PM,08:01 AM,07:08 AM,05:18 PM,-8,24,24,26,9,0,10,0.0,1014,22,10,244,8
2018-01-03 18:00:00,22,10,0.0,8.7,4,4,89,06:54 PM,08:01 AM,07:08 AM,05:18 PM,-6,18,18,18,6,0,19,0.0,1014,14,10,35,3
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,08:02 PM,08:56 AM,07:08 AM,05:19 PM,-5,16,16,16,5,0,23,0.0,1015,11,10,90,4
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,08:02 PM,08:56 AM,07:08 AM,05:19 PM,-4,16,16,16,3,0,26,0.0,1015,10,10,143,3
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,08:02 PM,08:56 AM,07:08 AM,05:19 PM,-7,22,22,22,4,45,13,0.0,1014,22,10,240,3
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,08:02 PM,08:56 AM,07:08 AM,05:19 PM,-7,14,15,14,19,10,22,0.0,1015,14,10,23,9
2018-01-05 00:00:00,21,9,0.0,8.7,4,1,74,09:09 PM,09:44 AM,07:08 AM,05:19 PM,-3,12,12,12,12,6,34,0.0,1016,10,10,62,6
2018-01-05 06:00:00,21,9,0.0,8.7,4,3,74,09:09 PM,09:44 AM,07:08 AM,05:19 PM,-1,11,12,11,11,3,40,0.0,1017,10,10,31,7
2018-01-05 12:00:00,21,9,0.0,8.7,4,6,74,09:09 PM,09:44 AM,07:08 AM,05:19 PM,-1,24,23,24,8,2,19,0.0,1015,21,10,17,7
2018-01-05 18:00:00,21,9,0.0,8.7,4,4,74,09:09 PM,09:44 AM,07:08 AM,05:19 PM,-1,17,17,17,12,2,31,0.0,1015,14,10,1,7
2018-01-06 00:00:00,21,9,0.0,8.7,4,1,67,10:12 PM,10:26 AM,07:08 AM,05:20 PM,1,14,15,14,10,0,40,0.0,1015,10,10,358,8
