date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,16,0.0,8.7,6,1,97,04:07 PM,04:51 AM,06:05 AM,04:44 PM,15,19,19,19,4,7,82,0.0,1013,17,10,101,2
2018-01-01 06:00:00,27,16,0.0,8.7,6,5,97,04:07 PM,04:51 AM,06:05 AM,04:44 PM,17,18,18,18,7,3,94,0.0,1013,16,10,60,4
2018-01-01 12:00:00,27,16,0.0,8.7,6,7,97,04:07 PM,04:51 AM,06:05 AM,04:44 PM,17,30,30,29,4,4,48,0.0,1012,27,10,51,4
2018-01-01 18:00:00,27,16,0.0,8.7,6,1,97,04:07 PM,04:51 AM,06:05 AM,04:44 PM,15,22,25,22,4,41,63,0.0,1010,22,10,339,2
2018-01-02 00:00:00,25,19,0.0,7.1,6,1,100,05:11 PM,05:56 AM,06:05 AM,04:45 PM,15,20,20,20,4,42,71,0.0,1011,20,10,111,2
2018-01-02 06:00:00,25,19,0.0,7.1,6,4,100,05:11 PM,05:56 AM,06:05 AM,04:45 PM,16,19,19,19,4,82,82,0.0,1010,19,10,78,3
2018-01-02 12:00:00,25,19,0.0,7.1,6,5,100,05:11 PM,05:56 AM,06:05 AM,04:45 PM,19,27,27,25,5,67,67,0.0,1011,25,10,60,4
2018-01-02 18:00:00,25,19,0.0,7.1,6,1,100,05:11 PM,05:56 AM,06:05 AM,04:45 PM,18,21,21,21,13,75,85,0.0,1009,20,9,189,6
2018-01-03 00:00:00,25,16,0.0,8.7,5,1,89,06:16 PM,06:58 AM,06:05 AM,04:46 PM,16,19,19,19,13,43,84,0.0,1012,18,10,210,6
2018-01-03 06:00:00,25,16,0.0,8.7,5,5,89,06:16 PM,06:58 AM,06:05 AM,04:46 PM,14,16,16,16,7,29,89,0.0,1011,16,10,227,4
2018-01-03 12:00:00,25,16,0.0,8.7,5,7,89,06:16 PM,06:58 AM,06:05 AM,04:46 PM,15,27,27,26,7,9,50,0.0,1011,25,10,245,6
2018-01-03 18:00:00,25,16,0.0,8.7,5,1,89,06:16 PM,06:58 AM,06:05 AM,04:46 PM,13,21,21,21,13,0,63,0.0,1011,18,10,255,7
2018-01-04 00:00:00,24,12,0.0,8.7,5,1,81,07:23 PM,07:55 AM,06:06 AM,04:47 PM,12,18,18,18,4,0,68,0.0,1015,15,10,104,3
2018-01-04 06:00:00,24,12,0.0,8.7,5,4,81,07:23 PM,07:55 AM,06:06 AM,04:47 PM,14,16,16,16,4,0,89,0.0,1015,12,10,109,3
2018-01-04 12:00:00,24,12,0.0,8.7,5,6,81,07:23 PM,07:55 AM,06:06 AM,04:47 PM,15,27,27,27,6,0,50,0.0,1015,24,10,32,5
2018-01-04 18:00:00,24,12,0.0,8.7,5,1,81,07:23 PM,07:55 AM,06:06 AM,04:47 PM,14,20,20,20,8,0,68,0.0,1012,18,10,295,5
2018-01-05 00:00:00,25,12,0.0,8.7,5,1,74,08:26 PM,08:45 AM,06:06 AM,04:47 PM,13,17,17,17,3,0,77,0.0,1015,14,10,306,2
2018-01-05 06:00:00,25,12,0.0,8.7,5,4,74,08:26 PM,08:45 AM,06:06 AM,04:47 PM,14,16,16,16,3,0,85,0.0,1013,12,10,74,3
2018-01-05 12:00:00,25,12,0.0,8.7,5,7,74,08:26 PM,08:45 AM,06:06 AM,04:47 PM,17,30,30,29,2,0,50,0.0,1013,25,10,12,2
2018-01-05 18:00:00,25,12,0.0,8.7,5,1,74,08:26 PM,08:45 AM,06:06 AM,04:47 PM,15,21,21,21,5,0,71,0.0,1010,18,10,225,3
2018-01-06 00:00:00,24,12,0.0,8.7,5,1,67,09:27 PM,09:31 AM,06:06 AM,04:48 PM,13,17,17,17,5,0,76,0.0,1013,14,10,158,3
2018-01-06 06:00:00,24,12,0.0,8.7,5,4,67,09:27 PM,09:31 AM,06:06 AM,04:48 PM,14,16,16,16,4,0,89,0.0,1012,12,10,100,4
2018-01-06 12:00:00,24,12,0.0,8.7,5,6,67,09:27 PM,09:31 AM,06:06 AM,04:48 PM,16,28,28,27,2,0,49,0.0,1012,24,10,318,2
2018-01-06 18:00:00,24,12,0.0,8.7,5,1,67,09:27 PM,09:31 AM,06:06 AM,04:48 PM,15,20,20,20,3,0,72,0.0,1011,17,10,297,2
2018-01-07 00:00:00,23,11,0.0,8.7,5,1,59,10:24 PM,10:13 AM,06:06 AM,04:49 PM,13,16,16,16,4,0,79,0.0,1014,13,10,23,3
2018-01-07 06:00:00,23,11,0.0,8.7,5,4,59,10:24 PM,10:13 AM,06:06 AM,04:49 PM,12,14,14,14,3,2,92,0.0,1013,11,10,145,2
2018-01-07 12:00:00,23,11,0.0,8.7,5,6,59,10:24 PM,10:13 AM,06:06 AM,04:49 PM,13,27,27,26,2,0,44,0.0,1014,23,10,308,2
2018-01-07 18:00:00,23,11,0.0,8.7,5,1,59,10:24 PM,10:13 AM,06:06 AM,04:49 PM,9,18,18,18,8,0,54,0.0,1013,16,10,307,5
2018-01-08 00:00:00,22,9,0.0,8.7,4,1,52,11:20 PM,10:51 AM,06:06 AM,04:49 PM,9,15,15,15,4,0,66,0.0,1016,12,10,76,2
2018-01-08 06:00:00,22,9,0.0,8.7,4,3,52,11:20 PM,10:51 AM,06:06 AM,04:49 PM,11,13,13,13,3,0,88,0.0,1016,9,10,131,3
2018-01-08 12:00:00,22,9,0.0,8.7,4,6,52,11:20 PM,10:51 AM,06:06 AM,04:49 PM,11,26,26,26,2,0,38,0.0,1016,22,10,37,1
2018-01-08 18:00:00,22,9,0.0,8.7,4,1,52,11:20 PM,10:51 AM,06:06 AM,04:49 PM,8,18,18,18,11,0,53,0.0,1015,15,10,253,6
2018-01-09 00:00:00,22,9,0.0,8.7,4,1,45,No moonrise,11:29 AM,06:07 AM,04:50 PM,7,14,14,14,1,0,64,0.0,1018,11,10,160,0
2018-01-09 06:00:00,22,9,0.0,8.7,4,3,45,No moonrise,11:29 AM,06:07 AM,04:50 PM,9,13,13,13,4,0,78,0.0,1017,9,10,120,3
2018-01-09 12:00:00,22,9,0.0,8.7,4,6,45,No moonrise,11:29 AM,06:07 AM,04:50 PM,13,25,26,25,4,0,46,0.0,1017,22,10,310,4
2018-01-09 18:00:00,22,9,0.0,8.7,4,1,45,No moonrise,11:29 AM,06:07 AM,04:50 PM,12,19,19,19,3,0,62,0.0,1015,16,10,221,1
2018-01-10 00:00:00,23,11,0.0,8.7,5,1,38,12:13 AM,12:06 PM,06:07 AM,04:51 PM,11,15,15,15,8,0,76,0.0,1018,12,10,125,5
2018-01-10 06:00:00,23,11,0.0,8.7,5,4,38,12:13 AM,12:06 PM,06:07 AM,04:51 PM,12,15,14,15,6,0,88,0.0,1017,11,10,130,4
2018-01-10 12:00:00,23,11,0.0,8.7,5,6,38,12:13 AM,12:06 PM,06:07 AM,04:51 PM,13,26,26,26,6,0,45,0.0,1017,23,10,302,5
2018-01-10 18:00:00,23,11,0.0,8.7,5,1,38,12:13 AM,12:06 PM,06:07 AM,04:51 PM,11,19,19,19,4,0,60,0.0,1016,16,10,285,2
2018-01-11 00:00:00,22,10,0.0,8.7,5,1,30,01:05 AM,12:43 PM,06:07 AM,04:51 PM,11,16,16,16,6,0,72,0.0,1017,13,10,119,4
2018-01-11 06:00:00,22,10,0.0,8.7,5,4,30,01:05 AM,12:43 PM,06:07 AM,04:51 PM,11,13,13,13,7,0,85,0.0,1017,10,10,134,6
2018-01-11 12:00:00,22,10,0.0,8.7,5,6,30,01:05 AM,12:43 PM,06:07 AM,04:51 PM,15,27,27,26,1,0,50,0.0,1016,22,10,115,1
2018-01-11 18:00:00,22,10,0.0,8.7,5,1,30,01:05 AM,12:43 PM,06:07 AM,04:51 PM,12,19,19,19,3,0,65,0.0,1014,16,10,319,2
2018-01-12 00:00:00,23,10,0.0,8.7,5,1,23,01:57 AM,01:23 PM,06:07 AM,04:52 PM,11,15,15,15,8,0,77,0.0,1016,13,10,97,5
2018-01-12 06:00:00,23,10,0.0,8.7,5,4,23,01:57 AM,01:23 PM,06:07 AM,04:52 PM,12,15,15,15,4,0,83,0.0,1015,10,10,79,3
2018-01-12 12:00:00,23,10,0.0,8.7,5,6,23,01:57 AM,01:23 PM,06:07 AM,04:52 PM,13,26,26,26,6,1,44,0.0,1015,23,10,323,5
2018-01-12 18:00:00,23,10,0.0,8.7,5,1,23,01:57 AM,01:23 PM,06:07 AM,04:52 PM,13,19,19,19,4,8,72,0.0,1013,18,10,272,2
2018-01-13 00:00:00,24,12,0.0,8.7,5,1,16,02:48 AM,02:04 PM,06:07 AM,04:53 PM,13,15,15,15,8,9,87,0.0,1016,14,10,124,4
2018-01-13 06:00:00,24,12,0.0,8.7,5,3,16,02:48 AM,02:04 PM,06:07 AM,04:53 PM,12,13,13,13,8,100,97,0.0,1015,12,0,103,4
2018-01-13 12:00:00,24,12,0.0,8.7,5,6,16,02:48 AM,02:04 PM,06:07 AM,04:53 PM,15,26,26,25,4,13,55,0.0,1015,24,10,105,3
2018-01-13 18:00:00,24,12,0.0,8.7,5,1,16,02:48 AM,02:04 PM,06:07 AM,04:53 PM,13,19,19,19,15,9,71,0.0,1013,18,10,268,8
