#	State	Slums	Slum HH	Slum Pop	Male	Female	Child (0-6)	SC	ST	Literacy
-	India	5.41%	13,920,191	65,494,604	33,968,203	31,526,401	8,082,743	13,354,080	2,216,533	77.72 %
1	Maharashtra	10.54%	2,499,948	11,848,423	6,328,217	5,520,206	1,428,850	1,863,882	364,254	84.55 %
2	Andhra Pradesh	12.04%	2,431,474	10,186,934	5,103,377	5,083,557	1,149,779	1,428,212	270,556	75.32 %
3	Tamil Nadu	8.04%	1,463,689	5,798,459	2,886,993	2,911,466	614,969	1,853,315	30,996	82.06 %
4	West Bengal	7.03%	1,391,756	6,418,594	3,321,700	3,096,894	656,780	1,060,811	106,373	81.38 %
5	Madhya Pradesh	7.83%	1,117,764	5,688,993	2,957,524	2,731,469	771,999	1,251,713	356,481	77.25 %
6	Uttar Pradesh	3.12%	1,066,363	6,239,965	3,298,339	2,941,626	863,392	1,373,211	19,186	68.98 %
7	Karnataka	5.39%	707,662	3,291,434	1,650,724	1,640,710	418,295	922,589	172,129	75.63 %
8	Chhattisgarh	7.43%	413,831	1,898,931	966,623	932,308	254,080	338,098	174,050	80.36 %
9	Rajasthan	3.02%	394,391	2,068,000	1,078,991	989,009	307,035	582,562	100,675	69.79 %
10	Delhi	10.63%	367,893	1,785,390	974,329	811,061	229,029	482,870	0	75.16 %
11	Odisha	3.72%	350,032	1,560,303	800,963	759,340	188,962	321,167	199,836	78.95 %
12	Gujarat	2.78%	345,998	1,680,095	912,571	767,524	240,589	186,577	125,538	70.49 %
13	Haryana	6.56%	332,697	1,662,305	887,947	774,358	225,889	497,042	0	75.87 %
14	Punjab	5.26%	293,928	1,460,518	776,388	684,130	176,257	581,984	0	74.18 %
15	Bihar	1.19%	216,496	1,237,682	649,475	588,207	208,383	260,442	16,630	68.15 %
16	Jammu and Kashmir	5.28%	103,633	662,062	342,422	319,640	94,204	11,136	10,797	68.02 %
17	Uttarakhand	4.84%	93,911	487,741	257,624	230,117	66,176	91,953	2,321	76.88 %
18	Jharkhand	1.13%	72,544	372,999	192,908	180,091	53,465	58,164	66,680	75.51 %
19	Kerala	0.60%	45,417	202,048	97,429	104,619	20,327	21,923	411	93.11 %
20	Assam	0.63%	42,533	197,266	101,424	95,842	22,229	42,358	3,702	81.57 %
21	Puducherry	11.58%	34,839	144,573	70,491	74,082	16,002	34,521	0	81.39 %
22	Tripura	3.80%	34,143	139,780	70,143	69,637	14,755	40,291	3,337	90.71 %
23	Chandigarh	9.01%	21,704	95,135	53,340	41,795	14,720	29,230	0	66.38 %
24	Nagaland	4.16%	17,152	82,324	42,651	39,673	11,114	0	64,253	88.85 %
25	Mizoram	7.16%	15,987	78,561	38,861	39,700	10,430	69	73,552	98.11 %
26	Himachal Pradesh	0.89%	14,385	61,312	32,555	28,757	6,509	16,062	488	87.74 %
27	Meghalaya	1.94%	10,518	57,418	28,737	28,681	8,241	1,589	40,752	89.02 %
28	Sikkim	5.14%	7,203	31,378	16,216	15,162	3,229	1,658	8,745	88.13 %
29	Goa	1.80%	5,497	26,247	13,826	12,421	3,240	651	112	82.44 %
30	Arunachal Pradesh	1.12%	3,479	15,562	8,029	7,533	2,226	0	4,631	69.39 %
31	Andaman and Nicobar Islands	3.72%	3,324	14,172	7,386	6,786	1,588	0	48	82.80 %
