date,state,cured,deaths,confirmed
2020-01-30,Kerala,0,0,1
2020-01-31,Kerala,0,0,0
2020-02-01,Kerala,0,0,1
2020-02-02,Kerala,0,0,1
2020-02-03,Kerala,0,0,0
2020-02-04,Kerala,0,0,0
2020-02-05,Kerala,0,0,0
2020-02-06,Kerala,0,0,0
2020-02-07,Kerala,0,0,0
2020-02-08,Kerala,0,0,0
2020-02-09,Kerala,0,0,0
2020-02-10,Kerala,0,0,0
2020-02-11,Kerala,0,0,0
2020-02-12,Kerala,0,0,0
2020-02-13,Kerala,0,0,0
2020-02-14,Kerala,0,0,0
2020-02-15,Kerala,0,0,0
2020-02-16,Kerala,0,0,0
2020-02-17,Kerala,0,0,0
2020-02-18,Kerala,0,0,0
2020-02-19,Kerala,0,0,0
2020-02-20,Kerala,0,0,0
2020-02-21,Kerala,0,0,0
2020-02-22,Kerala,0,0,0
2020-02-23,Kerala,0,0,0
2020-02-24,Kerala,0,0,0
2020-02-25,Kerala,0,0,0
2020-02-26,Kerala,0,0,0
2020-02-27,Kerala,0,0,0
2020-02-28,Kerala,0,0,0
2020-02-29,Kerala,0,0,0
2020-03-01,Kerala,0,0,0
2020-03-02,Kerala,0,0,0
2020-03-03,Kerala,3,0,0
2020-03-04,Kerala,0,0,0
2020-03-05,Kerala,0,0,0
2020-03-06,Kerala,0,0,0
2020-03-07,Kerala,0,0,0
2020-03-08,Kerala,0,0,5
2020-03-09,Kerala,0,0,1
2020-03-10,Kerala,0,0,6
2020-03-11,Kerala,0,0,2
2020-03-12,Kerala,0,0,0
2020-03-13,Kerala,0,0,2
2020-03-14,Kerala,0,0,0
2020-03-15,Kerala,0,0,3
2020-03-16,Kerala,0,0,1
2020-03-17,Kerala,0,0,3
2020-03-18,Kerala,0,0,1
2020-03-19,Kerala,0,0,0
2020-03-20,Kerala,0,0,1
2020-03-21,Kerala,0,0,12
2020-03-22,Kerala,0,0,12
2020-03-23,Kerala,0,0,15
2020-03-24,Kerala,1,0,28
